style,channelId,channelSubs,title,type,duration_sec,publishedAt,dayOfWeek,season,views,likes,comments,engagment
TW,UCyFcly39rr3zqW1ok5SVs3A,65900,Faye詹雯婷【預言石yu yan shi】Official Music Video,MV,240,2022-06-28T12:55:15Z,Tuesday,Summer,268333,4433,334,0.017765239459924795
TW,UCyFcly39rr3zqW1ok5SVs3A,65900,Faye詹雯婷【煮沙 zhu sha】Official Music Video,MV,261,2022-05-15T12:59:07Z,Sunday,Spring,121459,2035,183,0.018261306284425197
TW,UCyFcly39rr3zqW1ok5SVs3A,65900,Faye詹雯婷【山海盟 shan hai meng】Official Music Video,MV,271,2022-04-21T12:56:10Z,Thursday,Spring,237761,2177,198,0.009989022589911719
TW,UCyFcly39rr3zqW1ok5SVs3A,65900,Faye詹雯婷【焚風 fen feng】Official Music Video,MV,241,2022-01-07T01:56:43Z,Friday,Winter,831086,7814,499,0.010002574944109274
TW,UCyFcly39rr3zqW1ok5SVs3A,65900,Faye詹雯婷【詠愛 yong ai】Official Music Video,MV,231,2021-12-17T02:00:09Z,Friday,Winter,1174200,12498,853,0.01137029466871061
TW,UCyFcly39rr3zqW1ok5SVs3A,65900,Faye 洞 HOLE Official MV,MV,171,2018-03-16T00:07:27Z,Friday,Spring,167990,2094,220,0.013774629442228703
TW,UCyFcly39rr3zqW1ok5SVs3A,65900,Faye飛《小太空》專輯 蒼穹MV,MV,233,2018-02-13T00:00:01Z,Tuesday,Winter,368470,5441,473,0.016050153336770973
TW,UCyFcly39rr3zqW1ok5SVs3A,65900,Faye飛《河畔》Official官方MV,MV,330,2017-06-07T08:58:59Z,Wednesday,Summer,426167,5692,449,0.014409844028279993
TW,UCyFcly39rr3zqW1ok5SVs3A,65900,Faye飛《象牙塔》Official官方MV,MV,251,2017-06-07T08:29:19Z,Wednesday,Summer,271097,3240,170,0.012578523554299753
TW,UCyFcly39rr3zqW1ok5SVs3A,65900,Faye 2012 1115 小天空 女巫店 Live -- 花瘋,Live,358,2012-11-20T14:55:47Z,Tuesday,Fall,26962,366,28,0.014613159261182404
TW,UCyFcly39rr3zqW1ok5SVs3A,65900,Faye 2012 1115 小天空 女巫店 Live -- 像一封情書,Live,252,2012-11-19T15:50:34Z,Monday,Fall,6407,103,10,0.017636959575464337
TW,UCyFcly39rr3zqW1ok5SVs3A,65900,Faye 2012 1115 小天空 女巫店 Live -- 1002夜,Live,359,2012-11-18T15:24:16Z,Sunday,Fall,11050,167,12,0.016199095022624434
TW,UCyFcly39rr3zqW1ok5SVs3A,65900,Faye 2012 1115 小天空 女巫店 Live -- WISH YOU WERE HERE,Live,263,2012-11-17T16:15:16Z,Saturday,Fall,10282,180,11,0.018576152499513714
TW,UCyFcly39rr3zqW1ok5SVs3A,65900,Faye 2012 1115 小天空 女巫店 Live -- 1979,Live,261,2012-11-16T08:17:28Z,Friday,Fall,5540,93,7,0.018050541516245487
TW,UCyFcly39rr3zqW1ok5SVs3A,65900,Faye 2012 1115 小天空 女巫店 Live -- 河畔,Live,477,2012-11-15T21:14:26Z,Thursday,Fall,72952,1368,129,0.020520342142778814
TW,UCyFcly39rr3zqW1ok5SVs3A,65900,Faye & Allen 2011小天空Live,Live,91,2011-09-27T15:45:45Z,Tuesday,Fall,2677,61,4,0.024280911468061262
