style,channelId,channelSubs,title,type,duration_sec,publishedAt,dayOfWeek,season,views,likes,comments,engagment
TW,UCTKJ96FsE4sv86eSs8yNetw,303000,"邱鋒澤 Feng Ze, 黃偉晉 Wayne【 infinity 永遠永遠 】 One Take acoustic",MV,212,2025-04-28T13:05:17Z,Monday,Spring,10512,733,54,0.0748668188736682
TW,UCTKJ96FsE4sv86eSs8yNetw,303000,"邱鋒澤 Feng Ze, 黃偉晉 Wayne【 infinity 永遠永遠 】Official MV",MV,231,2025-04-15T14:00:07Z,Tuesday,Spring,507418,3963,505,0.008805363625255707
TW,UCTKJ96FsE4sv86eSs8yNetw,303000,邱鋒澤 Feng Ze【 不要擔心我，你要好好過 All Will Be Well 】Official MV,MV,199,2024-12-03T14:00:08Z,Tuesday,Winter,374904,3790,455,0.011322898662057487
TW,UCTKJ96FsE4sv86eSs8yNetw,303000,邱鋒澤 Feng Ze【 碎了＜/3 Shattered Love 】 Official MV,MV,236,2024-10-29T14:00:07Z,Tuesday,Fall,439511,5057,1068,0.013935942445126515
TW,UCTKJ96FsE4sv86eSs8yNetw,303000,邱鋒澤 Feng Ze【 摺痕 Imprint 】 Official MV,MV,388,2024-08-20T14:00:07Z,Tuesday,Summer,1435284,10857,1072,0.008311247112069806
TW,UCTKJ96FsE4sv86eSs8yNetw,303000,邱鋒澤 Feng Ze【 EX YOU 】 MV,MV,181,2024-06-11T12:00:07Z,Tuesday,Summer,85385,1859,107,0.023025121508461675
TW,UCTKJ96FsE4sv86eSs8yNetw,303000,邱鋒澤 Feng Ze【 EX YOU 】Official Audio,MV,174,2024-05-08T16:00:01Z,Wednesday,Spring,116031,2871,385,0.02806146633227327
TW,UCTKJ96FsE4sv86eSs8yNetw,303000,邱鋒澤 Feng Ze、艾薇 Ivy【 一起寂寞 Lonely Duet 】Official MV,MV,246,2024-03-19T14:00:06Z,Tuesday,Spring,9143535,35936,2272,0.004178690189297684
TW,UCTKJ96FsE4sv86eSs8yNetw,303000,邱鋒澤 Feng Ze【 會找到我 Find Me 】LIVE MV,Live,253,2024-01-16T14:00:09Z,Tuesday,Winter,104956,2128,440,0.024467395861122756
TW,UCTKJ96FsE4sv86eSs8yNetw,303000,邱鋒澤 Feng Ze、黃偉晉 Wayne【 過去式 Bygones 】LIVE MV,Live,301,2024-01-03T14:00:07Z,Wednesday,Winter,193600,3678,248,0.02027892561983471
TW,UCTKJ96FsE4sv86eSs8yNetw,303000,W0LF(S) 五堅情【 Sangría 】Official Audio｜ 邱鋒澤 Feng Ze、陳零九 NINE CHEN、黃偉晉 Wayne、賴晏駒 LAI、婁峻碩 SHOU,MV,178,2023-12-22T12:00:47Z,Friday,Winter,191633,3422,255,0.01918771819049955
TW,UCTKJ96FsE4sv86eSs8yNetw,303000,W0LF(S) 五堅情【 立刻要爆炸 BOOOOOM 】Official MV ｜ 邱鋒澤 Feng Ze、陳零九 NINE CHEN、黃偉晉 Wayne、賴晏駒 LAI、婁峻碩 SHOU,MV,246,2023-12-07T12:00:09Z,Thursday,Winter,1217437,14499,2328,0.013821659765556656
TW,UCTKJ96FsE4sv86eSs8yNetw,303000,【 過去式 Bygones 】斷訊的第三部曲是怎麼誕生的？MV要拍浪漫版的無間道？👮‍♂️ ｜邱鋒澤 Feng Ze、黃偉晉 Wayne,MV,436,2023-11-04T12:00:09Z,Saturday,Fall,30319,1567,157,0.05686203370823576
TW,UCTKJ96FsE4sv86eSs8yNetw,303000,邱鋒澤 Feng Ze、黃偉晉 Wayne【 過去式 Bygones 】Official MV,MV,342,2023-11-01T14:00:09Z,Wednesday,Fall,2536293,18240,3519,0.0085790561264018
TW,UCTKJ96FsE4sv86eSs8yNetw,303000,W0LF(S) 五堅情【你是我這輩子最想愛的呀 Last Love】Official MV ｜ 邱鋒澤 Feng Ze、陳零九 NINE CHEN、黃偉晉 Wayne、賴晏駒 LAI、婁峻碩 SHOU,MV,333,2023-08-31T12:00:12Z,Thursday,Summer,8730282,44156,3724,0.0054843589244883495
TW,UCTKJ96FsE4sv86eSs8yNetw,303000,邱鋒澤 Feng Ze 【 會找到我 Find Me 】Official MV,MV,261,2023-07-11T12:00:07Z,Tuesday,Summer,1666184,12661,1011,0.00820557633490659
TW,UCTKJ96FsE4sv86eSs8yNetw,303000,邱鋒澤 Feng Ze 【 錯的一對 MISMATCHED PAIR 】Official MV,MV,238,2023-03-27T12:00:09Z,Monday,Spring,1020605,6863,396,0.007112448008779106
TW,UCTKJ96FsE4sv86eSs8yNetw,303000,邱鋒澤 Feng Ze 【 無聲 SILENCE 】Official MV,MV,295,2023-02-20T14:00:09Z,Monday,Winter,543302,3906,265,0.007677129846751898
TW,UCTKJ96FsE4sv86eSs8yNetw,303000,邱鋒澤 Feng Ze 【 AWAKENING 】Official MV,MV,215,2023-01-15T14:00:10Z,Sunday,Winter,921311,4667,509,0.005618081190824814
TW,UCTKJ96FsE4sv86eSs8yNetw,303000,邱鋒澤 Feng Ze 【 浮木 DRIFTWOOD 】Official MV,MV,338,2023-01-03T14:00:09Z,Tuesday,Winter,6126601,20602,1704,0.00364084424626314
TW,UCTKJ96FsE4sv86eSs8yNetw,303000,邱鋒澤 Feng Ze【 人魚 MERFOLK 】 Official MV,MV,376,2022-10-31T12:00:06Z,Monday,Fall,1609338,8681,952,0.005985691010837997
TW,UCTKJ96FsE4sv86eSs8yNetw,303000,邱鋒澤 Feng Ze 【 孤島 LONELY ISLAND 】Official MV,MV,195,2022-10-24T14:00:06Z,Monday,Fall,1056906,8656,937,0.009076493084531642
TW,UCTKJ96FsE4sv86eSs8yNetw,303000,邱鋒澤 Feng Ze、婁峻碩SHOU【 深淵 ABYSS 】LIVE at 台北小巨蛋 Taipei Arena,Live,246,2022-08-28T05:47:35Z,Sunday,Summer,142772,4105,396,0.031525789370464796
TW,UCTKJ96FsE4sv86eSs8yNetw,303000,邱鋒澤 Feng Ze、婁峻碩SHOU【 深淵 ABYSS 】 Official MV,MV,268,2022-08-11T14:00:11Z,Thursday,Summer,1226799,12138,1291,0.010946373448299192
TW,UCTKJ96FsE4sv86eSs8yNetw,303000,W0LF(S) 五堅情 【 LALALA 】 Official MV ｜ 邱鋒澤 Feng Ze、陳零九 NINE CHEN、黃偉晉Wayne、賴晏駒 LAI、婁峻碩 SHOU,MV,227,2022-07-14T14:00:13Z,Thursday,Summer,1951892,19811,2191,0.01127214005692938
TW,UCTKJ96FsE4sv86eSs8yNetw,303000,邱鋒澤 Feng Ze 【 平分慚愧 For Your Happiness 】 Official MV,MV,325,2022-05-20T14:00:13Z,Friday,Spring,5373854,27283,2578,0.005556719628036042
TW,UCTKJ96FsE4sv86eSs8yNetw,303000,邱鋒澤 Feng Ze、賴晏駒 Lai 【 邊緣人格 NEVER GOOD ENOUGH 】 Official MV,MV,196,2022-02-17T14:00:13Z,Thursday,Winter,1074737,13363,1740,0.014052740344847157
TW,UCTKJ96FsE4sv86eSs8yNetw,303000,W0LF(S) 五堅情 【 Be A Liar 】 Official MV ｜ 邱鋒澤 Feng Ze、陳零九 NINE CHEN、黃偉晉Wayne、賴晏駒 LAI、婁峻碩SHOU,MV,247,2022-01-20T15:00:09Z,Thursday,Winter,3555423,30113,9831,0.011234668842497785
TW,UCTKJ96FsE4sv86eSs8yNetw,303000,邱鋒澤 Feng Ze 【 冰山 ICEBERG 】 抒情版 Acoustic Version,MV,254,2021-12-28T14:00:14Z,Tuesday,Winter,662885,7715,357,0.012177074454845109
TW,UCTKJ96FsE4sv86eSs8yNetw,303000,邱鋒澤 Feng Ze 【 冰山 ICEBERG 】Official MV,MV,298,2021-12-21T14:00:13Z,Tuesday,Winter,3835248,24009,2608,0.006940098788917952
TW,UCTKJ96FsE4sv86eSs8yNetw,303000,W0LF(S) 五堅情 【 月面著陸 MOON LANDING 】 Official MV ｜ 邱鋒澤 Feng Ze、陳零九 NINE CHEN、黃偉晉Wayne、賴晏駒 LAI、婁峻碩SHOU,MV,237,2021-12-01T14:00:13Z,Wednesday,Winter,2945827,29913,12514,0.014402407201780688
TW,UCTKJ96FsE4sv86eSs8yNetw,303000,邱鋒澤 Feng Ze、呂爵安 Edan Lui【 年青有為 Promising Young Man 】 Official MV,MV,277,2021-11-18T14:15:12Z,Thursday,Fall,3501774,38270,5323,0.012448833077177453
TW,UCTKJ96FsE4sv86eSs8yNetw,303000,W0LF(S) 五堅情【零距離 No Boundaries】Official MV,MV,243,2021-09-16T12:00:09Z,Thursday,Fall,1411791,21683,1909,0.016710688763421782
TW,UCTKJ96FsE4sv86eSs8yNetw,303000,邱鋒澤 FENG ZE 【預言家Prophet】LIVE @EsplanadeSG 濱海藝術中心,Live,202,2021-09-14T14:00:11Z,Tuesday,Fall,84986,3313,178,0.04107735391711576
TW,UCTKJ96FsE4sv86eSs8yNetw,303000,邱鋒澤 FENG ZE 【我知道你存在】LIVE @EsplanadeSG 濱海藝術中心,Live,272,2021-09-04T11:59:07Z,Saturday,Fall,241620,5469,361,0.024128797284992964
TW,UCTKJ96FsE4sv86eSs8yNetw,303000,邱鋒澤 FENG ZE 【微笑分手 MOVE ON】LIVE,Live,237,2021-08-27T11:00:13Z,Friday,Summer,120772,4629,357,0.04128440366972477
TW,UCTKJ96FsE4sv86eSs8yNetw,303000,邱鋒澤 FENG ZE 【微笑分手 MOVE ON】Official MV,MV,270,2021-08-13T11:00:12Z,Friday,Summer,2629572,30082,2582,0.01242179335648539
TW,UCTKJ96FsE4sv86eSs8yNetw,303000,BTS (방탄소년단) 'Permission to Dance x Butter ' Cover FENGZE 邱鋒澤,Dance,167,2021-07-17T12:00:12Z,Saturday,Summer,353060,13743,1032,0.041848411034951565
TW,UCTKJ96FsE4sv86eSs8yNetw,303000,‘W0LF(S) 五堅情' 邱鋒澤 FENG ZE，陳零九 NINE CHEN，黃偉晉WAYNE，賴晏駒 LAI，婁峻碩SHOU【I Wanna Holiday】Official MV,MV,181,2021-05-27T14:00:11Z,Thursday,Spring,1647394,25639,2353,0.016991685049235337
TW,UCTKJ96FsE4sv86eSs8yNetw,303000,"邱鋒澤 FENG ZE , 采子 CAI ZI 【我們美好過 Those Times】Official Music Video",MV,287,2021-02-09T14:00:16Z,Tuesday,Winter,3348437,28750,3029,0.009490696704163764
TW,UCTKJ96FsE4sv86eSs8yNetw,303000,邱鋒澤 FENG ZE『日環食Eclipse 』M/V,LangVer,242,2021-01-05T14:30:11Z,Tuesday,Winter,2884456,25590,2455,0.009722803883990603
TW,UCTKJ96FsE4sv86eSs8yNetw,303000,邱鋒澤FENG ZE X 黃偉晉 Wayne【潛台詞 UNSPOKEN】Official MV,MV,266,2020-12-15T14:30:11Z,Tuesday,Winter,6706576,39640,3973,0.006503020319161373
TW,UCTKJ96FsE4sv86eSs8yNetw,303000,邱鋒澤 FENG ZE 【SHINING STAR】OFFICIAL MV,MV,191,2020-11-26T14:30:10Z,Thursday,Fall,1302195,18332,1986,0.015602885896505516
TW,UCTKJ96FsE4sv86eSs8yNetw,303000,W0LF(S) 五堅情  ft. Samsung【#反正我好看】MV｜Galaxy S20 FE 邱鋒澤 FENG ZE，陳零九 NINE CHEN，黃偉晉WAYNE，賴晏駒 LAI，婁峻碩SHOU,MV,187,2020-10-16T14:00:12Z,Friday,Fall,2326629,36378,3555,0.017163458376904955
TW,UCTKJ96FsE4sv86eSs8yNetw,303000,邱鋒澤 FENG ZE 【你的好人】'Guardian Angel ' OFFICIAL MV,MV,253,2020-09-30T14:00:09Z,Wednesday,Fall,2323459,21564,2049,0.010162864935426019
