style,channelId,channelSubs,title,type,duration_sec,publishedAt,dayOfWeek,season,views,likes,comments,engagment
TW,UCWASjJ7q476ZgxT9oWBSclg,178000,田馥甄 Hebe Tien《一二三 On Three》Official Music Video,MV,238,2025-07-22T05:23:15Z,Tuesday,Summer,258140,7334,532,0.030471836987681102
TW,UCWASjJ7q476ZgxT9oWBSclg,178000,田馥甄 Hebe Tien《乘著無人光影的遠行 Glimpses of a Journey》Official Music Video,MV,370,2023-08-22T03:00:04Z,Tuesday,Summer,1554646,10141,955,0.007137316147856168
TW,UCWASjJ7q476ZgxT9oWBSclg,178000,"田馥甄 Hebe Tien《有無 To Have, or Not To Have》Official Live MV",Live,229,2023-08-16T03:00:04Z,Wednesday,Summer,219836,3173,190,0.015297767426627123
TW,UCWASjJ7q476ZgxT9oWBSclg,178000,田馥甄 Hebe Tien X 吳青峰 Wu Qing Feng《你在煩惱什麼 What's The Trouble On Your Mind》Official Live MV,Live,269,2023-08-14T15:00:14Z,Monday,Summer,722883,8590,418,0.012461214332056502
TW,UCWASjJ7q476ZgxT9oWBSclg,178000,田馥甄 Hebe Tien X 許光漢 Greg Han《一日 One Day at a Time》Official Live MV,Live,296,2023-08-13T03:00:06Z,Sunday,Summer,1759208,16841,596,0.009911846694648955
TW,UCWASjJ7q476ZgxT9oWBSclg,178000,田馥甄 Hebe Tien X 安溥 Anpu《最好的時光 a flash and how it lasts》Official Live MV,Live,233,2023-08-07T15:00:28Z,Monday,Summer,2411489,19383,516,0.008251748193750833
TW,UCWASjJ7q476ZgxT9oWBSclg,178000,田馥甄 Hebe Tien X 安溥 Anpu《如何 through our lives》Official Live MV,Live,240,2023-08-07T15:00:13Z,Monday,Summer,407791,5568,214,0.014178831803546425
TW,UCWASjJ7q476ZgxT9oWBSclg,178000,田馥甄 Hebe Tien X 魏如萱 waa wei《你是不會當樹嗎 Can't You Be a Tree》Official Live MV,Live,292,2023-08-06T03:00:20Z,Sunday,Summer,207388,3471,155,0.017484136015584316
TW,UCWASjJ7q476ZgxT9oWBSclg,178000,田馥甄 Hebe Tien X 魏如萱 waa wei《底里歇斯 Hysteria》Official Live MV,Live,227,2023-08-06T03:00:09Z,Sunday,Summer,283856,4095,338,0.015617073445690773
TW,UCWASjJ7q476ZgxT9oWBSclg,178000,田馥甄 Hebe Tien《我若不曾愛過你》Official Live MV,Live,242,2022-10-04T04:00:05Z,Tuesday,Fall,962920,8703,437,0.009491961949071573
TW,UCWASjJ7q476ZgxT9oWBSclg,178000,田馥甄 Hebe Tien《心事誰人知》Official Live MV,Live,206,2022-10-03T04:00:05Z,Monday,Fall,363186,5749,389,0.01690043118402141
TW,UCWASjJ7q476ZgxT9oWBSclg,178000,田馥甄 Hebe Tien《一周的朋友》Official Music Video（電影【一周的朋友】主題曲）,MV,282,2022-06-10T04:00:06Z,Friday,Summer,1093712,12193,603,0.011699606477756485
TW,UCWASjJ7q476ZgxT9oWBSclg,178000,田馥甄 Hebe Tien《現在是什麼時辰了 It is the Hour》Official Music Video,MV,275,2022-02-25T04:00:04Z,Friday,Winter,2267387,13078,702,0.0060774803771918955
TW,UCWASjJ7q476ZgxT9oWBSclg,178000,田馥甄 Hebe Tien《人什麼的最麻煩了 Humans are the Worst》Official Music Video,MV,280,2021-04-29T03:00:03Z,Thursday,Spring,1240404,14522,814,0.012363713757775693
TW,UCWASjJ7q476ZgxT9oWBSclg,178000,田馥甄 Hebe Tien《田 Crop Circles》Official Music Video,MV,243,2021-02-05T03:00:02Z,Friday,Winter,610803,5523,583,0.009996676506173021
TW,UCWASjJ7q476ZgxT9oWBSclg,178000,田馥甄 Hebe Tien《底里歇斯 Hysteria》Official Music Video,MV,227,2020-11-16T03:00:08Z,Monday,Fall,1278927,8428,663,0.007108302506710703
TW,UCWASjJ7q476ZgxT9oWBSclg,178000,田馥甄  Hebe Tien《無人知曉 Untold》Official Music Video,MV,423,2020-10-12T03:00:09Z,Monday,Fall,14461985,50426,2524,0.0036613231171239635
TW,UCWASjJ7q476ZgxT9oWBSclg,178000,田馥甄 Hebe Tien《諷刺的情書 The Irony of Love》Official Music Video,MV,301,2020-09-11T03:00:10Z,Friday,Fall,5548489,21174,963,0.003989734862950976
TW,UCWASjJ7q476ZgxT9oWBSclg,178000,田馥甄 Hebe Tien《或是一首歌 A Song for You》Official Music Video,MV,303,2020-08-25T03:00:03Z,Tuesday,Summer,4361333,21602,910,0.005161724637857279
TW,UCWASjJ7q476ZgxT9oWBSclg,178000,田馥甄 Hebe Tien《先知 You Should Know about It》Official Music Video,MV,297,2020-07-30T03:00:03Z,Thursday,Summer,2589199,14290,793,0.0058253537097766525
TW,UCWASjJ7q476ZgxT9oWBSclg,178000,"田馥甄 Hebe Tien《一一 One, after Another》Official Music Video",MV,335,2020-07-10T03:00:07Z,Friday,Summer,2325625,16956,848,0.007655576457941414
TW,UCWASjJ7q476ZgxT9oWBSclg,178000,田馥甄 Hebe Tien《皆可 Anything Goes》Official Music Video,MV,268,2020-06-12T03:01:31Z,Friday,Summer,4767174,31114,1870,0.006918983867591156
TW,UCWASjJ7q476ZgxT9oWBSclg,178000,田馥甄 Hebe Tien《懸日 Let It…》Official Music Video,MV,323,2020-06-01T03:00:08Z,Monday,Summer,10151283,62650,2524,0.006420272196135207
TW,UCWASjJ7q476ZgxT9oWBSclg,178000,田馥甄 Hebe Tien《不晚》Official Music Video（電影【深夜食堂】主題曲）,MV,217,2019-08-25T12:15:01Z,Sunday,Summer,2534321,20895,807,0.008563240410350543
TW,UCWASjJ7q476ZgxT9oWBSclg,178000,田馥甄 Hebe Tien《墨綠的夜》Official Music Video（電影【地球最後的夜晚】推廣曲）,MV,233,2018-12-27T13:00:01Z,Thursday,Winter,547723,6815,451,0.013265829625558905
