style,channelId,channelSubs,title,type,duration_sec,publishedAt,dayOfWeek,season,views,likes,comments,engagment
TW,UCV_S2S-Zs8LeuJxK-T3RQQg,2310000,【沒有寫下的永遠 Unwritten】 Official Music Video Ft.林佳辰SuMMeR｜【黃氏兄弟】瑋瑋 黃挺瑋  2025全新單曲,MV,257,2025-07-19T10:00:08Z,Saturday,Summer,158032,5687,1033,0.042523033309709427
TW,UCV_S2S-Zs8LeuJxK-T3RQQg,2310000,【我好想你  Thinking of U】 Official Music Video ｜【黃氏兄弟】瑋瑋 黃挺瑋  2025全新單曲,MV,184,2025-04-05T04:00:07Z,Saturday,Spring,243600,6287,704,0.028698686371100166
TW,UCV_S2S-Zs8LeuJxK-T3RQQg,2310000,【在東京路上 Tokyo Wanderer】 Official Music Video Feat. Google Pixel｜【黃氏兄弟】瑋瑋 黃挺瑋  2024全新單曲,MV,238,2024-12-22T04:00:06Z,Sunday,Winter,379298,8843,2911,0.030988826727269853
TW,UCV_S2S-Zs8LeuJxK-T3RQQg,2310000,晚安大小姐 中文版 잘자요 아가씨 Chinese version cover 【黃氏兄弟】Ft. @K.R.Bros0203  @sundayright  展榮、展瑞、星期天,Cover,119,2024-05-24T10:00:28Z,Friday,Spring,1706695,21827,1071,0.013416574138905898
TW,UCV_S2S-Zs8LeuJxK-T3RQQg,2310000,BL劇【男孩說 What The Guy Said】 Official Music Video Feat.夏浦洋｜【黃氏兄弟】瑋瑋 黃挺瑋首張個人創作EP《Pull n' Push》,MV,275,2024-02-14T04:00:09Z,Wednesday,Winter,693423,15325,1361,0.024063234129816865
TW,UCV_S2S-Zs8LeuJxK-T3RQQg,2310000,【一週八天 8 Days A Week】 Official Music Video ｜【黃氏兄弟】瑋瑋 黃挺瑋首張個人創作EP《Pull n' Push》,MV,200,2023-08-19T04:00:08Z,Saturday,Summer,3133756,33299,2688,0.01148366369302524
TW,UCV_S2S-Zs8LeuJxK-T3RQQg,2310000,【明天見】歌詞版MV Official Music Video ｜【黃氏兄弟】瑋瑋 黃挺瑋首張個人創作EP《Pull n' Push》,MV,196,2023-07-22T04:00:09Z,Saturday,Summer,523385,10414,973,0.02175645079625897
TW,UCV_S2S-Zs8LeuJxK-T3RQQg,2310000,【曖昧變成傷害】 Official Music Video ｜黃挺瑋創作全新單曲【黃氏兄弟】Ft. 王艷薇,MV,202,2022-08-22T10:00:09Z,Monday,Summer,2594256,39926,3500,0.01673928864383469
TW,UCV_S2S-Zs8LeuJxK-T3RQQg,2310000,【PR99】 Official Music Video ｜【黃氏兄弟】青春校園 全新單曲,MV,289,2022-08-09T10:00:13Z,Tuesday,Summer,2294941,37758,3008,0.017763419626038317
TW,UCV_S2S-Zs8LeuJxK-T3RQQg,2310000,【Bye了極限】 Official Music Video ｜【黃氏兄弟】2022年突破極限、迎接元宇宙！全新單曲,MV,203,2022-01-04T10:00:13Z,Tuesday,Winter,6761667,80294,4965,0.012609168715347858
