style,channelId,channelSubs,title,type,duration_sec,publishedAt,dayOfWeek,season,views,likes,comments,engagment
TW,UCZxdOVXIBEnJUQkhZgeOTTg,1040000,JOLIN 蔡依林《DIY》Official Music Video,MV,190,2025-08-01T10:01:17Z,Friday,Summer,3521948,17783,2273,0.0056945758426870585
TW,UCZxdOVXIBEnJUQkhZgeOTTg,1040000,JOLIN蔡依林《DIY》Dance Practice Video（Vertical),Dance,181,2025-07-05T10:13:18Z,Saturday,Summer,92104,3163,184,0.0363393555111613
TW,UCZxdOVXIBEnJUQkhZgeOTTg,1040000,JOLIN 蔡依林《DIY》Dance Practice Video,Dance,181,2025-07-05T10:00:25Z,Saturday,Summer,1198896,19596,1488,0.017586179284942147
TW,UCZxdOVXIBEnJUQkhZgeOTTg,1040000,JOLIN 蔡依林 Behind the Debut Performance of  “PLEASURE” ｜新歌舞台初登場❤️‍🔥,Live,122,2025-06-23T11:00:26Z,Monday,Summer,81363,3201,190,0.041677420940722444
TW,UCZxdOVXIBEnJUQkhZgeOTTg,1040000,JOLIN 蔡依林《Pleasure》Official Music Video,MV,186,2025-06-06T04:00:01Z,Friday,Summer,5591638,68668,9454,0.013971219166906012
TW,UCZxdOVXIBEnJUQkhZgeOTTg,1040000,蔡依林 Jolin Tsai《心引力》 (feat.王俊凱) Official Live Music Video,Live,254,2024-07-31T10:04:30Z,Wednesday,Summer,811952,6377,246,0.008156886121347075
TW,UCZxdOVXIBEnJUQkhZgeOTTg,1040000,蔡依林 Jolin Tsai「馬德里不思議 / 日不落」Holiday Special Live Video,Live,392,2023-12-29T10:00:29Z,Friday,Winter,1119949,12228,409,0.01128354951877273
TW,UCZxdOVXIBEnJUQkhZgeOTTg,1040000,蔡依林 Jolin Tsai《OH LA LA LA（麥當勞40週年主題曲）》Official Music Video,MV,181,2023-11-24T12:00:09Z,Friday,Fall,4264915,35317,1967,0.008742026511665531
TW,UCZxdOVXIBEnJUQkhZgeOTTg,1040000,"蔡依林 Jolin Tsai《Someday, Somewhere》Official Cinematic MV - Netflix影集「此時此刻」音樂凝視版 MV",MV,250,2023-11-09T04:00:07Z,Thursday,Fall,2947856,19397,940,0.006898912294223327
TW,UCZxdOVXIBEnJUQkhZgeOTTg,1040000,蔡依林 Jolin Tsai X 韋禮安 WeiBird《如果可以 Red Scarf》Official Live Music Video,Live,274,2023-06-25T06:00:12Z,Sunday,Summer,12039262,63282,1679,0.005395762630633007
TW,UCZxdOVXIBEnJUQkhZgeOTTg,1040000,蔡依林 Jolin Tsai《親愛的對象 Untitled》Official MV ｜「關於我和鬼變成家人的那件事」電影主題曲,MV,319,2022-12-09T04:00:07Z,Friday,Winter,11032595,74561,3184,0.0070468461862327044
TW,UCZxdOVXIBEnJUQkhZgeOTTg,1040000,Steve Aoki + 蔡依林 Jolin Tsai + MAX “都沒差” (Official Music Video),MV,211,2021-11-15T04:30:02Z,Monday,Fall,3077855,31076,913,0.010393277136187377
TW,UCZxdOVXIBEnJUQkhZgeOTTg,1040000,蔡依林 Jolin Tsai「我知道你很難過 + 以後別做朋友」Official Live Video,Live,229,2021-07-20T12:00:11Z,Tuesday,Summer,8555229,41835,1504,0.005065790757909578
TW,UCZxdOVXIBEnJUQkhZgeOTTg,1040000,R3HAB & 蔡依林 Jolin Tsai《Stars Align》Official Live Video,Live,185,2021-06-09T14:05:10Z,Wednesday,Summer,4506394,32657,1526,0.0075854441489137435
TW,UCZxdOVXIBEnJUQkhZgeOTTg,1040000,蔡依林 Jolin Tsai X 茄子蛋 EggPlantEgg《浪流連 Waves Wandering》Official Live Video,Live,260,2021-06-01T12:00:24Z,Tuesday,Summer,8715761,39848,1475,0.0047411809479401745
TW,UCZxdOVXIBEnJUQkhZgeOTTg,1040000,R3HAB & 蔡依林 Jolin Tsai《Stars Align》Official Music Video,MV,207,2021-04-23T10:00:00Z,Friday,Spring,19846294,155974,13787,0.008553788430222791
