style,channelId,channelSubs,title,type,duration_sec,publishedAt,dayOfWeek,season,views,likes,comments,engagment
TW,UC8CU5nVhCQIdAGrFFp4loOQ,3220000,周杰倫 JAY CHOU【即興曲 Improvisation】Official MV,MV,100,2025-06-05T03:30:43Z,Thursday,Summer,432589,16426,952,0.04017208019621396
TW,UC8CU5nVhCQIdAGrFFp4loOQ,3220000,周杰倫 JAY CHOU & 五月天 MAYDAY【稻香 搖滾版】,LangVer,153,2025-03-04T06:08:06Z,Tuesday,Spring,1467342,17502,649,0.012369986001900033
TW,UC8CU5nVhCQIdAGrFFp4loOQ,3220000,周杰倫 JAY CHOU【稻香Remix搖滾版 Rice Field Rock Remix】Official MV,Remix,145,2024-06-26T11:00:28Z,Wednesday,Summer,535141,11572,742,0.023010757912400658
TW,UC8CU5nVhCQIdAGrFFp4loOQ,3220000,周杰倫 JAY CHOU (feat. 楊瑞代) 【聖誕星 Christmas Star】Official MV,MV,183,2023-12-21T13:00:01Z,Thursday,Winter,8150605,79005,6419,0.010480694377902009
TW,UC8CU5nVhCQIdAGrFFp4loOQ,3220000,周杰倫2023香港演唱會 嘉賓點歌花絮,Live,128,2023-05-15T03:30:13Z,Monday,Spring,753722,7458,352,0.0103619106248723
TW,UC8CU5nVhCQIdAGrFFp4loOQ,3220000,周杰倫 JAY CHOU【倒影 Reflection】Official MV,MV,234,2023-05-13T11:46:41Z,Saturday,Spring,8425000,57218,3531,0.007210563798219585
TW,UC8CU5nVhCQIdAGrFFp4loOQ,3220000,周杰倫 JAY CHOU ft. JABBAWOCKEEZ【紅顏如霜 Cold Hearted】Official MV,MV,258,2022-10-21T03:59:36Z,Friday,Fall,21449402,102085,6928,0.0050823328314700805
TW,UC8CU5nVhCQIdAGrFFp4loOQ,3220000,周杰倫 Jay Chou【粉色海洋 Pink Ocean】Official MV,MV,182,2022-08-15T11:59:57Z,Monday,Summer,11757759,79638,3293,0.0070532998677724215
TW,UC8CU5nVhCQIdAGrFFp4loOQ,3220000,"周杰倫【最偉大的作品】MV創作歷程大公開 | Jay Chou's Making of the music video ""Greatest Works of Art""",MV,409,2022-07-29T11:59:57Z,Friday,Summer,1481061,12301,649,0.008743731689646815
TW,UC8CU5nVhCQIdAGrFFp4loOQ,3220000,周杰倫 Jay Chou【錯過的煙火 You Are The Firework I Missed】Official MV,MV,255,2022-07-27T15:59:59Z,Wednesday,Summer,12663862,89380,4908,0.007445438050414636
TW,UC8CU5nVhCQIdAGrFFp4loOQ,3220000,周杰倫 Jay Chou【還在流浪 Still Wandering】Official MV,MV,265,2022-07-14T16:00:03Z,Thursday,Summer,21917952,154284,10713,0.007527938741721855
TW,UC8CU5nVhCQIdAGrFFp4loOQ,3220000,周杰倫 Jay Chou【最偉大的作品 Greatest Works of Art】Official MV,MV,306,2022-07-06T04:00:02Z,Wednesday,Summer,30341447,335375,25328,0.011888127814075578
TW,UC8CU5nVhCQIdAGrFFp4loOQ,3220000,周杰倫 Jay Chou【斷了的弦 Broken Strings】Official MV,MV,295,2021-09-08T04:41:20Z,Wednesday,Fall,8500287,37481,2197,0.00466784239167454
TW,UC8CU5nVhCQIdAGrFFp4loOQ,3220000,周杰倫 Jay Chou【 軌跡 Tracks】Official MV,MV,326,2021-09-08T04:41:18Z,Wednesday,Fall,19901061,50938,2531,0.0026867411742519656
TW,UC8CU5nVhCQIdAGrFFp4loOQ,3220000,周杰倫監製電影《叱咤風雲》同名主題曲MV (演唱者/ 范逸臣 · 柯有倫),MV,257,2021-01-11T14:01:52Z,Monday,Winter,1088891,9656,960,0.009749368853264467
