style,channelId,channelSubs,title,type,duration_sec,publishedAt,dayOfWeek,season,views,likes,comments,engagment
TW,UCeB5UXWltaHtGoxkwGXLzpg,778000,爸爸的那台車『零預算伴唱MV』｜展榮展瑞K.R. Bros,MV,247,2025-05-30T10:00:11Z,Friday,Spring,11576,128,25,0.013217000691085003
TW,UCeB5UXWltaHtGoxkwGXLzpg,778000,展榮展瑞 K.R. Bros【爸爸的那台車】歌詞版MV,MV,246,2025-05-12T10:00:43Z,Monday,Spring,6547,151,21,0.026271574767068887
TW,UCeB5UXWltaHtGoxkwGXLzpg,778000,展榮展瑞 K.R. Bros【月光族Moon Tribe】Official Music Video,MV,153,2025-04-09T10:00:39Z,Wednesday,Spring,88219,1212,114,0.015030775683242839
TW,UCeB5UXWltaHtGoxkwGXLzpg,778000,展榮展瑞 K.R. Bros ╳ 中國娃娃 China Dolls X《好熱 So Hot》舞蹈版 Dance Version,Dance,156,2024-11-30T05:00:23Z,Saturday,Fall,14260,283,63,0.02426367461430575
TW,UCeB5UXWltaHtGoxkwGXLzpg,778000,展榮展瑞 K.R. Bros ╳ 中國娃娃 China Dolls X《好熱 So Hot》Official Music Video,MV,238,2024-09-22T11:00:23Z,Sunday,Fall,1274863,4701,653,0.004199666944605028
TW,UCeB5UXWltaHtGoxkwGXLzpg,778000,《給我你的愛》Show Me Love Cover by K.R. Bros & 魚乾 @annie72127,Cover,225,2023-06-13T10:00:09Z,Tuesday,Summer,63378,1350,123,0.023241503360787653
TW,UCeB5UXWltaHtGoxkwGXLzpg,778000,展榮.展瑞 K.R. Bros《給我你的愛 Show Me Love》帶你趣吹否版 Official Music Video,MV,234,2023-03-10T10:00:12Z,Friday,Spring,9284,276,71,0.037376130978026716
TW,UCeB5UXWltaHtGoxkwGXLzpg,778000,展榮.展瑞 K.R. Bros ft. 桃子A1J《生日快樂死 Dying for Birthday》Official Music Video,MV,262,2023-02-03T10:00:05Z,Friday,Winter,676552,7647,600,0.012189750381345411
TW,UCeB5UXWltaHtGoxkwGXLzpg,778000,《給我你的愛 Show Me Love》Official Music Video ｜展榮展瑞 K.R Bros,MV,222,2023-01-20T10:00:34Z,Friday,Winter,1147987,8816,125,0.007788415722477694
TW,UCeB5UXWltaHtGoxkwGXLzpg,778000,展榮展瑞 ft. RĒD°芮德 2022 NANA JUMP 經典改編〈魯冰花 The Dull Ice Flower〉Official Music Video — 致敬媽媽的最高主題曲,MV,239,2022-12-06T11:30:16Z,Tuesday,Winter,1399102,11232,345,0.00827459327482914
TW,UCeB5UXWltaHtGoxkwGXLzpg,778000,展榮.展瑞 K.R Bros《愛 Love》可愛舞蹈版 Cute Dance Performance Video,Dance,235,2021-10-29T11:05:40Z,Friday,Fall,328768,3158,246,0.010353805723184738
TW,UCeB5UXWltaHtGoxkwGXLzpg,778000,展榮.展瑞 K.R Bros《愛 Love》Official Music Video,MV,261,2021-10-12T04:00:08Z,Tuesday,Fall,1865121,29101,1139,0.016213425295195327
TW,UCeB5UXWltaHtGoxkwGXLzpg,778000,展榮.展瑞 K.R Bros feat.《Sprite雪碧®無渴不爽》Official Music Video,MV,208,2021-07-27T10:00:01Z,Tuesday,Summer,522179,6030,240,0.012007376780759088
TW,UCeB5UXWltaHtGoxkwGXLzpg,778000,展榮.展瑞 K.R Bros 《夏夜晚風 Summer Breeze》Official Music Video,MV,323,2021-04-05T10:00:02Z,Monday,Spring,1305605,12702,369,0.010011450630167623
TW,UCeB5UXWltaHtGoxkwGXLzpg,778000,展榮.展瑞 K.R Bros《十分鐘的戀愛 Ten Minutes of Love》Official Music Video,MV,254,2021-02-26T10:00:01Z,Friday,Winter,3689053,44051,1246,0.012278760971989289
TW,UCeB5UXWltaHtGoxkwGXLzpg,778000,展榮展瑞KR Bros - 愛瘋狂Mad Love （Official Video）ft. 玖壹壹洋蔥 邱鋒澤,MV,232,2019-12-17T10:00:10Z,Tuesday,Winter,5993339,32756,1496,0.005715011281691224
