style,channelId,channelSubs,title,type,duration_sec,publishedAt,dayOfWeek,season,views,likes,comments,engagment
TW,UCErZheK57jyQrLo_rJO0D5A,334000,動力火車 Power Station feat.麋先生 @Mixerband  [ 到底我算什麼 What am I to you? ] Official Music Video,Live,234,2024-09-29T10:01:36Z,Sunday,Fall,473172,2723,90,0.005944984064991166
TW,UCErZheK57jyQrLo_rJO0D5A,334000,動力火車 Power Station feat.九澤CP @NineZeCP  [ 知己 Confidante ] Official Music Video,Live,292,2024-08-22T13:00:12Z,Thursday,Summer,1206833,5534,447,0.00495594668027805
TW,UCErZheK57jyQrLo_rJO0D5A,334000,動力火車 Power Station [ 催眠 Mesmerize ] Official Music Video,MV,328,2024-06-25T12:58:27Z,Tuesday,Summer,962962,7605,749,0.00867531636762406
TW,UCErZheK57jyQrLo_rJO0D5A,334000,動力火車 Power Station feat.告五人 @Accusefive  [ 我不該哭 Log out of your world ] Official Music Video,Live,346,2024-05-10T12:58:26Z,Friday,Spring,6075058,38505,2250,0.0067085779263342015
TW,UCErZheK57jyQrLo_rJO0D5A,334000,動力火車 Power Station & 林俊傑 JJ Lin @jjlin  [ 俯衝的靈魂 THE RELENTLESS ] Official Music Video,Live,260,2024-04-22T03:58:08Z,Monday,Spring,2110932,16378,705,0.008092633964523727
TW,UCErZheK57jyQrLo_rJO0D5A,334000,動力火車 Power Station feat.玖壹壹 Nine One One @TWnineoneone911 [ 趁少年 Seize the day ] Official Music Video,Live,275,2024-01-26T13:09:09Z,Friday,Winter,7783582,32849,1027,0.004352237825720857
TW,UCErZheK57jyQrLo_rJO0D5A,334000,動力火車 Power Station [鳥仔 Fledgling] (老狐狸 電影主題曲) Official Music Video,MV,278,2023-11-03T04:00:23Z,Friday,Fall,508277,6075,206,0.012357435020667865
TW,UCErZheK57jyQrLo_rJO0D5A,334000,【2023_不會有暑假作業吧?知識作業】｜根本不是＃知識作業是年代大考驗！！｜動力火車ft@77Ke 柯棨棋,Live,462,2023-08-23T10:00:07Z,Wednesday,Summer,7406,195,15,0.02835538752362949
TW,UCErZheK57jyQrLo_rJO0D5A,334000,動力火車 Power Station [我們之間 My Dear Father] (做工的人電影版 主題曲)  精華版 MV,MV,203,2023-03-31T12:00:07Z,Friday,Spring,1651874,11171,410,0.007010825280862826
TW,UCErZheK57jyQrLo_rJO0D5A,334000,動力火車 Power Station [ 救世主 THE ONE ] 官方童畫版 MV,MV,274,2021-07-08T09:00:12Z,Thursday,Summer,1692830,7371,284,0.004522013433126776
TW,UCErZheK57jyQrLo_rJO0D5A,334000,動力火車 Power Station [ 不必說哈囉Cut Me Dead ] Official Music Video,MV,307,2021-05-20T09:20:23Z,Thursday,Spring,1770000,10195,459,0.006019209039548022
TW,UCErZheK57jyQrLo_rJO0D5A,334000,動力火車 Power Station [ 不必說哈囉Cut Me Dead ] Official Lyric Video,Lyric,252,2021-05-03T10:00:21Z,Monday,Spring,1029683,7983,340,0.008083070226467757
TW,UCErZheK57jyQrLo_rJO0D5A,334000,動力火車 Power Station [ 我很好騙 Love Me True ] Official Music Video,MV,384,2021-04-13T13:00:17Z,Tuesday,Spring,40350528,127246,7442,0.0033379488863194058
TW,UCErZheK57jyQrLo_rJO0D5A,334000,動力火車 Power Station [ 如果海能夠 If only the sea could ] Official Music Video (電影《東經北緯》主題曲),MV,293,2021-03-02T04:00:12Z,Tuesday,Spring,617822,5928,261,0.01001744839128422
TW,UCErZheK57jyQrLo_rJO0D5A,334000,動力火車 Power Station [ 跳上車子離開傷心的台北 Let bygones be bygones ] Official Music Video,MV,337,2020-11-03T13:00:02Z,Tuesday,Fall,7100888,29539,1422,0.004360158898436365
