style,channelId,channelSubs,title,type,duration_sec,publishedAt,dayOfWeek,season,views,likes,comments,engagment
TW,UC_fW_2QuZldcT3FhCYQ_2vw,569000,LIKE A STAR世界巡迴演唱會香港站,Live,268,2025-05-07T13:00:03Z,Wednesday,Spring,3876,151,27,0.04592363261093911
TW,UC_fW_2QuZldcT3FhCYQ_2vw,569000,LIKE A STAR世界巡迴演唱會演唱會上海返場站,Live,244,2025-01-28T11:19:12Z,Tuesday,Winter,3561,138,15,0.04296545914069082
TW,UC_fW_2QuZldcT3FhCYQ_2vw,569000,LIKE A STAR世界巡迴演唱會-「青春鬥」演唱會版,Live,203,2024-12-12T10:01:06Z,Thursday,Winter,8241,261,32,0.03555393762892853
TW,UC_fW_2QuZldcT3FhCYQ_2vw,569000,LIKE A STAR世界巡迴演唱會-「理想情人」演唱會版MV,Live,249,2024-12-03T04:58:17Z,Tuesday,Winter,11189,335,43,0.033783179908839035
TW,UC_fW_2QuZldcT3FhCYQ_2vw,569000,LIKE A STAR世界巡迴演唱會合肥站,Live,253,2024-11-21T05:00:32Z,Thursday,Fall,2549,128,14,0.0557081208316987
TW,UC_fW_2QuZldcT3FhCYQ_2vw,569000,LIKE A STAR 世界巡迴演唱會成都返場站,Live,307,2024-11-19T05:02:40Z,Tuesday,Fall,2011,110,15,0.062158130283441075
TW,UC_fW_2QuZldcT3FhCYQ_2vw,569000,楊丞琳 Rainie Yang -〈漂流浴室 INDULGING〉Official HD MV,MV,190,2020-11-16T04:00:12Z,Monday,Fall,809921,9685,605,0.012704942827757275
TW,UC_fW_2QuZldcT3FhCYQ_2vw,569000,楊丞琳 Rainie Yang -〈Love is Love〉DANCE PRACTICE VIDEO,Dance,242,2020-11-14T12:00:11Z,Saturday,Fall,182658,4560,279,0.026492132838419342
TW,UC_fW_2QuZldcT3FhCYQ_2vw,569000,楊丞琳 Rainie Yang -〈像是一顆星星 LIKE A STAR〉Official HD MV,MV,287,2020-11-01T04:00:11Z,Sunday,Fall,5625114,68148,3542,0.012744630597708775
TW,UC_fW_2QuZldcT3FhCYQ_2vw,569000,楊丞琳 Rainie Yang -〈BAD LADY〉DANCE PRACTICE VIDEO,Dance,234,2020-10-25T13:00:10Z,Sunday,Fall,302952,5390,304,0.01879505664263646
TW,UC_fW_2QuZldcT3FhCYQ_2vw,569000,楊丞琳 Rainie Yang -〈女孩們 GIRLS〉(feat. 王心凌 Cyndi Wang) Official HD MV,MV,188,2020-10-16T04:00:12Z,Friday,Fall,4600713,38623,1982,0.008825805913126943
TW,UC_fW_2QuZldcT3FhCYQ_2vw,569000,楊丞琳 Rainie Yang -〈SINGING IN THE RAIN〉Official HD MV,MV,224,2020-09-30T04:00:11Z,Wednesday,Fall,1754932,16782,873,0.010060218857482798
TW,UC_fW_2QuZldcT3FhCYQ_2vw,569000,楊丞琳 Rainie Yang -〈BAD LADY〉Official HD MV,MV,204,2020-09-11T04:00:11Z,Friday,Fall,2802173,34856,6525,0.014767467961471329
TW,UC_fW_2QuZldcT3FhCYQ_2vw,569000,楊丞琳 Rainie Yang -〈臉孔 Faces〉Official Lyric MV,Lyric,291,2020-06-05T04:00:14Z,Friday,Summer,205591,3863,140,0.019470696674465323
