style,channelId,channelSubs,title,type,duration_sec,publishedAt,dayOfWeek,season,views,likes,comments,engagment
TW,UCuhagpMMr6Ipr5kTQfvnI2Q,503000,羅志祥Show Lo – 北極星POLE STAR (Official HD MV) feat. May J.,MV,317,2016-02-02T10:49:10Z,Tuesday,Winter,944497,5803,531,0.006706215054150516
TW,UCuhagpMMr6Ipr5kTQfvnI2Q,503000,羅志祥Show Lo –愛的主打嗝 Happy Hiccup(Official HD MV),MV,202,2016-01-12T10:57:55Z,Tuesday,Winter,570161,3303,259,0.006247358202332323
TW,UCuhagpMMr6Ipr5kTQfvnI2Q,503000,羅志祥Show Lo –斷片I Lost Myself(Official HD MV),MV,262,2015-12-24T04:00:22Z,Thursday,Winter,1439042,4427,418,0.0033668232059939876
TW,UCuhagpMMr6Ipr5kTQfvnI2Q,503000,羅志祥Show Lo –說真話的朋友BEST FRIEND(Official HD MV),MV,265,2015-12-09T04:00:04Z,Wednesday,Winter,1127109,8083,584,0.007689584592084705
TW,UCuhagpMMr6Ipr5kTQfvnI2Q,503000,羅志祥Show Lo feat.秀智Suzy– 幸福特調TOGETHER IN LOVE (Official HD MV),MV,348,2015-11-24T13:59:17Z,Tuesday,Fall,5317800,32839,1692,0.006493474745195382
TW,UCuhagpMMr6Ipr5kTQfvnI2Q,503000,羅志祥Show Lo - 夠了 Let go (Official HD MV),MV,249,2015-10-26T08:59:11Z,Monday,Fall,6845148,32165,3895,0.00526796498775483
TW,UCuhagpMMr6Ipr5kTQfvnI2Q,503000,羅志祥 Show Lo - [再見陌生人Goodbye My Love]戲劇版MV (Official HD MV Drama Ver.),LangVer,232,2014-07-21T04:23:29Z,Monday,Summer,4589943,15789,626,0.003576297134844594
TW,UCuhagpMMr6Ipr5kTQfvnI2Q,503000,羅志祥Show Lo - [從愛發落 Deal With Your Love] 戲劇版MV (Official HD MV Drama Ver.),LangVer,184,2014-07-21T04:21:30Z,Monday,Summer,864105,4085,191,0.004948472697183791
TW,UCuhagpMMr6Ipr5kTQfvnI2Q,503000,羅志祥Show Lo  -《Shake Your Body》百事音樂完整版MV,MV,251,2014-06-06T06:39:19Z,Friday,Summer,7988605,38600,1550,0.005025908778816827
TW,UCuhagpMMr6Ipr5kTQfvnI2Q,503000,羅志祥Show Lo- 想逃 Run Away(Official HD MV ),MV,262,2014-01-07T04:09:03Z,Tuesday,Winter,2909055,15082,737,0.005437848373440859
TW,UCuhagpMMr6Ipr5kTQfvnI2Q,503000,羅志祥Show Lo-我的皇后 My Queen (Official HD MV),MV,215,2013-12-15T07:57:45Z,Sunday,Winter,4231909,21724,1128,0.005399927077827052
TW,UCuhagpMMr6Ipr5kTQfvnI2Q,503000,羅志祥Show Lo-舞魂再現 Dance Soul Returns (Official HD MV),Dance,194,2013-12-04T05:59:35Z,Wednesday,Winter,2796721,14660,795,0.005526114331747786
TW,UCuhagpMMr6Ipr5kTQfvnI2Q,503000,羅志祥Show Lo-惜命命You are mine (Official HD MV),MV,274,2013-11-22T04:00:36Z,Friday,Fall,11987098,37487,1600,0.0032607558560045144
TW,UCuhagpMMr6Ipr5kTQfvnI2Q,503000,羅志祥Show Lo -未完的承諾 Unfinished Promises (Official HD MV),MV,351,2013-11-08T04:03:52Z,Friday,Fall,14109671,34219,1477,0.0025298959841090554
TW,UCuhagpMMr6Ipr5kTQfvnI2Q,503000,羅志祥Show Lo - 愛投羅網舞蹈教學【完整惡搞版】,Dance,305,2013-11-06T07:45:15Z,Wednesday,Fall,4431197,26979,1974,0.006533900433675145
TW,UCuhagpMMr6Ipr5kTQfvnI2Q,503000,羅志祥Show 舞極限世界巡迴台北場 終極瘦身操 【官方版】,LangVer,225,2013-04-17T05:17:09Z,Wednesday,Spring,172064,1679,177,0.010786684024549005
TW,UCuhagpMMr6Ipr5kTQfvnI2Q,503000,=舞蹈教學= 羅志祥Show Lo鬧翻天Bounce! 舞蹈教學完整版,Dance,204,2012-12-18T04:51:19Z,Tuesday,Winter,828486,4759,268,0.006067694565750055
TW,UCuhagpMMr6Ipr5kTQfvnI2Q,503000,=舞蹈教學= 羅志祥Show Lo 舞極限Over The Limit 舞蹈教學大公開,Dance,180,2012-12-13T10:11:21Z,Thursday,Winter,1052200,5806,512,0.00600456187036685
TW,UCuhagpMMr6Ipr5kTQfvnI2Q,503000,羅志祥Show Lo - 愛拼才會贏 live版,Live,90,2012-12-10T06:15:02Z,Monday,Winter,73923,1496,124,0.0219146950204943
TW,UCuhagpMMr6Ipr5kTQfvnI2Q,503000,羅志祥Show Lo - 鬧翻天Bounce! (Official HD MV),MV,264,2012-12-04T13:59:01Z,Tuesday,Winter,11633643,52645,3473,0.0048237684446737795
TW,UCuhagpMMr6Ipr5kTQfvnI2Q,503000,羅志祥Show Lo - 空中飛人Flyer(Official HD MV),MV,295,2012-11-22T02:26:12Z,Thursday,Fall,1982750,11550,1132,0.0063961669398562605
TW,UCuhagpMMr6Ipr5kTQfvnI2Q,503000,=互動式= 羅志祥Show Lo - 舞極限Over The Limit (Official HD MV),MV,332,2012-11-09T13:20:53Z,Friday,Fall,7226836,36401,5392,0.0057830287002500124
