style,channelId,channelSubs,title,type,duration_sec,publishedAt,dayOfWeek,season,views,likes,comments,engagment
TW,UC5XuZesSLwaQFsPSgoJkN9A,226000,SpeXial - 憂傷來襲 When Grief Strikes (華納 official 高畫質 HD 官方完整版MV),MV,241,2016-08-10T04:00:01Z,Wednesday,Summer,4447955,30888,4480,0.00795151929369789
TW,UC5XuZesSLwaQFsPSgoJkN9A,226000,SpeXial - Boyz On Fire (華納 official 高畫質 HD 官方完整版MV),MV,232,2016-07-19T14:43:16Z,Tuesday,Summer,5486165,33118,5704,0.007076345680452557
TW,UC5XuZesSLwaQFsPSgoJkN9A,226000,SpeXial - 犀利GIRL Silly Girl (華納 official 高畫質 HD 官方完整版MV),MV,200,2015-11-05T12:00:01Z,Thursday,Fall,2202204,16547,1405,0.008151833345139687
TW,UC5XuZesSLwaQFsPSgoJkN9A,226000,SpeXial - 暖男製造機 The Sweet Boys (華納 official 高畫質 HD 官方完整版MV),MV,203,2015-10-20T12:00:00Z,Tuesday,Fall,2648761,19789,2126,0.008273679656261928
TW,UC5XuZesSLwaQFsPSgoJkN9A,226000,SpeXial - Dangerous (華納 official 高畫質 HD 官方完整版MV),MV,212,2015-09-14T12:00:30Z,Monday,Fall,3347609,20008,1877,0.006537501840866123
TW,UC5XuZesSLwaQFsPSgoJkN9A,226000,SpeXial - 貼身 Love Guardian (華納 official 高畫質 HD 官方完整版MV),MV,191,2015-08-17T12:00:01Z,Monday,Summer,4155408,26281,2868,0.0070147143192678075
TW,UC5XuZesSLwaQFsPSgoJkN9A,226000,SpeXial - 迷失in U Missing U (華納 official 高畫質 HD 官方完整版MV),MV,199,2015-02-07T12:00:02Z,Saturday,Winter,4659514,30575,2536,0.0071061059157671806
TW,UC5XuZesSLwaQFsPSgoJkN9A,226000,SpeXial - Love Killah (華納 official 高畫質 HD 官方完整版MV),MV,229,2015-01-19T11:56:46Z,Monday,Winter,5998707,37726,4509,0.007040683934054455
TW,UC5XuZesSLwaQFsPSgoJkN9A,226000,SpeXial - 拼貼記憶 Memory collage (華納 official 高畫質 HD 官方完整版MV),MV,273,2014-09-24T10:00:06Z,Wednesday,Fall,3003397,17029,901,0.005969906742265508
TW,UC5XuZesSLwaQFsPSgoJkN9A,226000,SpeXial - X未知數 X (華納official 高畫質HD官方完整版MV),MV,212,2014-09-22T10:00:09Z,Monday,Fall,2362272,12418,916,0.005644565909429566
TW,UC5XuZesSLwaQFsPSgoJkN9A,226000,SpeXial -  愛不再呼吸 Can't breathe without you  (華納official 高畫質HD官方完整版MV),MV,276,2014-08-23T12:00:09Z,Saturday,Summer,4058844,24296,1603,0.00638088086164435
TW,UC5XuZesSLwaQFsPSgoJkN9A,226000,SpeXial - 愛這種離譜感覺 Subtle love (華納official 高畫質HD官方完整版MV),MV,211,2014-07-14T11:50:58Z,Monday,Summer,7654221,44274,3010,0.006177506502621234
TW,UC5XuZesSLwaQFsPSgoJkN9A,226000,SpeXial - Break it down 終極加長版 (華納official 高畫質HD官方完整版MV),MV,292,2014-06-03T07:02:41Z,Tuesday,Summer,8144117,43001,3535,0.005714063292558297
TW,UC5XuZesSLwaQFsPSgoJkN9A,226000,SpeXial - Break it down (華納official 官方版音檔),MV,219,2014-05-30T12:00:07Z,Friday,Spring,388284,2752,123,0.007404374117913692
TW,UC5XuZesSLwaQFsPSgoJkN9A,226000,首播==SpeXial快歌主打「Super Style」HD官方完整版MV( Official MV),MV,218,2013-01-09T16:00:53Z,Wednesday,Winter,13053623,70645,6409,0.0059028822879288
TW,UC5XuZesSLwaQFsPSgoJkN9A,226000,首播==SpeXial獨身情歌「慶祝寂寞」HD官方完整版MV( Official MV),MV,216,2012-12-19T15:51:42Z,Wednesday,Winter,2954596,17604,1595,0.006498011910934693
TW,UC5XuZesSLwaQFsPSgoJkN9A,226000,首播=Spexial發飆(SpeXial版終極一班2主題曲) MV高清HD官方完整版( Official MV),MV,204,2012-12-10T16:00:33Z,Monday,Winter,7180894,34905,2889,0.005263132974807872
TW,UC5XuZesSLwaQFsPSgoJkN9A,226000,搶先聽==SpeXial首波獨身情歌「慶祝寂寞」官方字幕版( Official ),MV,210,2012-12-06T10:58:07Z,Thursday,Winter,143105,1525,92,0.011299395548722965
