style,channelId,channelSubs,title,type,duration_sec,publishedAt,dayOfWeek,season,views,likes,comments,engagment
TW,UC6FcYHEm7SO1jpu5TKjNXEA,3460000,這群人 TGOP –十年的我 Ten years of me (官方完整版MV) Official Music Video,MV,330,2020-10-15T10:00:46Z,Thursday,Fall,949524,15939,884,0.017717298351595114
TW,UC6FcYHEm7SO1jpu5TKjNXEA,3460000,這群人 TGOP – 做到死 Do it till we die (官方完整版MV) Official Music Video,MV,234,2020-08-03T12:00:11Z,Monday,Summer,3794693,40530,2648,0.011378522584040396
TW,UC6FcYHEm7SO1jpu5TKjNXEA,3460000,這群人 TGOP │熱戀期的經典語錄 feat.劉書宏【語錄系列】 Classic Quotes for Couples in the Infatuation Stage,Live,449,2019-02-28T10:00:38Z,Thursday,Winter,4514263,61639,4082,0.014558522620414452
TW,UC6FcYHEm7SO1jpu5TKjNXEA,3460000,三個人 Three People - 卡關 Stuck (官方完整版MV) Official Music Video,MV,231,2018-05-29T10:01:14Z,Tuesday,Spring,2672230,34587,1125,0.013364119106514034
TW,UC6FcYHEm7SO1jpu5TKjNXEA,3460000,鄭茵聲 Alina Cheng - 愛情日期 Love Date (官方完整版MV) Official Music Video -《我家北鼻最棒了》主題曲,MV,235,2018-05-18T10:00:05Z,Friday,Spring,2565948,31014,1452,0.012652633646511932
TW,UC6FcYHEm7SO1jpu5TKjNXEA,3460000,展榮展瑞 K.R BROS - 閃退 Flash Back (官方完整版MV) Official Music Video,MV,202,2018-05-08T10:00:02Z,Tuesday,Spring,3134404,48169,2020,0.016012294522339814
TW,UC6FcYHEm7SO1jpu5TKjNXEA,3460000,鄭茵聲 Alina Cheng - 稻草 STRAW (官方完整版MV) Official Music Video -《高塔公主》片頭曲,MV,219,2018-04-13T10:00:10Z,Friday,Spring,5257502,48778,1612,0.009584399587484704
TW,UC6FcYHEm7SO1jpu5TKjNXEA,3460000,這群人 TGOP│街頭尬舞對決 Street Dance Battle,Dance,412,2017-05-30T10:57:27Z,Tuesday,Spring,8016275,95130,6831,0.012719249277251592
TW,UC6FcYHEm7SO1jpu5TKjNXEA,3460000,三個人 Three People - 這是我 THIS IS ME (官方舞蹈版) Dance Performance Video,Dance,243,2016-12-16T13:12:14Z,Friday,Winter,5289676,51200,2558,0.010162815265055932
TW,UC6FcYHEm7SO1jpu5TKjNXEA,3460000,這群人 TGOP│住宿的各種癖好 All Sorts of Habits When Living at a Hotel,Live,480,2016-12-15T12:24:32Z,Thursday,Winter,9237554,57763,1636,0.006430165387937109
TW,UC6FcYHEm7SO1jpu5TKjNXEA,3460000,三個人 Three People - 這是我 THIS IS ME (官方完整版MV) Official Music Video,MV,244,2016-11-20T13:07:43Z,Sunday,Fall,13968561,147305,7347,0.011071433915061114
TW,UC6FcYHEm7SO1jpu5TKjNXEA,3460000,這群人 TGOP│舞池的經典語錄【語錄系列】Dance Floor Classics,Dance,271,2016-09-30T10:16:54Z,Friday,Fall,3774567,34089,767,0.009234436691678807
TW,UC6FcYHEm7SO1jpu5TKjNXEA,3460000,這群人TGOP首度公開│原創音樂 【靈異香蕉 The Bloody Banana】,MV,143,2015-09-19T13:03:45Z,Saturday,Fall,156655,767,40,0.005151447448214229
TW,UC6FcYHEm7SO1jpu5TKjNXEA,3460000,這群人TGOP首度公開│原創音樂 【愛情公式 THE LOVE FORMULA】【愛情片的潛在公式】,MV,200,2015-09-19T13:03:45Z,Saturday,Fall,272591,2294,118,0.008848421261156824
TW,UC6FcYHEm7SO1jpu5TKjNXEA,3460000,這群人TGOP首度公開│原創音樂 【陰經傳說 3D】,MV,125,2015-09-18T11:59:10Z,Friday,Fall,243306,1223,43,0.00520332420902074
TW,UC6FcYHEm7SO1jpu5TKjNXEA,3460000,這群人TGOP首度公開│原創音樂【布丁俠 PUDDINGMAN 】,MV,102,2015-09-17T11:28:23Z,Thursday,Fall,156910,1655,96,0.011159263271939328
TW,UC6FcYHEm7SO1jpu5TKjNXEA,3460000,"這群人TGOP｜舞擺 Dirty Dancing (by 超瞎電影翻譯3) Shake Your Body, India Night 【假單曲MV系列】",MV,176,2015-02-19T13:40:21Z,Thursday,Winter,1460801,9445,488,0.00679969414040653
TW,UC6FcYHEm7SO1jpu5TKjNXEA,3460000,這群人 TGOP │三個人 Three People - 皮在癢 Naughty (官方完整版 MV) 這群人片尾曲,MV,238,2014-05-09T09:00:36Z,Friday,Spring,5382921,51949,2180,0.010055692810650574
TW,UC6FcYHEm7SO1jpu5TKjNXEA,3460000,這群人 TGOP│結帳的經典語錄【語錄系列】When at the Cashier 【Quotation Series】,Live,246,2014-01-31T11:01:30Z,Friday,Winter,6622017,28640,965,0.004470692237727569
TW,UC6FcYHEm7SO1jpu5TKjNXEA,3460000,這群人 TGOP│學尬乾那塞 Studied like sh*t ( PSY GANGNAM STYLE Parody / 台灣騎馬舞) 【假單曲MV系列】,MV,136,2012-08-27T12:35:56Z,Monday,Summer,7381176,52882,3817,0.0076815672732908685
