style,channelId,channelSubs,title,type,duration_sec,publishedAt,dayOfWeek,season,views,likes,comments,engagment
TW,UCeNjr6aT_-wnwmybVTRfj0w,368000,韋禮安 WeiBird & 東海 DONGHAE - '最好的朋友 Best Friend' Official Music Video,MV,230,2025-05-20T12:00:32Z,Tuesday,Spring,402099,4406,215,0.011492194708268361
TW,UCeNjr6aT_-wnwmybVTRfj0w,368000,韋禮安 WeiBird & 東海 DONGHAE - '最好的朋友 Best Friend' Official Lyric Video,Lyric,228,2025-04-22T04:01:02Z,Tuesday,Spring,274789,5920,266,0.022511818158659918
TW,UCeNjr6aT_-wnwmybVTRfj0w,368000,"韋禮安 WeiBird - ""For a Better Day"" feat. 連炳發 Liên Bỉnh Phát Official MV - 影集「The Outlaw Doctor 化外之醫」插曲",MV,216,2025-03-11T11:00:15Z,Tuesday,Spring,284673,3595,242,0.013478622840943819
TW,UCeNjr6aT_-wnwmybVTRfj0w,368000,"韋禮安 WeiBird - ""Too Good"" Official Lyric Video - 影集「妮波自由式」片尾曲",Lyric,185,2024-10-29T11:00:38Z,Tuesday,Fall,91675,1062,44,0.012064357785655849
TW,UCeNjr6aT_-wnwmybVTRfj0w,368000,"韋禮安 WeiBird - ""Too Good"" Official Audio - 影集「妮波自由式」片尾曲",MV,182,2024-10-28T16:01:00Z,Monday,Fall,16247,520,44,0.034714101064811966
TW,UCeNjr6aT_-wnwmybVTRfj0w,368000,韋禮安「如果可以，我想和你明天再見 again」高雄巨蛋演唱會,Live,124,2024-06-07T04:00:03Z,Friday,Summer,15786,294,20,0.0198910426960598
TW,UCeNjr6aT_-wnwmybVTRfj0w,368000,Oliver Heldens & 韋禮安 WeiBird - Out of Love (MV Behind The Scenes),Live,136,2023-12-06T10:00:13Z,Wednesday,Winter,8707,240,18,0.029631331112897667
TW,UCeNjr6aT_-wnwmybVTRfj0w,368000,Oliver Heldens & 韋禮安 WeiBird - Out of Love (Official Lyric Video),Live,139,2023-11-25T06:15:03Z,Saturday,Fall,26819,839,51,0.0331854282411723
TW,UCeNjr6aT_-wnwmybVTRfj0w,368000,韋禮安 WeiBird《一直都在 All Along》MV - 電影「我的麻吉4個鬼」主題曲,MV,222,2023-08-14T12:00:48Z,Monday,Summer,2961496,14778,517,0.005164619503115993
TW,UCeNjr6aT_-wnwmybVTRfj0w,368000,韋禮安 WeiBird《大海 Reminisce》Official Lyric Video,Lyric,205,2023-03-14T04:00:08Z,Tuesday,Spring,870147,7845,236,0.00928693657508444
