style,channelId,channelSubs,title,type,duration_sec,publishedAt,dayOfWeek,season,views,likes,comments,engagment
TW,UCqdzor-JwvSA2HMlzBTUtOw,111000,安心亞 Xinya An〈Maybe We Can〉Official Music Video,MV,225,2025-04-15T13:00:07Z,Tuesday,Spring,138439,3811,364,0.030157686779014585
TW,UCqdzor-JwvSA2HMlzBTUtOw,111000,安心亞 Xinya An〈臉盲症〉Official Music Video,MV,194,2020-08-14T04:00:01Z,Friday,Summer,116627,2438,194,0.022567673008823
TW,UCqdzor-JwvSA2HMlzBTUtOw,111000,安心亞 Xinya An〈愛得起〉舞蹈版 Dance Ver.,Dance,132,2020-08-03T02:59:59Z,Monday,Summer,114836,2112,100,0.019262252255390296
TW,UCqdzor-JwvSA2HMlzBTUtOw,111000,安心亞 Xinya An〈愛得起〉Official Music Video,MV,225,2020-07-31T04:00:01Z,Friday,Summer,1788435,7304,478,0.004351290373986194
TW,UCqdzor-JwvSA2HMlzBTUtOw,111000,安心亞 Xinya An〈來追我男友吧〉舞蹈版 Dance Ver.,Dance,154,2020-07-20T04:00:19Z,Monday,Summer,192997,3534,172,0.019202371021311213
TW,UCqdzor-JwvSA2HMlzBTUtOw,111000,安心亞 Xinya An〈來追我男友吧〉Official Music Video,MV,223,2020-07-17T04:00:04Z,Friday,Summer,2488368,18032,935,0.007622264874005774
TW,UCqdzor-JwvSA2HMlzBTUtOw,111000,安心亞 Xinya An〈夠不著的你〉Official Music Video,MV,281,2020-05-14T13:00:28Z,Thursday,Spring,393730,2594,158,0.006989561374546009
TW,UCqdzor-JwvSA2HMlzBTUtOw,111000,安心亞 Xinya An〈低頭戰〉Feat. 宋柏緯 - Official Music Video -《墜愛》插曲,MV,203,2020-03-27T04:00:09Z,Friday,Spring,224591,2995,163,0.014061115538912957
TW,UCqdzor-JwvSA2HMlzBTUtOw,111000,安心亞 Amber An《放大鏡 Magnifier》官方完整版(Official HD MV),MV,238,2016-12-02T07:32:35Z,Friday,Winter,400885,3139,168,0.008249248537610537
TW,UCqdzor-JwvSA2HMlzBTUtOw,111000,安心亞 Amber An《人生要漂亮 Live Beautifully》官方完整版(Official HD MV),Live,189,2016-11-09T04:20:05Z,Wednesday,Fall,1503254,5939,283,0.004139021083595986
TW,UCqdzor-JwvSA2HMlzBTUtOw,111000,安心亞 feat. 羅志祥《靚仔 Handsome Guy》官方舞蹈版(Official HD MV),Dance,188,2016-11-08T15:33:08Z,Tuesday,Fall,1338464,9670,363,0.007495905754656083
TW,UCqdzor-JwvSA2HMlzBTUtOw,111000,安心亞 feat. 羅志祥《靚仔 Handsome Guy》官方完整版(Official HD MV),MV,193,2016-10-28T04:00:02Z,Friday,Fall,12765344,60095,2857,0.0049314769739068525
TW,UCqdzor-JwvSA2HMlzBTUtOw,111000,安心亞 Amber An《別再撐了 Stop Hang in There》官方完整版(Official HD MV),MV,361,2016-10-13T04:00:29Z,Thursday,Fall,4769536,18680,931,0.004111720720841608
TW,UCqdzor-JwvSA2HMlzBTUtOw,111000,安心亞 Amber_An  - 《有你真好 》Cover,Cover,129,2015-10-10T18:13:40Z,Saturday,Fall,197989,3145,245,0.017122163352509483
TW,UCqdzor-JwvSA2HMlzBTUtOw,111000,安心亞 Amber_An 《 Begin Again - Like A Fool 》Cover,Cover,177,2015-03-22T12:42:45Z,Sunday,Spring,26833,456,13,0.017478477993515446
TW,UCqdzor-JwvSA2HMlzBTUtOw,111000,安心亞 Amber_An 《HUSH! 都是你害的 》Cover,Cover,273,2015-01-27T13:00:06Z,Tuesday,Winter,218620,2813,74,0.013205562162656665
TW,UCqdzor-JwvSA2HMlzBTUtOw,111000,安心亞 Amber_An 《女孩 站出來演唱會》- 鋼琴自彈自唱《思慕的人》,Live,268,2015-01-19T10:01:55Z,Monday,Winter,41261,488,32,0.012602699886090982
TW,UCqdzor-JwvSA2HMlzBTUtOw,111000,安心亞 Amber_An 《女孩 站出來演唱會》- 吉他自彈自唱《哈囉》,Live,254,2015-01-12T10:59:00Z,Monday,Winter,20747,298,16,0.015134718272521329
TW,UCqdzor-JwvSA2HMlzBTUtOw,111000,安心亞 Amber_An《你所不知道的我Things You Don't Know About Me 》Official Music Video,MV,258,2014-12-25T10:14:39Z,Thursday,Winter,404050,1321,41,0.0033708699418388815
TW,UCqdzor-JwvSA2HMlzBTUtOw,111000,安心亞 Amber_An《姊妹最大 Girl Power 》Official Music Video,MV,210,2014-12-10T10:01:42Z,Wednesday,Winter,150857,537,20,0.003692238344922675
TW,UCqdzor-JwvSA2HMlzBTUtOw,111000,安心亞 Amber_An《哈囉Hello 》Official Music Video (偶像劇「妹妹」插曲),MV,249,2014-10-10T02:00:01Z,Friday,Fall,1325358,6737,169,0.005210667608299041
TW,UCqdzor-JwvSA2HMlzBTUtOw,111000,安心亞 Amber_An《女孩，站出來！ Jump For The Girl！》官方舞蹈版,Dance,240,2014-10-02T05:39:24Z,Thursday,Fall,356476,2474,112,0.007254345313569497
TW,UCqdzor-JwvSA2HMlzBTUtOw,111000,安心亞 Amber_An《新宿A New Destination 》Official Music Video (偶像劇「妹妹」片尾曲,MV,270,2014-09-27T16:04:55Z,Saturday,Fall,1874554,9401,211,0.0051276196898035475
TW,UCqdzor-JwvSA2HMlzBTUtOw,111000,安心亞 Amber_An《在一起 With You 》Official Music Video,MV,192,2014-09-23T04:40:17Z,Tuesday,Fall,1280695,4632,153,0.0037362525816060812
TW,UCqdzor-JwvSA2HMlzBTUtOw,111000,安心亞 Amber_An《女孩，站出來！ Jump For The Girl！》Official Music Video,MV,215,2014-09-12T04:00:22Z,Friday,Fall,9836778,34819,1394,0.0036813883570412996
TW,UCqdzor-JwvSA2HMlzBTUtOw,111000,蕭閎仁新歌演唱會-安心亞-改版呼呼,Live,210,2013-12-01T16:12:49Z,Sunday,Winter,36030,304,12,0.008770469053566472
TW,UCqdzor-JwvSA2HMlzBTUtOw,111000,蕭閎仁新歌演唱會-安心亞-愛要安心呀,Live,336,2013-12-01T15:44:16Z,Sunday,Winter,55092,375,16,0.007097219196979598
TW,UCqdzor-JwvSA2HMlzBTUtOw,111000,安心亞 - 超完美極品 官方歌詞版MV,MV,184,2013-01-27T17:28:18Z,Sunday,Winter,72745,390,20,0.005636126194240154
TW,UCqdzor-JwvSA2HMlzBTUtOw,111000,安心亞 - 單身日記 官方歌詞版MV,MV,274,2013-01-27T17:27:48Z,Sunday,Winter,130849,630,31,0.0050516243914741415
TW,UCqdzor-JwvSA2HMlzBTUtOw,111000,安心亞 - 愛得好寂寞 官方歌詞版MV,MV,315,2013-01-25T04:53:56Z,Friday,Winter,269683,1068,38,0.004101111304754101
TW,UCqdzor-JwvSA2HMlzBTUtOw,111000,安心亞 - 呼呼 舞蹈版MV,Dance,200,2013-01-09T09:44:56Z,Wednesday,Winter,1219458,4157,233,0.00359995998222161
TW,UCqdzor-JwvSA2HMlzBTUtOw,111000,安心亞 - 沒有你的明天 官方完整版MV (Official HD Music Video),MV,248,2013-01-08T16:01:59Z,Tuesday,Winter,2275846,9435,368,0.004307409200798296
TW,UCqdzor-JwvSA2HMlzBTUtOw,111000,安心亞 - 呼呼 官方完整MV (Official Music Video),MV,202,2012-12-26T15:55:22Z,Wednesday,Winter,11140833,34530,2818,0.0033523525574793195
TW,UCqdzor-JwvSA2HMlzBTUtOw,111000,安心亞 - 愛的動名片 官方完整MV (Offical Music Video),MV,208,2012-12-14T10:52:07Z,Friday,Winter,210373,793,54,0.004026182067090358
TW,UCqdzor-JwvSA2HMlzBTUtOw,111000,安心亞 - Don't Cry 官方完整版 HD MV (西門町電影主題曲)[Amber's Official HD MV],MV,172,2012-08-21T07:00:56Z,Tuesday,Summer,422215,1776,59,0.004346126973224542
TW,UCqdzor-JwvSA2HMlzBTUtOw,111000,唯舞 - 完整舞蹈HD版MV (Official Dancing Music Video),Dance,181,2012-08-07T06:35:57Z,Tuesday,Summer,1641292,5729,259,0.0036483453279489574
