style,channelId,channelSubs,title,type,duration_sec,publishedAt,dayOfWeek,season,views,likes,comments,engagment
vTubers,UCChAHq4kdRZ0FJ1Jfjvr9cw,63600,[4K] ファンサ／HoneyWorks ♦︎ Paroniie 3DLIVE 星宿單曲無字幕版,Live,255,2025-05-04T11:00:30Z,Sunday,Spring,22881,133,8,0.0061623180805034745
vTubers,UCChAHq4kdRZ0FJ1Jfjvr9cw,63600,[4K] 我喜歡你／洪安妮 ♦︎ Paroniie 3DLIVE 星宿單曲無字幕版,Live,248,2025-05-03T11:00:33Z,Saturday,Spring,16592,125,17,0.008558341369334619
vTubers,UCChAHq4kdRZ0FJ1Jfjvr9cw,63600,[4K] ちゅ、多様性／ano ♦︎ Paroniie 3DLIVE 星宿單曲無字幕版,Live,195,2025-04-27T11:00:04Z,Sunday,Spring,12512,191,12,0.01622442455242967
vTubers,UCChAHq4kdRZ0FJ1Jfjvr9cw,63600,[4K] 夠愛／曾沛慈、東城衞 ♦︎ Paroniie 3DLIVE 星宿單曲無字幕版,Live,293,2025-04-26T11:00:47Z,Saturday,Spring,13762,447,34,0.03495131521581166
vTubers,UCChAHq4kdRZ0FJ1Jfjvr9cw,63600,[4K] 玫瑰少年／蔡依林 ♦︎ Paroniie 3DLIVE 星宿單曲無字幕版,Live,206,2025-04-20T11:01:15Z,Sunday,Spring,20918,223,14,0.01132995506262549
vTubers,UCChAHq4kdRZ0FJ1Jfjvr9cw,63600,[4K] いけないボーダーライン／ワルキューレ ♦︎ Paroniie 3DLIVE 星宿單曲無字幕版,Live,286,2025-04-19T11:00:43Z,Saturday,Spring,15785,170,11,0.011466582198289516
vTubers,UCChAHq4kdRZ0FJ1Jfjvr9cw,63600,[4K] 可愛くてごめん／HoneyWorks ♦︎ Paroniie 3DLIVE 星宿單曲無字幕版,Live,228,2025-04-13T11:00:35Z,Sunday,Spring,12117,282,17,0.024676074936040272
vTubers,UCChAHq4kdRZ0FJ1Jfjvr9cw,63600,[4K] Stellar Stellar／星街すいせい ♦︎ Paroniie 3DLIVE 星宿單曲無字幕版,Live,306,2025-04-12T11:00:49Z,Saturday,Spring,11718,437,15,0.038573135347328896
vTubers,UCChAHq4kdRZ0FJ1Jfjvr9cw,63600,Phony / Paroniie cover. / 1.5周年&米豆綠媽咪生日快樂！！！,Cover,190,2024-08-30T11:00:10Z,Friday,Summer,3672,471,39,0.1388888888888889
vTubers,UCChAHq4kdRZ0FJ1Jfjvr9cw,63600,早安大少爺 賴床的話會被扣薪水的哦～ ft. @AoiHinamoriCh  🔹#帕蘿妮 #Paroniie #Cover #잘자요아가씨 #晚安大小姐 #早安大少爺,Cover,120,2024-06-04T12:00:06Z,Tuesday,Summer,11832,1267,46,0.11097025016903313
vTubers,UCChAHq4kdRZ0FJ1Jfjvr9cw,63600,【以心傳心】overdose🔹#帕蘿妮 #Paroniie,Cover,195,2024-05-29T12:00:37Z,Wednesday,Spring,1239,101,7,0.08716707021791767
vTubers,UCChAHq4kdRZ0FJ1Jfjvr9cw,63600,🎵 我會等「與你一起去看外面世界到底多大和你慢慢周旋」｜#帕蘿妮 💧 #Paroniie  #cover.,Cover,189,2024-04-17T10:00:23Z,Wednesday,Spring,3946,252,28,0.07095793208312215
vTubers,UCChAHq4kdRZ0FJ1Jfjvr9cw,63600,🎵 一路生花「我希望許過的願望一路生花也仍感嘆於世界之大」｜#帕蘿妮 💧 #Paroniie  #cover.,Cover,253,2024-04-12T10:00:06Z,Friday,Spring,6532,315,38,0.05404164115125536
vTubers,UCChAHq4kdRZ0FJ1Jfjvr9cw,63600,🎵  バラライカ 巴拉萊卡 Balalaika🔹#帕蘿妮 #Paroniie #COVER,Cover,214,2024-03-22T10:00:29Z,Friday,Spring,4151,436,51,0.11732112743917128
