style,channelId,channelSubs,title,type,duration_sec,publishedAt,dayOfWeek,season,views,likes,comments,engagment
vTubers,UCswRX8mNNdn1fjRctZqzjgA,226000,【距離生日還有一個月🍰✨】テレパシ - DECO*27【歌ってみた】｜covered by Rumi懶貓子,Cover,145,2025-07-13T11:00:06Z,Sunday,Summer,3946,513,54,0.14368981246832235
vTubers,UCswRX8mNNdn1fjRctZqzjgA,226000,【歌ってみた】１・２・３／After the Rain ｜covered by Rumi懶貓子 × 浠Mizuki,Cover,298,2022-11-18T11:00:07Z,Friday,Fall,93972,2603,78,0.028529774826544077
vTubers,UCswRX8mNNdn1fjRctZqzjgA,226000,【3D cover】未知未踏アルスハイル【#Rumi3D】【CC字幕】｜Rumi/懶貓子,Cover,281,2022-08-17T14:07:59Z,Wednesday,Summer,23592,1248,75,0.056078331637843336
vTubers,UCswRX8mNNdn1fjRctZqzjgA,226000,【3Ddance ver.】NON STOP SOUL!!!【#Rumi3D】【CC字幕】｜Rumi/懶貓子,Dance,251,2022-08-16T12:27:11Z,Tuesday,Summer,27654,1611,122,0.06266724524481088
vTubers,UCswRX8mNNdn1fjRctZqzjgA,226000,【3Ddance ver.】笑顔はここにある【#Rumi3D】｜Rumi/懶貓子,Dance,262,2022-08-16T12:26:21Z,Tuesday,Summer,17124,849,73,0.05384256014949778
vTubers,UCswRX8mNNdn1fjRctZqzjgA,226000,【一周年紀念】愛言葉Ⅳ【歌ってみた】｜covered by Rumi懶貓子,Cover,219,2022-08-06T10:00:08Z,Saturday,Summer,138988,4462,192,0.03348490517166949
vTubers,UCswRX8mNNdn1fjRctZqzjgA,226000,【Original】笑顔はここにある｜Rumi/懶貓子,MV,259,2022-06-26T11:00:14Z,Sunday,Summer,186454,6561,245,0.03650230083559484
vTubers,UCswRX8mNNdn1fjRctZqzjgA,226000,【歌ってみた】バレンタイン・キッス｜covered by Rumi懶貓子,Cover,233,2022-02-14T11:00:11Z,Monday,Winter,42476,1954,112,0.048639231566060835
vTubers,UCswRX8mNNdn1fjRctZqzjgA,226000,【歌ってみた】告白氣球｜covered by Rumi懶貓子,Cover,219,2022-01-22T11:00:14Z,Saturday,Winter,80024,4092,237,0.0540962711186644
vTubers,UCswRX8mNNdn1fjRctZqzjgA,226000,【歌ってみた】クリスマスソング｜covered by Rumi懶貓子,Cover,343,2021-12-25T11:00:14Z,Saturday,Winter,72773,2970,117,0.04241957868989873
vTubers,UCswRX8mNNdn1fjRctZqzjgA,226000,【歌ってみた】ライオン ｜covered by Rumi懶貓子 × 浠Mizuki,Cover,303,2021-11-20T11:00:14Z,Saturday,Fall,564782,11477,230,0.02072835182424369
vTubers,UCswRX8mNNdn1fjRctZqzjgA,226000,【歌ってみた】忘れたいことばっかだ｜covered by Rumi/懶貓子,Cover,300,2021-09-25T11:30:13Z,Saturday,Fall,338530,9018,272,0.02744217646885062
vTubers,UCswRX8mNNdn1fjRctZqzjgA,226000,【Original】NON STOP SOUL!!!｜Rumi/懶貓子,MV,236,2021-08-01T10:00:11Z,Sunday,Summer,531038,17886,781,0.03515191003280368
vTubers,UCswRX8mNNdn1fjRctZqzjgA,226000,【歌ってみた】愛言葉Ⅲ｜covered by Rumi/懶貓子,Cover,246,2021-07-18T10:00:10Z,Sunday,Summer,564134,20691,1065,0.03856530540616237
