style,channelId,channelSubs,title,type,duration_sec,publishedAt,dayOfWeek,season,views,likes,comments,engagment
vTubers,UCuPHlMEd0cR-tvAYPjGWVwQ,37200,星座になれたら/結束バンド💧詩雨蔻達【cover】,Cover,257,2025-06-06T15:55:06Z,Friday,Summer,2988,405,36,0.14759036144578314
vTubers,UCuPHlMEd0cR-tvAYPjGWVwQ,37200,VH (Vast & Hazy) /求救訊號💧詩雨蔻達【cover】,Cover,262,2024-12-18T15:40:06Z,Wednesday,Winter,3323,373,26,0.12007222389407163
vTubers,UCuPHlMEd0cR-tvAYPjGWVwQ,37200,陳綺貞/太聰明💧詩雨蔻達【cover】,Cover,261,2024-12-11T15:35:05Z,Wednesday,Winter,1823,217,14,0.1267142073505211
vTubers,UCuPHlMEd0cR-tvAYPjGWVwQ,37200,keshi/skeletons💧詩雨蔻達【cover】,Cover,150,2024-12-04T15:30:06Z,Wednesday,Winter,1175,199,21,0.18723404255319148
vTubers,UCuPHlMEd0cR-tvAYPjGWVwQ,37200,たばこ/コレサワ💧詩雨蔻達【cover】,Cover,346,2024-08-26T13:30:07Z,Monday,Summer,4443,510,44,0.12469052442043664
vTubers,UCuPHlMEd0cR-tvAYPjGWVwQ,37200,「ちゅ、多様性。」 💧詩雨蔻達【cover】,Cover,197,2024-04-01T15:19:11Z,Monday,Spring,3904,379,27,0.10399590163934426
vTubers,UCuPHlMEd0cR-tvAYPjGWVwQ,37200,P丸様-シル・ヴ・プレジデント💧詩雨蔻達【cover】,Cover,193,2024-02-25T13:30:03Z,Sunday,Winter,3279,315,37,0.10734980176883197
vTubers,UCuPHlMEd0cR-tvAYPjGWVwQ,37200,ポリスピカデリ- Rumor (ルーマー)💧詩雨蔻達【cover】,Cover,175,2024-02-11T14:00:10Z,Sunday,Winter,4010,275,19,0.07331670822942643
vTubers,UCuPHlMEd0cR-tvAYPjGWVwQ,37200,小夜子acoustic ver💧詩雨蔻達【cover】,Cover,279,2023-08-05T13:00:08Z,Saturday,Summer,4342,317,28,0.07945647167204054
vTubers,UCuPHlMEd0cR-tvAYPjGWVwQ,37200,imase - NIGHT DANCER 💧詩雨蔻達【cover】,Dance,213,2023-07-01T05:30:09Z,Saturday,Summer,11948,686,46,0.06126548376297288
vTubers,UCuPHlMEd0cR-tvAYPjGWVwQ,37200,メガテラ・ゼロ -この夜に乾杯 💧詩雨蔻達【cover】,Cover,263,2023-05-12T16:00:09Z,Friday,Spring,14868,697,47,0.05004035512510089
vTubers,UCuPHlMEd0cR-tvAYPjGWVwQ,37200,Taylor Swift-The Best Day💧詩雨蔻達【cover】,Cover,249,2023-05-06T08:00:10Z,Saturday,Spring,2559,213,11,0.08753419304415787
vTubers,UCuPHlMEd0cR-tvAYPjGWVwQ,37200,緑黄色社会 - mela!💧詩雨蔻達【cover】,Cover,240,2023-01-28T13:30:08Z,Saturday,Winter,48929,1534,85,0.03308876126632467
