style,channelId,channelSubs,title,type,duration_sec,publishedAt,dayOfWeek,season,views,likes,comments,engagment
vTubers,UCZHa6yKnBnU34yRyvV3EXSA,75800,【タコピーの原罪】章魚P的原罪 Happy Lucky Chappy ano【瓦西瓦瓦 / Vaswawa Cover 歌ってみた】,Cover,185,2025-07-03T04:00:47Z,Thursday,Summer,5136,443,45,0.09501557632398754
vTubers,UCZHa6yKnBnU34yRyvV3EXSA,75800,【給10年後的你】letter song ~十年後のあなたへ~【瓦西瓦瓦 / Vaswawa Cover】,Cover,345,2025-06-04T13:00:06Z,Wednesday,Summer,7607,803,56,0.11292230840015775
vTubers,UCZHa6yKnBnU34yRyvV3EXSA,75800,【Ave Mujica】顔 瓦西瓦瓦 / Vaswawa Cover,Cover,243,2025-05-26T04:00:11Z,Monday,Spring,9433,805,69,0.0926534506519665
vTubers,UCZHa6yKnBnU34yRyvV3EXSA,75800,【みきとP】讓我們相互依偎下去吧 少女レイ ft. @SinnieAris  【瓦西瓦瓦 Vaswawa Cover 翻唱 歌ってみた】,Cover,291,2025-05-20T09:20:06Z,Tuesday,Spring,5301,569,38,0.11450669684965101
vTubers,UCZHa6yKnBnU34yRyvV3EXSA,75800,【Ave Mujica】KiLLKiSS 瓦西瓦瓦 / Vaswawa Cover,Cover,210,2025-02-28T04:00:16Z,Friday,Winter,32066,2056,93,0.06701802532277178
vTubers,UCZHa6yKnBnU34yRyvV3EXSA,75800,【デデデデ】絶絶絶絶対聖域 ano feat. 幾田りら 一人で歌ってみた 瓦西瓦瓦 / Vaswawa Cover,Cover,217,2025-02-18T06:00:06Z,Tuesday,Winter,5936,574,40,0.1034366576819407
vTubers,UCZHa6yKnBnU34yRyvV3EXSA,75800,【CRYCHIC ver.】春日影 瓦西瓦瓦 / Vaswawa Cover 歌ってみた,Cover,257,2025-02-14T10:12:29Z,Friday,Winter,82365,2305,127,0.02952710495963091
vTubers,UCZHa6yKnBnU34yRyvV3EXSA,75800,【Roselia】FIRE BIRD 潰えぬ夢へ 燃え上がれ 瓦西瓦瓦 / Vaswawa Cover,Cover,321,2025-01-30T04:00:36Z,Thursday,Winter,9169,626,39,0.07252699312902171
vTubers,UCZHa6yKnBnU34yRyvV3EXSA,75800,【陳小雲】充滿氣質的翻唱 愛情的騙子我問你 超低清畫質 隔壁鄰居傳來的卡拉OK 瓦西瓦瓦  Vaswawa Cover 歌ってみた,Cover,267,2025-01-28T04:00:30Z,Tuesday,Winter,17818,1050,112,0.06521495117297116
vTubers,UCZHa6yKnBnU34yRyvV3EXSA,75800,【MeloNyx一周年紀念Cover】給粉絲的愛之語 ファンサ Fansa / 瓦西瓦瓦  Vaswawa Cover 歌ってみた #預見娛樂 #MeloNyx #懶貓 #alluria,Cover,251,2024-12-04T13:00:06Z,Wednesday,Winter,19349,1201,138,0.06920254276706807
vTubers,UCZHa6yKnBnU34yRyvV3EXSA,75800,【VOCALOID】認真的色氣一回 威風堂々 瓦西瓦瓦 / Vaswawa Cover 歌ってみた,Cover,202,2024-11-30T04:05:12Z,Saturday,Fall,25908,2132,85,0.08557202408522464
vTubers,UCZHa6yKnBnU34yRyvV3EXSA,75800,【告野家】2024 WirForce 虛空雷神獸 預見娛樂【COVER 歌ってみた 瓦西瓦瓦 / Vaswawa】,Cover,149,2024-11-25T04:00:31Z,Monday,Fall,20409,1306,140,0.0708510951051007
vTubers,UCZHa6yKnBnU34yRyvV3EXSA,75800,【ヨルシカ】 又三郎【COVER 歌ってみた 瓦西瓦瓦 / Vaswawa】,Cover,231,2024-11-18T04:00:31Z,Monday,Fall,5799,394,44,0.07553026383859286
vTubers,UCZHa6yKnBnU34yRyvV3EXSA,75800,【六等星の夜】致每一個悲傷的夜晚裡，最重要的你們。【COVER aimer 歌ってみた 瓦西瓦瓦 / Vaswawa】,Cover,350,2024-09-08T16:35:07Z,Sunday,Fall,22710,1061,91,0.05072655217965654
vTubers,UCZHa6yKnBnU34yRyvV3EXSA,75800,【YOASOBI】夜に駆ける 瓦西瓦瓦 / Vaswawa Cover 歌ってみた,Cover,262,2024-08-19T04:00:05Z,Monday,Summer,25535,1368,84,0.0568631290385745
vTubers,UCZHa6yKnBnU34yRyvV3EXSA,75800,【甲鉄城のカバネリ】ninelie - Aimer with chelly 瓦西瓦瓦 / Vaswawa Cover 一人で歌ってみた,Cover,262,2024-07-01T04:00:05Z,Monday,Summer,49437,984,89,0.021704391447701116
vTubers,UCZHa6yKnBnU34yRyvV3EXSA,75800,【翻唱】煌Kirali Liar謊癮 瓦西瓦瓦 / Vaswawa Cover 歌ってみた,Cover,151,2024-03-18T03:06:20Z,Monday,Spring,61728,1831,83,0.031006998444790046
