style,channelId,channelSubs,title,type,duration_sec,publishedAt,dayOfWeek,season,views,likes,comments,engagment
vTubers,UCgmPnx-EEeOrZSg5Tiw7ZRQ,1080000,【MV】Tetoris || HAKOS BAELZ COVER,Cover,143,2025-07-13T04:00:06Z,Sunday,Summer,551436,35379,939,0.0658607707875438
vTubers,UCgmPnx-EEeOrZSg5Tiw7ZRQ,1080000,【MV】Best Friend - Kana Nishino || preYdator COVER,Cover,325,2025-04-25T03:00:06Z,Friday,Spring,863180,53213,1827,0.06376422067239741
vTubers,UCgmPnx-EEeOrZSg5Tiw7ZRQ,1080000,【ORIGINAL MV】狂宴-FEAST- || HAKOS BAELZ,MV,145,2025-02-28T13:10:07Z,Friday,Winter,443128,25763,451,0.05915672221118955
vTubers,UCgmPnx-EEeOrZSg5Tiw7ZRQ,1080000,【MV】雨乙女 / Ameotome || HAKOS BAELZ COVER,Cover,151,2025-02-14T03:00:10Z,Friday,Winter,502753,22062,403,0.044683970060844985
vTubers,UCgmPnx-EEeOrZSg5Tiw7ZRQ,1080000,【MV】Weight of the World / 壊レタ世界ノ歌 || HAKOS BAELZ COVER,Cover,346,2025-01-29T03:00:06Z,Wednesday,Winter,1170287,52223,1217,0.0456640123320177
vTubers,UCgmPnx-EEeOrZSg5Tiw7ZRQ,1080000,【MV】 心做し \\ Kokoronashi – majiko ver. || HAKOS BAELZ COVER,Cover,282,2024-11-24T01:15:06Z,Sunday,Fall,1550473,45714,1186,0.030248833742993267
vTubers,UCgmPnx-EEeOrZSg5Tiw7ZRQ,1080000,【MV】Los! Los! Los! || HAKOS BAELZ COVER,Cover,218,2024-05-12T04:03:07Z,Sunday,Spring,2570318,67408,1378,0.0267616691786775
vTubers,UCgmPnx-EEeOrZSg5Tiw7ZRQ,1080000,【ORIGINAL MV】E I E N  || Hakos Baelz,MV,140,2024-04-21T05:00:08Z,Sunday,Spring,297844,19409,643,0.06732383395334471
vTubers,UCgmPnx-EEeOrZSg5Tiw7ZRQ,1080000,【ORIGINAL MV】COLOUR || Hakos Baelz x Tsunomaki Watame,MV,260,2024-04-10T04:05:08Z,Wednesday,Spring,387801,18403,300,0.048228343918659315
vTubers,UCgmPnx-EEeOrZSg5Tiw7ZRQ,1080000,【ORIGINAL MV】R x R x R || HAKOS BAELZ,MV,225,2024-02-29T04:10:08Z,Thursday,Winter,1519400,45048,901,0.0302415427142293
vTubers,UCgmPnx-EEeOrZSg5Tiw7ZRQ,1080000,【MV】すきっちゅーの！- HoneyWorks || HAKOS BAELZ COVER,Cover,168,2024-02-14T02:00:07Z,Wednesday,Winter,406738,23445,511,0.05889786545638716
vTubers,UCgmPnx-EEeOrZSg5Tiw7ZRQ,1080000,【MV】Mind Craft ▶️ hololive English Cover,Cover,303,2024-01-21T03:00:10Z,Sunday,Winter,3949662,100479,3347,0.026287312686503302
vTubers,UCgmPnx-EEeOrZSg5Tiw7ZRQ,1080000,【ORIGINAL MV】HIDE & SEEK 〜なかよくケンカしな！〜 || Hakos Baelz x Usada Pekora,MV,183,2023-12-28T03:00:10Z,Thursday,Winter,557667,30139,487,0.054918078351417605
vTubers,UCgmPnx-EEeOrZSg5Tiw7ZRQ,1080000,【ORIGINAL MV】BITE! カム! BITE! || Hakos Baelz x Inugami Korone,MV,211,2023-11-20T03:00:09Z,Monday,Fall,1636059,58792,907,0.0364895153536639
vTubers,UCgmPnx-EEeOrZSg5Tiw7ZRQ,1080000,【MV】Crazy Scary Holy Fantasy - MYTH & ROID || Hakos Baelz X Sakamata Chloe Cover,Cover,200,2023-10-30T15:00:10Z,Monday,Fall,1185193,35697,528,0.030564642214390397
vTubers,UCgmPnx-EEeOrZSg5Tiw7ZRQ,1080000,【MV】IDOL - YOASOBI || HAKOS BAELZ COVER,Cover,216,2023-10-02T03:00:08Z,Monday,Fall,623034,36248,554,0.05906900746989731
vTubers,UCgmPnx-EEeOrZSg5Tiw7ZRQ,1080000,【MV】約束の絆 - Future Star - Kyoukai no Kanata || HAKOS BAELZ【踊って歌ってみた】,Cover,180,2023-08-26T05:00:08Z,Saturday,Summer,649670,45549,1358,0.07220127141471824
vTubers,UCgmPnx-EEeOrZSg5Tiw7ZRQ,1080000,【ORIGINAL MV】PSYCHO || HAKOS BAELZ,MV,175,2023-05-05T01:00:08Z,Friday,Spring,8021888,137964,2346,0.017490894911522076
vTubers,UCgmPnx-EEeOrZSg5Tiw7ZRQ,1080000,【MV】POP/STARS - K/DA || Hakos Baelz ・Ninomae Ina'nis ・Moona Hoshinova ・Ayunda Risu COVER,Cover,199,2023-04-30T03:00:10Z,Sunday,Spring,2707485,99315,2476,0.037596145500344416
