style,channelId,channelSubs,title,type,duration_sec,publishedAt,dayOfWeek,season,views,likes,comments,engagment
vTubers,UCL_qhgtOy0dy1Agp8vkySQg,2560000,OVER//RIDE - Mori Calliope × Nerissa Ravencroft (Original Song : Chaos Zero Nightmare OST),MV,210,2025-07-18T03:00:06Z,Friday,Summer,448990,36265,1067,0.08314661796476536
vTubers,UCL_qhgtOy0dy1Agp8vkySQg,2560000,【Performance Video】Die For You - Mori Calliope,Live,227,2025-05-25T11:00:36Z,Sunday,Spring,221599,18292,533,0.0849507443625648
vTubers,UCL_qhgtOy0dy1Agp8vkySQg,2560000,【MV】Die For You - Mori Calliope,MV,251,2025-05-17T04:00:07Z,Saturday,Spring,674549,38097,1645,0.05891640192187669
vTubers,UCL_qhgtOy0dy1Agp8vkySQg,2560000,【MV】Sepia feat. TOOBOE - Mori Calliope,MV,184,2025-04-05T04:03:16Z,Saturday,Spring,267538,21082,1123,0.08299755548744478
vTubers,UCL_qhgtOy0dy1Agp8vkySQg,2560000,BRAIN - Mori Calliope (cover),Cover,157,2025-03-17T05:00:07Z,Monday,Spring,1296952,65575,1353,0.05160406861626336
vTubers,UCL_qhgtOy0dy1Agp8vkySQg,2560000,【MV】Seeing Stars feat. Lotus Juice - Mori Calliope,MV,221,2025-02-28T07:00:08Z,Friday,Winter,779798,45908,1478,0.060767019151113495
vTubers,UCL_qhgtOy0dy1Agp8vkySQg,2560000,【MV】Odyssey - Hololive English (Original Song),MV,241,2024-12-26T03:00:06Z,Thursday,Winter,2251170,99589,4762,0.0463541180808202
vTubers,UCL_qhgtOy0dy1Agp8vkySQg,2560000,オトノケ (Otonoke) - Mori Calliope (cover),Cover,187,2024-12-19T04:00:06Z,Thursday,Winter,2208976,86151,2113,0.03995697553979763
vTubers,UCL_qhgtOy0dy1Agp8vkySQg,2560000,【MV】DONMAI - Mori Calliope x ASSC Collaboration,MV,228,2024-11-23T04:05:06Z,Saturday,Fall,1326809,43603,1218,0.03378104911859959
vTubers,UCL_qhgtOy0dy1Agp8vkySQg,2560000,Brave New World (English Cover) / Mori Calliope (STARSEED: Asnia Trigger OST),Cover,252,2024-11-22T00:00:06Z,Friday,Fall,248339,14802,383,0.06114625572302377
vTubers,UCL_qhgtOy0dy1Agp8vkySQg,2560000,【MV】FLASH BANG - Mori Calliope × PES ( Produced by PES ),MV,200,2024-10-31T13:06:06Z,Thursday,Fall,488334,25511,607,0.053483886028824534
vTubers,UCL_qhgtOy0dy1Agp8vkySQg,2560000,【MV】Lose-Lose Days - Mori Calliope,MV,252,2024-10-24T04:00:06Z,Thursday,Fall,895361,67670,2805,0.07871126841575633
