style,channelId,channelSubs,title,type,duration_sec,publishedAt,dayOfWeek,season,views,likes,comments,engagment
vTubers,UCoSrY_IQQVpmIRZ9Xf-y93g,4730000,Ash Again / Gawr Gura x Casey Edwards,MV,299,2025-04-20T00:45:44Z,Sunday,Spring,10353174,422901,29945,0.043739823169203954
vTubers,UCoSrY_IQQVpmIRZ9Xf-y93g,4730000,【Gawr Gura】GIVE UP 今世 壊【DYES IWASAKI(FAKE TYPE.)】,MV,167,2024-06-26T11:00:06Z,Wednesday,Summer,1208538,60839,1611,0.05167400611317145
vTubers,UCoSrY_IQQVpmIRZ9Xf-y93g,4730000,粛聖!! ロリ神レクイエム☆ / Gawr Gura Cover,Cover,274,2024-06-21T01:50:07Z,Friday,Summer,4734189,269292,8635,0.05870635920957106
vTubers,UCoSrY_IQQVpmIRZ9Xf-y93g,4730000,Kyoufuu All Back (強風オールバック) / Gawr Gura Cover,Cover,138,2023-09-11T01:02:06Z,Monday,Fall,6133868,258081,4199,0.04275931598136771
vTubers,UCoSrY_IQQVpmIRZ9Xf-y93g,4730000,blue horizon!! - Gawr Gura,MV,129,2023-07-21T01:00:06Z,Friday,Summer,2498423,128361,3009,0.05258116820090113
vTubers,UCoSrY_IQQVpmIRZ9Xf-y93g,4730000,【holo*27 MV】Gawr Gura x Hakos Baelz - Sweet Appetite【hololive x DECO*27】,MV,168,2023-02-17T10:00:11Z,Friday,Winter,3193118,107014,1874,0.034100838114971006
vTubers,UCoSrY_IQQVpmIRZ9Xf-y93g,4730000,[ORIGINAL ANIMATION] Gawr Gura - Shark'd 🦈 #GawrGura,MV,219,2022-09-18T02:00:11Z,Sunday,Fall,6550353,563977,12434,0.08799693695897
vTubers,UCoSrY_IQQVpmIRZ9Xf-y93g,4730000,Renai Circulation / Gawr Gura x Murasaki Shion (Cover),Cover,252,2022-06-13T00:00:09Z,Monday,Summer,5108557,237567,5201,0.04752183444365992
vTubers,UCoSrY_IQQVpmIRZ9Xf-y93g,4730000,REFLECT - Gawr Gura,MV,248,2022-03-23T00:01:03Z,Wednesday,Spring,17724250,435545,8475,0.025051553662355248
vTubers,UCoSrY_IQQVpmIRZ9Xf-y93g,4730000,Target for Love / Gawr Gura (Blue Archive OST Cover),Cover,215,2021-12-26T03:45:12Z,Sunday,Winter,3868665,137674,4597,0.036775218324667555
vTubers,UCoSrY_IQQVpmIRZ9Xf-y93g,4730000,KING / Gawr Gura x Calliope Mori (Cover),Cover,143,2021-09-01T03:00:12Z,Wednesday,Fall,42757437,929500,22466,0.022264337312828175
vTubers,UCoSrY_IQQVpmIRZ9Xf-y93g,4730000,[ORIGINAL] REFLECT - Gawr Gura,MV,248,2021-06-21T10:00:10Z,Monday,Summer,16841549,652709,33297,0.0407329515830165
