style,channelId,channelSubs,title,type,duration_sec,publishedAt,dayOfWeek,season,views,likes,comments,engagment
vTubers,UC8rcEBzJSleTkf_-agPM20g,1100000,Hope Soda is REAL?!  #PR,MV,162,2025-06-20T17:30:14Z,Friday,Summer,173241,24316,964,0.14592388637793594
vTubers,UC8rcEBzJSleTkf_-agPM20g,1100000,IRyS -  DIAMOND GIRLFRIEND feat.MOTSU【Original Song 3D MV】,MV,243,2025-03-16T04:04:08Z,Sunday,Spring,1772431,70663,2615,0.04134321731001094
vTubers,UC8rcEBzJSleTkf_-agPM20g,1100000,IRyS - TwiLight【Original Song 3D MV】,MV,204,2024-11-17T04:00:08Z,Sunday,Fall,795600,37005,1190,0.04800779286073404
vTubers,UC8rcEBzJSleTkf_-agPM20g,1100000,IRyS - Carbonated Love【Original Song 3D MV】,MV,269,2024-07-11T04:00:08Z,Thursday,Summer,4813149,119221,4541,0.025713311597043848
vTubers,UC8rcEBzJSleTkf_-agPM20g,1100000,Kyoufuu All Back / 強風オールバック【IRyS Cover】【歌ってみた】,Cover,134,2024-02-28T03:00:11Z,Wednesday,Winter,347595,26205,635,0.07721630057969764
vTubers,UC8rcEBzJSleTkf_-agPM20g,1100000,地球最後の告白を / Chikyuu Saigo no Kokuhaku wo【IRyS Cover】【歌ってみた】,Cover,267,2023-07-11T04:00:10Z,Tuesday,Summer,674745,23174,514,0.03510659582508948
vTubers,UC8rcEBzJSleTkf_-agPM20g,1100000,【IRyS】アイドル / IDOL - YOASOBI【Cover】【歌ってみた】,Cover,215,2023-06-12T03:00:10Z,Monday,Summer,1734923,72629,1689,0.042836483232973455
vTubers,UC8rcEBzJSleTkf_-agPM20g,1100000,【MV】Erande Kurete Arigato - Honeyworks【IRyS x Baelz Cover】,MV,246,2023-02-14T01:30:11Z,Tuesday,Winter,607707,28285,765,0.04780264173359859
vTubers,UC8rcEBzJSleTkf_-agPM20g,1100000,【MV】Moment of my life / IRyS【Original Song】,MV,287,2022-12-04T03:00:06Z,Sunday,Winter,470285,21617,377,0.046767385734182466
vTubers,UC8rcEBzJSleTkf_-agPM20g,1100000,【MV】Gravity / IRyS【Original Song】,MV,203,2022-11-13T01:00:10Z,Sunday,Fall,2121836,48077,996,0.023127612124593983
vTubers,UC8rcEBzJSleTkf_-agPM20g,1100000,【MV】One Step at a Time / IRyS【Original Song】,MV,252,2022-08-30T01:00:12Z,Tuesday,Summer,758667,27714,524,0.03722054603666694
vTubers,UC8rcEBzJSleTkf_-agPM20g,1100000,【IRyS】INTERNET OVERDOSE【Cover】,Cover,223,2022-05-31T01:00:12Z,Tuesday,Spring,2868899,76810,1541,0.027310476946034
vTubers,UC8rcEBzJSleTkf_-agPM20g,1100000,【MV】Till the end of me / IRyS【Original Song】,MV,247,2022-05-22T01:00:12Z,Sunday,Spring,1565743,53391,1047,0.034768157992722946
vTubers,UC8rcEBzJSleTkf_-agPM20g,1100000,【IRyS】アイデンティティ / Identity【COVER】,Cover,156,2022-03-07T02:00:08Z,Monday,Spring,1700353,57343,874,0.034238184659303096
vTubers,UC8rcEBzJSleTkf_-agPM20g,1100000,【MV】See the world / IRyS【Original Song】,MV,225,2022-02-27T01:00:11Z,Sunday,Winter,1099829,46770,939,0.043378561576390515
vTubers,UC8rcEBzJSleTkf_-agPM20g,1100000,【MV】Sparks of Joy / IRyS【Original Song】,MV,245,2021-12-26T03:00:13Z,Sunday,Winter,973451,44968,1007,0.04722887952244129
vTubers,UC8rcEBzJSleTkf_-agPM20g,1100000,【MV】HERE COMES HOPE -IRyS【Original Song】,MV,182,2021-10-10T03:00:11Z,Sunday,Fall,3021158,75746,1811,0.025671282336110855
vTubers,UC8rcEBzJSleTkf_-agPM20g,1100000,【IRyS】diorama 【1st EP Original Song MV】,MV,274,2021-09-05T01:00:09Z,Sunday,Fall,913778,35471,725,0.03961137168984152
vTubers,UC8rcEBzJSleTkf_-agPM20g,1100000,【IRyS】 Shiny Smily Story  / hololive IDOL PROJECT 【COVER】,Cover,256,2021-08-08T01:00:08Z,Sunday,Summer,670193,33066,871,0.050637652139010704
vTubers,UC8rcEBzJSleTkf_-agPM20g,1100000,【IRyS】GHOST / 星街すいせい【COVER】,Cover,283,2021-08-01T01:00:26Z,Sunday,Summer,2039715,78063,1602,0.0390569270706937
vTubers,UC8rcEBzJSleTkf_-agPM20g,1100000,【IRyS】Palette / 常闇トワ【COVER】,Cover,215,2021-07-25T01:00:02Z,Sunday,Summer,1484478,56905,1608,0.03941654911692864
vTubers,UC8rcEBzJSleTkf_-agPM20g,1100000,【IRyS】いのち(Inochi)/AZKi【COVER】,Cover,270,2021-07-18T01:00:14Z,Sunday,Summer,1554923,61762,1778,0.04086375981318689
vTubers,UC8rcEBzJSleTkf_-agPM20g,1100000,||:Caesura of Despair - First EP Preview video,MV,127,2021-07-11T15:00:14Z,Sunday,Summer,414223,36852,1186,0.09182976319518714
