style,channelId,channelSubs,title,type,duration_sec,publishedAt,dayOfWeek,season,views,likes,comments,engagment
vTubers,UCHsx4Hqa-1ORjQTh9TYDhww,1600000,【Mythmash】Glow in the Dark - Takanashi Kiara & La+ Darknesss (Official MV),MV,176,2025-07-27T13:00:06Z,Sunday,Summer,238264,19869,682,0.08625306382835846
vTubers,UCHsx4Hqa-1ORjQTh9TYDhww,1600000,TASTY - Takanashi Kiara (Official Music Video),MV,209,2025-07-06T01:04:07Z,Sunday,Summer,611771,41569,1518,0.07042994846110717
vTubers,UCHsx4Hqa-1ORjQTh9TYDhww,1600000,PERFUME - Takanashi Kiara (Dance Shot Version),Dance,175,2025-05-20T23:00:08Z,Tuesday,Spring,66069,8155,339,0.12856256338070804
vTubers,UCHsx4Hqa-1ORjQTh9TYDhww,1600000,PERFUME - Takanashi Kiara (Official Music Video),MV,172,2025-04-21T01:11:24Z,Monday,Spring,909039,49999,2445,0.05769169419573858
vTubers,UCHsx4Hqa-1ORjQTh9TYDhww,1600000,【COVER】FAKE HEART / Takanashi Kiara x La+ Darknesss,Cover,178,2025-04-08T22:00:11Z,Tuesday,Spring,733251,30954,722,0.04319939556850246
vTubers,UCHsx4Hqa-1ORjQTh9TYDhww,1600000,【COVER】WILDCARD / Takanashi Kiara x Sakamata Chloe,Cover,196,2025-01-25T06:00:11Z,Saturday,Winter,976772,31735,650,0.03315512729685126
vTubers,UCHsx4Hqa-1ORjQTh9TYDhww,1600000,MIRAGE - Takanashi Kiara (Acapella Version),Cover,215,2024-11-08T21:30:07Z,Friday,Fall,174590,14129,536,0.08399679248525116
vTubers,UCHsx4Hqa-1ORjQTh9TYDhww,1600000,MIRAGE - Takanashi Kiara (Dance Shot Version),Dance,209,2024-10-14T22:00:07Z,Monday,Fall,173999,14276,395,0.08431657653204903
vTubers,UCHsx4Hqa-1ORjQTh9TYDhww,1600000,MIRAGE - Takanashi Kiara (Official Music Video),MV,207,2024-10-06T01:00:07Z,Sunday,Fall,2923671,83319,3265,0.029614823282099797
vTubers,UCHsx4Hqa-1ORjQTh9TYDhww,1600000,CHIMERA - Takanashi Kiara (Acapella Version),Cover,193,2024-05-03T07:00:27Z,Friday,Spring,108364,7660,314,0.07358532353918275
vTubers,UCHsx4Hqa-1ORjQTh9TYDhww,1600000,CHIMERA - Takanashi Kiara (Official Music Video),MV,195,2024-04-05T20:00:08Z,Friday,Spring,4115803,93635,3068,0.023495536593952628
vTubers,UCHsx4Hqa-1ORjQTh9TYDhww,1600000,The Great Wanderer - Takanashi Kiara (Fixed Angle Vers.) (固定カメラバージョン),Cover,222,2023-12-20T21:27:32Z,Wednesday,Winter,100638,9539,381,0.09857111627814544
vTubers,UCHsx4Hqa-1ORjQTh9TYDhww,1600000,Sleep Talking - Takanashi Kiara (Official Music Video),MV,214,2023-12-10T21:00:07Z,Sunday,Winter,1388879,37873,930,0.027938358921115517
vTubers,UCHsx4Hqa-1ORjQTh9TYDhww,1600000,Retrospective - Takanashi Kiara (Official Music Video),MV,252,2023-11-10T22:00:17Z,Friday,Fall,585281,21886,713,0.038612222163371096
vTubers,UCHsx4Hqa-1ORjQTh9TYDhww,1600000,The Great Wanderer - Takanashi Kiara (Official Music Video),MV,223,2023-10-16T18:00:17Z,Monday,Fall,747496,26803,842,0.03698347549685885
vTubers,UCHsx4Hqa-1ORjQTh9TYDhww,1600000,Love Rush - Takanashi Kiara (Official Music Video),MV,269,2023-09-26T20:00:16Z,Tuesday,Fall,242142,13681,510,0.058606107160261336
vTubers,UCHsx4Hqa-1ORjQTh9TYDhww,1600000,【두유 한국어】DO U - Takanashi Kiara (Korean Vers.),Cover,200,2023-09-17T13:00:09Z,Sunday,Fall,709547,33413,1378,0.049032692689842956
vTubers,UCHsx4Hqa-1ORjQTh9TYDhww,1600000,Pineapple - Takanashi Kiara  (Official Music Video),MV,198,2023-08-31T15:00:12Z,Thursday,Summer,1357421,50302,1369,0.03806556698327195
vTubers,UCHsx4Hqa-1ORjQTh9TYDhww,1600000,強風オールバック (Kyoufuu Ooru Bakku) - COVER by Takanashi Kiara,Cover,137,2023-06-25T18:00:07Z,Sunday,Summer,1510966,58830,1246,0.03975999459948139
vTubers,UCHsx4Hqa-1ORjQTh9TYDhww,1600000,Always With You (Epic Seven OST Project) - Takanashi Kiara and Ouro Kronii【COVER】,Cover,233,2022-12-30T15:00:11Z,Friday,Winter,312715,18754,633,0.061995746926114835
vTubers,UCHsx4Hqa-1ORjQTh9TYDhww,1600000,Pittari Shitai X'mas - Kiara x Watame x Kobo 【COVER】,Cover,211,2022-12-25T14:00:09Z,Sunday,Winter,453894,27589,655,0.062225982277800546
vTubers,UCHsx4Hqa-1ORjQTh9TYDhww,1600000,4BLOOD - Takanashi Kiara (SONG COVER),Cover,187,2022-10-30T19:30:09Z,Sunday,Fall,4574970,74384,1653,0.016620218274655353
vTubers,UCHsx4Hqa-1ORjQTh9TYDhww,1600000,DO U - Without Music Version (Behind The Scenes),Cover,200,2022-10-27T22:19:48Z,Thursday,Fall,102073,13107,700,0.13526593712343127
