style,channelId,channelSubs,title,type,duration_sec,publishedAt,dayOfWeek,season,views,likes,comments,engagment
vTubers,UCmbs8T6MWqUHP1tIQvSgKrg,1090000,【Cover MV】Donut Hole / ドーナツホール - Ouro Kronii & Nanashi Mumei,MV,210,2025-04-11T03:00:06Z,Friday,Spring,669568,45720,1182,0.07004815044924488
vTubers,UCmbs8T6MWqUHP1tIQvSgKrg,1090000,【Cover MV】Suki Suki Daisuki / 好き好き大好き - Ouro Kronii,MV,222,2025-03-30T03:00:06Z,Sunday,Spring,1815808,92590,3034,0.05266195544903426
vTubers,UCmbs8T6MWqUHP1tIQvSgKrg,1090000,【Original Song MV】蒼天に燃ゆ / Souten ni Moyu - Ouro Kronii,MV,186,2024-09-27T03:00:27Z,Friday,Fall,558831,37849,955,0.06943780856824334
vTubers,UCmbs8T6MWqUHP1tIQvSgKrg,1090000,【Cover MV】My War / 僕の戦争 - Ouro Kronii,MV,279,2024-05-16T01:00:06Z,Thursday,Spring,2286450,59938,1285,0.02677644383214153
vTubers,UCmbs8T6MWqUHP1tIQvSgKrg,1090000,【Cover MV】(Not) A Devil / デビルじゃないもん - Ouro Kronii & IRyS,MV,164,2024-04-20T01:30:06Z,Saturday,Spring,490661,24784,450,0.05142858307466866
vTubers,UCmbs8T6MWqUHP1tIQvSgKrg,1090000,【Cover MV】Be My Guest - Ouro Kronii,MV,131,2023-08-05T01:30:08Z,Saturday,Summer,1036649,46023,833,0.04519948410696388
vTubers,UCmbs8T6MWqUHP1tIQvSgKrg,1090000,【Cover MV】Kimagure Mercy / 気まぐれメルシィ - Ouro Kronii,MV,205,2023-03-23T04:00:09Z,Thursday,Spring,1303832,46339,916,0.03624316629749845
vTubers,UCmbs8T6MWqUHP1tIQvSgKrg,1090000,【Cover MV】Bakushou / 爆笑 - Ouro Kronii,MV,206,2023-01-05T02:00:07Z,Thursday,Winter,904271,41261,744,0.04645178270673283
vTubers,UCmbs8T6MWqUHP1tIQvSgKrg,1090000,【Cover MV】MAFIA / マフィア - Ouro Kronii,MV,188,2022-08-17T03:00:12Z,Wednesday,Summer,2396575,90419,1903,0.038522474781719745
vTubers,UCmbs8T6MWqUHP1tIQvSgKrg,1090000,【Original Song MV】Daydream - Ouro Kronii,MV,256,2022-02-09T03:00:10Z,Wednesday,Winter,2401607,112237,2901,0.04794206545866996
