style,channelId,channelSubs,title,type,duration_sec,publishedAt,dayOfWeek,season,views,likes,comments,engagment
vTubers,UC3n5uGu18FoCy23ggWWp8tA,1180000,「Cover」ただ声一つ / One Voice - Nanashi Mumei,Cover,163,2025-04-27T07:34:32Z,Sunday,Spring,1209499,59680,7189,0.055286527727596305
vTubers,UC3n5uGu18FoCy23ggWWp8tA,1180000,「Cover」Gravity - Nanashi Mumei,Cover,198,2025-04-26T04:30:06Z,Saturday,Spring,427977,47075,2780,0.1164899048313344
vTubers,UC3n5uGu18FoCy23ggWWp8tA,1180000,「Cover」アイドル / IDOL - Nanashi Mumei,Cover,215,2025-03-29T03:45:06Z,Saturday,Spring,881579,89888,3372,0.10578745637089813
vTubers,UC3n5uGu18FoCy23ggWWp8tA,1180000,「MV」It's Not a Phase - Nanashi Mumei & Ceres Fauna,MV,184,2024-12-21T01:55:06Z,Saturday,Winter,880226,67493,2296,0.07928531990647857
vTubers,UC3n5uGu18FoCy23ggWWp8tA,1180000,「Cover」Ant Observation 🐜🔎 | アリの観察,Cover,134,2023-10-30T03:00:07Z,Monday,Fall,326406,27805,1138,0.08867177686684681
vTubers,UC3n5uGu18FoCy23ggWWp8tA,1180000,「MV」mumei,MV,256,2023-10-10T04:30:07Z,Tuesday,Fall,6079093,185944,8373,0.03196480132809286
vTubers,UC3n5uGu18FoCy23ggWWp8tA,1180000,「Cover」Stellar Stellar - Nanashi Mumei,Cover,305,2023-08-05T06:00:09Z,Saturday,Summer,2403617,100995,2142,0.042909082437010554
vTubers,UC3n5uGu18FoCy23ggWWp8tA,1180000,「Cover」QUEEN - preYdator,Cover,143,2022-10-15T23:00:11Z,Saturday,Fall,2525732,76559,807,0.030631120007981846
vTubers,UC3n5uGu18FoCy23ggWWp8tA,1180000,「Cover」The Forgotten Song - Nanashi Mumei,Cover,293,2022-08-20T01:00:12Z,Saturday,Summer,1019335,44576,1404,0.045107839915238854
vTubers,UC3n5uGu18FoCy23ggWWp8tA,1180000,「Cover」Dilemma / ジレンマ - Nanashi Mumei,Cover,171,2022-05-26T22:00:13Z,Thursday,Spring,2765934,84018,1354,0.03086552318312729
vTubers,UC3n5uGu18FoCy23ggWWp8tA,1180000,【HoloCouncil】 Hikaru Nara / 光るなら COVER,Cover,250,2022-02-23T06:00:31Z,Wednesday,Winter,2263188,116396,3214,0.05285022720162885
vTubers,UC3n5uGu18FoCy23ggWWp8tA,1180000,「Original Song」A New Start - MV,MV,230,2022-01-17T03:00:11Z,Monday,Winter,5217299,175948,6205,0.0349132760073747
