style,channelId,channelSubs,title,type,duration_sec,publishedAt,dayOfWeek,season,views,likes,comments,engagment
vTubers,UCFTLzh12_nrtzqBPsTCqenA,1010000,にっこり^^調査隊のテーマ / エクスアルビオ×白雪レイド×アキロゼ(cover),Cover,207,2024-04-29T12:00:06Z,Monday,Spring,1377788,44145,1524,0.03314660891225646
vTubers,UCFTLzh12_nrtzqBPsTCqenA,1010000,強風オールバック/アキ・ローゼンタール(cover),Cover,136,2023-08-30T09:30:08Z,Wednesday,Summer,207972,15319,306,0.07513030600273114
vTubers,UCFTLzh12_nrtzqBPsTCqenA,1010000,ー魔女と旋律の街 ー/白上フブキ×アキ・ローゼンタール【歌ってみた】,Cover,183,2022-12-09T13:00:08Z,Friday,Winter,263134,13928,216,0.053752080688926555
vTubers,UCFTLzh12_nrtzqBPsTCqenA,1010000,【3D LIVE映像】MOON PRIDE【夜空メル×アキ・ローゼンタール×角巻わため×尾丸ポルカ】美少女戦士セーラームーンCrystal OPテーマ,Live,218,2022-06-04T15:45:10Z,Saturday,Summer,183336,8229,148,0.04569206266090675
vTubers,UCFTLzh12_nrtzqBPsTCqenA,1010000,【3D LIVE映像】色彩のブルース-雨の街で気分よく歌って踊ってみた-【アキ・ローゼンタール/ホロライブ】,Live,330,2022-06-04T11:00:14Z,Saturday,Summer,52730,4207,108,0.08183197420823062
vTubers,UCFTLzh12_nrtzqBPsTCqenA,1010000,【3D LIVE映像】フォニィphonyー雨の街で歌ってみたー【猫又おかゆ×アキ・ローゼンタール】,Live,199,2022-06-04T10:00:11Z,Saturday,Summer,108308,6821,79,0.06370720537725745
vTubers,UCFTLzh12_nrtzqBPsTCqenA,1010000,【3D LIVE映像】幸せになれる隠しコマンドがあるらしい【戌神ころね×アキ・ローゼンタール/ホロライブ】,Live,226,2022-06-04T09:00:21Z,Saturday,Summer,297675,13059,255,0.04472663139329806
vTubers,UCFTLzh12_nrtzqBPsTCqenA,1010000,【3D LIVE映像】Here   TVアニメ「魔法使いの嫁」OP曲【アキ・ローゼンタール/ホロライブ】,Live,260,2022-06-04T08:00:16Z,Saturday,Summer,90123,6420,104,0.0723899559490918
vTubers,UCFTLzh12_nrtzqBPsTCqenA,1010000,"【3D LIVE映像】君の銀の庭 ""Your silver Garden""劇場版 魔法少女まどか☆マギカ [新編] 叛逆の物語 ED【AZKi/大神ミオ/アキ・ローゼンタール】",Live,348,2022-06-04T07:00:14Z,Saturday,Summer,366906,15220,484,0.04280115342894365
vTubers,UCFTLzh12_nrtzqBPsTCqenA,1010000,【3D LIVE映像】OP ACT ーAKIROSE WORLDー【アキ・ローゼンタール/ホロライブ】,Live,131,2022-06-04T05:11:21Z,Saturday,Summer,34439,3738,86,0.11103690583350272
vTubers,UCFTLzh12_nrtzqBPsTCqenA,1010000,【3DLIVE映像】『ROSE of the LAMP』歌って踊ってみた！【Aki Rosenthal】,Live,230,2022-06-03T03:45:13Z,Friday,Summer,240019,11436,242,0.04865448152021298
vTubers,UCFTLzh12_nrtzqBPsTCqenA,1010000,【LIVE映像】ホロライブ1期生みんなで『 plasmagic seasons!』,Live,250,2022-06-02T03:26:42Z,Thursday,Summer,132711,9523,248,0.0736261500553835
vTubers,UCFTLzh12_nrtzqBPsTCqenA,1010000,daze/じん ft.メイリア from GARNiDELiA//アキ・ローゼンタール(cover),Cover,236,2021-10-11T12:30:13Z,Monday,Fall,524310,30697,823,0.060117106292079114
vTubers,UCFTLzh12_nrtzqBPsTCqenA,1010000,BLACK SHOUT/Roselia【 Coverd by ロボ子さん&アキロゼ】,Cover,249,2021-06-29T09:30:12Z,Tuesday,Summer,437204,28772,956,0.06799571824594468
vTubers,UCFTLzh12_nrtzqBPsTCqenA,1010000,【Belly Dance Akirose】月と太陽のめぐり【ホロライブ/ #アキロゼ】,Live,265,2021-03-23T10:16:28Z,Tuesday,Spring,186184,14341,729,0.08094143428006703
vTubers,UCFTLzh12_nrtzqBPsTCqenA,1010000,【Original】ヒロインオーディション 3DMV【ホロライブ/アキ・ローゼンタール】,MV,243,2021-03-17T13:15:18Z,Wednesday,Spring,499768,37602,1899,0.07903867394471034
vTubers,UCFTLzh12_nrtzqBPsTCqenA,1010000,Belly Dance Akirose,Live,155,2020-12-31T16:00:10Z,Thursday,Winter,320361,35229,1731,0.11536984838978527
vTubers,UCFTLzh12_nrtzqBPsTCqenA,1010000,【ローゼンメイデン】聖少女領域/coverd Aki Rosenthal【歌ってみた/4K】,Cover,281,2020-12-04T15:00:10Z,Friday,Winter,331235,20117,743,0.0629764366688303
