style,channelId,channelSubs,title,type,duration_sec,publishedAt,dayOfWeek,season,views,likes,comments,engagment
vTubers,UC1opHUrw8rvnsadT-iGp7Cg,2240000,【original】キズナトキセキ with hololive JP【湊あくあ／ホロライブ】,Live,299,2024-08-27T15:00:07Z,Tuesday,Summer,2038859,91553,5485,0.04759426718571515
vTubers,UC1opHUrw8rvnsadT-iGp7Cg,2240000,今はいいんだよ。／湊あくあ cover,Cover,156,2024-08-27T11:00:06Z,Tuesday,Summer,3569331,103217,6138,0.03063739395421719
vTubers,UC1opHUrw8rvnsadT-iGp7Cg,2240000,【アニメMV】あくたんのこと好きすぎ☆ソング／湊あくあ short ver.,MV,120,2024-08-26T10:00:06Z,Monday,Summer,1953233,84764,3819,0.04535198821645958
vTubers,UC1opHUrw8rvnsadT-iGp7Cg,2240000,快晴 ／ Startend cover,Cover,266,2024-08-25T10:00:06Z,Sunday,Summer,2911104,88948,3318,0.0316945049026074
vTubers,UC1opHUrw8rvnsadT-iGp7Cg,2240000,【メン限】おねがいダーリン　歌ってみた Ver.湊あくあ,Cover,193,2024-08-24T11:14:13Z,Saturday,Summer,1563103,64657,2393,0.04289544578956089
vTubers,UC1opHUrw8rvnsadT-iGp7Cg,2240000,【メン限】ディスコミュ星人　歌ってみた Ver.湊あくあ,Cover,211,2024-08-24T11:13:24Z,Saturday,Summer,1377029,44851,1624,0.03375019698205339
vTubers,UC1opHUrw8rvnsadT-iGp7Cg,2240000,星座になれたら／湊あくあ cover,Cover,257,2024-08-20T10:00:07Z,Tuesday,Summer,2591865,98664,3103,0.03926400487679721
vTubers,UC1opHUrw8rvnsadT-iGp7Cg,2240000,【アニメMV】エイムに愛されしガール／湊あくあ,MV,178,2023-12-01T11:00:10Z,Friday,Winter,3138391,80249,2329,0.026312209026854844
vTubers,UC1opHUrw8rvnsadT-iGp7Cg,2240000,【可愛く】きゅうくらりん／湊あくあ【歌ってみた】,Cover,218,2023-11-08T11:00:09Z,Wednesday,Fall,1521696,58802,1302,0.03949803377284293
vTubers,UC1opHUrw8rvnsadT-iGp7Cg,2240000,【５周年】君の最推しにしてよ！／湊あくあ【オリジナル曲】,MV,270,2023-08-15T12:05:10Z,Tuesday,Summer,2580259,58945,2165,0.023683668965014754
vTubers,UC1opHUrw8rvnsadT-iGp7Cg,2240000,妄想アスパルテーム／湊あくあ (cover),Cover,149,2023-07-28T10:00:07Z,Friday,Summer,1893910,48185,814,0.02587187353147721
vTubers,UC1opHUrw8rvnsadT-iGp7Cg,2240000,空奏列車 ／ Startend cover,Cover,252,2023-03-17T11:00:08Z,Friday,Spring,6251233,85400,2093,0.013996118845674125
vTubers,UC1opHUrw8rvnsadT-iGp7Cg,2240000,ダーリンダンス 湊あくあ×猫又おかゆ(cover),Cover,207,2023-02-14T10:00:08Z,Tuesday,Winter,4200248,72427,1100,0.017505394919538085
vTubers,UC1opHUrw8rvnsadT-iGp7Cg,2240000,【メン限】夜撫でるメノウ　歌ってみた Ver.湊あくあ,Cover,263,2023-02-01T12:10:30Z,Wednesday,Winter,895937,25859,1426,0.0304541502360099
vTubers,UC1opHUrw8rvnsadT-iGp7Cg,2240000,【陰キャが】可愛くてごめん／湊あくあ【歌ってみた】,Cover,219,2022-12-30T10:00:08Z,Friday,Winter,3882694,123255,3067,0.032534626730821435
vTubers,UC1opHUrw8rvnsadT-iGp7Cg,2240000,【誕生日】uni-birth／湊あくあ【オリジナル曲】,MV,224,2022-12-09T10:00:10Z,Friday,Winter,1219727,32906,1007,0.027803762645247667
vTubers,UC1opHUrw8rvnsadT-iGp7Cg,2240000,「uni-birth」 (Solo Live 2022「あくあ色 in わんだ～☆らんど♪」ver.),Live,234,2022-09-21T10:38:56Z,Wednesday,Fall,368158,16599,448,0.04630348926276218
