style,channelId,channelSubs,title,type,duration_sec,publishedAt,dayOfWeek,season,views,likes,comments,engagment
vTubers,UCdn5BQ06XqgXoAxIhbqw5Rg,2610000,Pale/ にゃんぐこーん「猫又おかゆ＆白上フブキ」(cover),Cover,157,2025-07-27T12:00:06Z,Sunday,Summer,145286,13512,384,0.09564582960505486
vTubers,UCdn5BQ06XqgXoAxIhbqw5Rg,2610000,透明人間/白上フブキ(cover),Cover,273,2025-05-18T12:00:06Z,Sunday,Spring,219088,16258,440,0.07621594975534945
vTubers,UCdn5BQ06XqgXoAxIhbqw5Rg,2610000,Bunny Girl / にゃんぐこーん「猫又おかゆ＆白上フブキ」(cover),Cover,217,2025-03-18T13:00:06Z,Tuesday,Spring,2229699,70617,1085,0.03215770379768749
vTubers,UCdn5BQ06XqgXoAxIhbqw5Rg,2610000,【Original Anime MV】グローエンブレイス/白上フブキ(Original),MV,235,2025-02-13T13:00:06Z,Thursday,Winter,953543,37883,1273,0.04106369613116556
vTubers,UCdn5BQ06XqgXoAxIhbqw5Rg,2610000,LOVE 2000/白上フブキ(cover),Cover,265,2025-01-12T10:00:06Z,Sunday,Winter,962608,30273,632,0.032105488423117196
vTubers,UCdn5BQ06XqgXoAxIhbqw5Rg,2610000,【誰得3D LIVE】We are GAMERS !!!!　マスコット推しカメラ❤【#ホロゲマズ結成記念LIVE2024】,Live,271,2024-12-17T11:00:06Z,Tuesday,Winter,107573,9674,368,0.09335056194398222
vTubers,UCdn5BQ06XqgXoAxIhbqw5Rg,2610000,【3D】僕らの星座 -機密解禁フブキングダムLIVE.ver-,Live,249,2024-11-12T04:16:48Z,Tuesday,Fall,180045,12751,404,0.0730650670665667
vTubers,UCdn5BQ06XqgXoAxIhbqw5Rg,2610000,オーバーライド/白上フブキwith黒上フブキ(cover),Cover,139,2024-10-16T12:00:06Z,Wednesday,Fall,3597498,82019,1587,0.023240040717187334
vTubers,UCdn5BQ06XqgXoAxIhbqw5Rg,2610000,鬼の宴/黒上フブキ(cover),Cover,182,2024-09-06T10:00:07Z,Friday,Fall,4383072,85645,1501,0.019882402114316168
vTubers,UCdn5BQ06XqgXoAxIhbqw5Rg,2610000,たまものまえ/白上フブキ(cover),Cover,226,2024-08-17T11:00:07Z,Saturday,Summer,447289,21589,505,0.04939535736403086
vTubers,UCdn5BQ06XqgXoAxIhbqw5Rg,2610000,うぉんちゅーばっど/ホワイトブリニャン(cover),Cover,150,2024-04-22T09:00:07Z,Monday,Spring,1121063,35898,620,0.03257444050869576
vTubers,UCdn5BQ06XqgXoAxIhbqw5Rg,2610000,【3DLIVE】みかんのうた/白上フブキ&周防パトラ　(cover),Live,287,2024-01-13T11:30:09Z,Saturday,Winter,438863,19100,725,0.04517355074362614
vTubers,UCdn5BQ06XqgXoAxIhbqw5Rg,2610000,LOVEずっきゅん/白上フブキ(cover),Cover,199,2024-01-06T09:00:11Z,Saturday,Winter,536323,24035,543,0.04582686179783452
vTubers,UCdn5BQ06XqgXoAxIhbqw5Rg,2610000,"Yes! Party Time!! (Game ver.)- 白上フブキ,不知火フレア,角巻わため,尾丸ポルカ(cover)",Cover,123,2023-12-18T11:00:08Z,Monday,Winter,240506,14180,187,0.059736555428970585
vTubers,UCdn5BQ06XqgXoAxIhbqw5Rg,2610000,凸凹スピードスター (Game ver.) - 白上フブキ&尾丸ポルカ(cover),Cover,128,2023-12-16T10:00:10Z,Saturday,Winter,169639,10583,149,0.06326375420746408
vTubers,UCdn5BQ06XqgXoAxIhbqw5Rg,2610000,劣等上等/ 白上フブキ&大神ミオ(cover),Cover,236,2023-12-15T11:10:10Z,Friday,Winter,1352108,39690,479,0.029708425658305403
vTubers,UCdn5BQ06XqgXoAxIhbqw5Rg,2610000,人生美味礼讃/白上フブキ(cover),Cover,297,2023-10-28T11:00:07Z,Saturday,Fall,892553,27203,489,0.031025608563301003
vTubers,UCdn5BQ06XqgXoAxIhbqw5Rg,2610000,コールボーイ/黒上フブキ(cover),Cover,209,2023-10-04T10:00:08Z,Wednesday,Fall,3147110,61383,1031,0.019832163476967757
vTubers,UCdn5BQ06XqgXoAxIhbqw5Rg,2610000,魔法少女とチョコレゐト/白上フブキ(cover),Cover,188,2023-08-24T11:00:11Z,Thursday,Summer,2868811,53941,892,0.019113493360141186
vTubers,UCdn5BQ06XqgXoAxIhbqw5Rg,2610000,強風オールバック/白上フブキ(cover),Cover,137,2023-06-01T14:00:10Z,Thursday,Summer,4278431,143681,2243,0.03410689572883143
vTubers,UCdn5BQ06XqgXoAxIhbqw5Rg,2610000,だいしきゅーだいしゅき/白上フブキ(cover),Cover,213,2022-10-30T11:00:07Z,Sunday,Fall,5179525,93396,1445,0.01831075243386218
vTubers,UCdn5BQ06XqgXoAxIhbqw5Rg,2610000,腐れ外道とチョコレゐト/白上フブキ(cover),Cover,202,2022-09-29T11:00:14Z,Thursday,Fall,5872916,80625,1115,0.013918128575310799
vTubers,UCdn5BQ06XqgXoAxIhbqw5Rg,2610000,CREATION / 白上フブキ(cover),Cover,168,2022-08-25T11:00:10Z,Thursday,Summer,652560,26281,496,0.041033774672060805
vTubers,UCdn5BQ06XqgXoAxIhbqw5Rg,2610000,BNA ビー・エヌ・エー Ready to /白上フブキ(cover),Cover,198,2022-07-16T11:00:11Z,Saturday,Summer,1522449,44876,471,0.029785562603410688
vTubers,UCdn5BQ06XqgXoAxIhbqw5Rg,2610000,風のクロノア STEPPING WIND/白上フブキ×戌神ころね(cover),Cover,271,2022-07-07T11:00:12Z,Thursday,Summer,211441,13138,382,0.06394218718223996
vTubers,UCdn5BQ06XqgXoAxIhbqw5Rg,2610000,ロキ/白上フブキ&影山シエン(Cover),Cover,229,2022-04-02T11:00:12Z,Saturday,Spring,1282038,52249,782,0.041364608537344444
vTubers,UCdn5BQ06XqgXoAxIhbqw5Rg,2610000,アニマル／白上フブキ(Cover),Cover,153,2021-12-22T11:00:14Z,Wednesday,Winter,2934032,84525,1598,0.02935312225633531
vTubers,UCdn5BQ06XqgXoAxIhbqw5Rg,2610000,シル・ヴ・プレジデント／白上フブキ(Cover),Cover,194,2021-12-05T11:00:11Z,Sunday,Winter,5780065,93089,1193,0.016311581271144876
vTubers,UCdn5BQ06XqgXoAxIhbqw5Rg,2610000,SoundHorizon「朝までハロウィン」(Cover)/ 角巻わため ×白上フブキ ×不知火フレア【#バカタレ共】,Cover,202,2020-11-01T11:00:19Z,Sunday,Fall,512076,22659,447,0.04512220842218733
vTubers,UCdn5BQ06XqgXoAxIhbqw5Rg,2610000,【FF】チョコボのテーマFUBUKIver.,Cover,139,2020-05-03T01:22:01Z,Sunday,Spring,526030,32730,1963,0.06595251221413227
vTubers,UCdn5BQ06XqgXoAxIhbqw5Rg,2610000,【歌ってみた】ピザ パスタ ピザ のうた【フブちゃん&アルランディス/ #ピザコーン】,Cover,121,2020-05-02T11:00:11Z,Saturday,Spring,510196,29258,1298,0.059890708668825315
vTubers,UCdn5BQ06XqgXoAxIhbqw5Rg,2610000,Astronomia FUBUKIDANCE,Dance,158,2020-04-22T03:18:53Z,Wednesday,Spring,2900609,171618,6598,0.061440890516439826
vTubers,UCdn5BQ06XqgXoAxIhbqw5Rg,2610000,Say!ファンファーレ!/白上フブキ【オリジナル曲】,MV,256,2020-01-23T12:00:11Z,Thursday,Winter,16003431,276536,6765,0.017702516416635908
