style,channelId,channelSubs,title,type,duration_sec,publishedAt,dayOfWeek,season,views,likes,comments,engagment
vTubers,UC1CfXB_kRs3C-zaeTG3oGyg,1570000,ふ･れ･ん･ど･し･た･い / ホロライブ1期生 (cover),Cover,216,2025-07-18T09:00:08Z,Friday,Summer,100476,11153,301,0.11399737250686731
vTubers,UC1CfXB_kRs3C-zaeTG3oGyg,1570000,かわいいだけじゃだめですか？／赤井はあと×水宮すう(cover),Cover,251,2025-07-07T09:00:06Z,Monday,Summer,109135,10119,329,0.09573464058276447
vTubers,UC1CfXB_kRs3C-zaeTG3oGyg,1570000,モエチャッカファイア／赤井はあと×星川サラ(cover)【歌ってみた】,Cover,156,2025-06-19T10:00:06Z,Thursday,Summer,315184,16968,238,0.05459033453474796
vTubers,UC1CfXB_kRs3C-zaeTG3oGyg,1570000,モニタリング／赤井はあと×ロボ子さん(cover),Cover,177,2025-06-13T09:00:06Z,Friday,Summer,102722,11503,238,0.11429878701738673
vTubers,UC1CfXB_kRs3C-zaeTG3oGyg,1570000,【Original anime MV】めちゃゴミ♡完♡全♡食!! / 赤井はあと (official),MV,185,2025-06-02T09:30:06Z,Monday,Summer,91705,10718,405,0.12129109645057522
vTubers,UC1CfXB_kRs3C-zaeTG3oGyg,1570000,Who2 / 赤井はあと (Official),MV,203,2025-02-24T09:00:06Z,Monday,Winter,146167,17411,537,0.12279105406829174
vTubers,UC1CfXB_kRs3C-zaeTG3oGyg,1570000,【歌ってみた】撲殺天使ドクロちゃん【ホロライブ/赤井はあと】,Cover,229,2024-12-24T15:00:06Z,Tuesday,Winter,104906,10395,353,0.10245362515013441
vTubers,UC1CfXB_kRs3C-zaeTG3oGyg,1570000,BAN RTA / 赤井はあと (Official)【Original 3D MV】,MV,195,2024-08-10T12:05:08Z,Saturday,Summer,243600,24441,933,0.10416256157635467
vTubers,UC1CfXB_kRs3C-zaeTG3oGyg,1570000,Booo! / TOKOTOKO（西沢さんP）covered by 赤井はあと【Cover】,Cover,174,2024-04-01T11:00:07Z,Monday,Spring,144595,13443,260,0.0947681455098724
vTubers,UC1CfXB_kRs3C-zaeTG3oGyg,1570000,ブタサンダー - Yukopi / Covered by 赤井はあと【Cover】,Cover,137,2024-03-09T15:00:10Z,Saturday,Spring,242347,18482,503,0.07833808547248367
vTubers,UC1CfXB_kRs3C-zaeTG3oGyg,1570000,【Original anime MV】BUTA/Akaihaato (official),MV,198,2023-11-01T13:00:09Z,Wednesday,Fall,591149,53925,1651,0.09401352281742843
vTubers,UC1CfXB_kRs3C-zaeTG3oGyg,1570000,Important Notice [Hololive/Akai Haato].,Live,124,2023-09-20T07:00:19Z,Wednesday,Fall,596572,82944,7016,0.15079487471755296
vTubers,UC1CfXB_kRs3C-zaeTG3oGyg,1570000,Infinity 【3DLIVE】,Live,244,2021-11-18T17:40:20Z,Thursday,Fall,170396,15885,516,0.09625225944270992
vTubers,UC1CfXB_kRs3C-zaeTG3oGyg,1570000,Infinity / 赤井はあと (Official),MV,242,2021-06-02T16:33:46Z,Wednesday,Summer,1411081,77273,4114,0.05767705751831397
vTubers,UC1CfXB_kRs3C-zaeTG3oGyg,1570000,RED HEART / 赤井はあと (Official),MV,212,2021-01-10T17:37:28Z,Sunday,Winter,9337283,184892,8242,0.02068417547160132
vTubers,UC1CfXB_kRs3C-zaeTG3oGyg,1570000,【歌ってみた】World is Mine/ワールドイズマイン【赤井はあと】,Cover,254,2020-02-27T11:00:10Z,Thursday,Winter,463972,19895,595,0.04416214771581044
vTubers,UC1CfXB_kRs3C-zaeTG3oGyg,1570000,【10万人記念】私、アイドル宣言/赤井はあと【歌ってみた】,Cover,268,2019-09-27T12:00:15Z,Friday,Fall,343541,12306,366,0.03688642694758413
vTubers,UC1CfXB_kRs3C-zaeTG3oGyg,1570000,夏祭り  / 赤井はあと×夏色まつり【歌ってみた】,Cover,229,2019-09-06T12:00:11Z,Friday,Fall,1085904,23778,466,0.02232609880799776
vTubers,UC1CfXB_kRs3C-zaeTG3oGyg,1570000,ECHO/赤井はあと【Cover】,Cover,235,2019-06-02T13:12:47Z,Sunday,Summer,5085701,127315,3427,0.025707763787135737
