style,channelId,channelSubs,title,type,duration_sec,publishedAt,dayOfWeek,season,views,likes,comments,engagment
vTubers,UCZlDXzGoo7d44bwdNObFacg,1640000,【MV】メメントモリ「lumière」/ Song by 天音かなた【hololive】,MV,239,2025-07-30T09:00:06Z,Wednesday,Summer,101640,11539,332,0.11679456906729634
vTubers,UCZlDXzGoo7d44bwdNObFacg,1640000,Last-resort / 天音かなた(official),MV,207,2025-07-23T11:00:07Z,Wednesday,Summer,336154,20768,755,0.06402720181821427
vTubers,UCZlDXzGoo7d44bwdNObFacg,1640000,テレパシ / 天音かなた(cover),Cover,145,2025-06-21T11:00:06Z,Saturday,Summer,373683,19914,510,0.054655951702378754
vTubers,UCZlDXzGoo7d44bwdNObFacg,1640000,セルフサービス / 天音かなた(official),MV,160,2025-05-31T12:00:06Z,Saturday,Spring,380441,21883,621,0.059152404709271605
vTubers,UCZlDXzGoo7d44bwdNObFacg,1640000,【限界高音】ロストワンの号哭 - 天音かなた cover【hololive】,Cover,221,2025-05-29T10:00:06Z,Thursday,Spring,477915,17142,386,0.036675977945869034
vTubers,UCZlDXzGoo7d44bwdNObFacg,1640000,【最強難易度】UNDEAD - 天音かなた cover【hololive】,Cover,187,2025-05-10T10:00:06Z,Saturday,Spring,935987,27384,407,0.02969165170029071
vTubers,UCZlDXzGoo7d44bwdNObFacg,1640000,きゅーぴっど。 / 天音かなた(official),MV,199,2025-04-22T12:55:07Z,Tuesday,Spring,1094054,44319,1201,0.041606721423256984
vTubers,UCZlDXzGoo7d44bwdNObFacg,1640000,ずうっといっしょ！ / 天音かなた×雪花ラミィ×百鬼あやめ×AZKi(cover),Cover,180,2025-04-10T09:00:06Z,Thursday,Spring,1028650,29578,528,0.029267486511447043
vTubers,UCZlDXzGoo7d44bwdNObFacg,1640000,【激アツ歌唱】革命デュアリズム - 天音かなた＆アユンダ・リス cover【hololive】,Cover,247,2025-03-03T10:00:05Z,Monday,Spring,531243,23676,611,0.0457173082751208
vTubers,UCZlDXzGoo7d44bwdNObFacg,1640000,テトリス / 天音かなた(cover),Cover,143,2025-01-31T09:00:06Z,Friday,Winter,2132434,41734,826,0.019958413718783326
vTubers,UCZlDXzGoo7d44bwdNObFacg,1640000,【３人で】ビビデバ - 天音かなた＆沙花叉クロヱ＆AZKi cover【hololive】,Cover,168,2025-01-01T12:00:06Z,Wednesday,Winter,923249,20274,298,0.022282179563693
vTubers,UCZlDXzGoo7d44bwdNObFacg,1640000,片羽 / 天音かなた(official),MV,245,2024-12-27T11:00:06Z,Friday,Winter,482838,26457,799,0.05644957521984599
vTubers,UCZlDXzGoo7d44bwdNObFacg,1640000,【天才だって信じてた】月並みに輝け / 天音かなた(cover),Cover,251,2024-12-11T09:00:06Z,Wednesday,Winter,380423,18981,394,0.05093014880803737
vTubers,UCZlDXzGoo7d44bwdNObFacg,1640000,唱 / 天音かなた×大神ミオ×尾丸ポルカ×ラプラス・ダークネス×沙花叉クロヱ×儒烏風亭らでん(cover),Cover,190,2024-10-06T09:00:06Z,Sunday,Fall,3155516,63539,1203,0.020517088171950325
vTubers,UCZlDXzGoo7d44bwdNObFacg,1640000,メズマライザー / 天音かなた×湊あくあ(cover),Cover,157,2024-09-04T09:00:06Z,Wednesday,Fall,2986379,98868,2436,0.03392201726572548
vTubers,UCZlDXzGoo7d44bwdNObFacg,1640000,青のすみか / 天音かなた(cover),Cover,199,2024-08-28T12:30:07Z,Wednesday,Summer,1073440,36659,1095,0.03517103890296616
vTubers,UCZlDXzGoo7d44bwdNObFacg,1640000,シャンティ / 天音かなた(cover),Cover,169,2024-08-21T09:00:21Z,Wednesday,Summer,304521,16870,345,0.05653140505909281
vTubers,UCZlDXzGoo7d44bwdNObFacg,1640000,イガク / 天音かなた＋ユ！隊(cover),Cover,123,2024-07-29T09:00:07Z,Monday,Summer,1335815,33108,716,0.025320871527868754
vTubers,UCZlDXzGoo7d44bwdNObFacg,1640000,【LIVE】花の塔 - あまからっぺ cover【hololive】,Cover,282,2024-06-16T11:00:06Z,Sunday,Summer,1517673,29914,443,0.020002332518269744
vTubers,UCZlDXzGoo7d44bwdNObFacg,1640000,ラビットホール / 天音かなた×沙花叉クロヱ(cover),Cover,169,2024-06-07T10:00:06Z,Friday,Summer,2926740,78876,1369,0.02741787791194298
vTubers,UCZlDXzGoo7d44bwdNObFacg,1640000,8番出口(Full ver) / 天音かなた(cover),Cover,178,2024-06-03T11:00:06Z,Monday,Summer,1066075,26196,426,0.024971976643294327
vTubers,UCZlDXzGoo7d44bwdNObFacg,1640000,【激ムズハモリ】勇者 - 天音かなた＆AZKi cover【hololive】,Cover,197,2024-05-28T10:00:06Z,Tuesday,Spring,3236253,46510,586,0.014552632318919442
vTubers,UCZlDXzGoo7d44bwdNObFacg,1640000,おらくる / 天音かなた(official),MV,202,2024-05-08T12:58:07Z,Wednesday,Spring,3915023,68524,1718,0.017941657047736374
vTubers,UCZlDXzGoo7d44bwdNObFacg,1640000,混沌ブギ / 天音かなた(cover),Cover,155,2024-05-02T10:58:07Z,Thursday,Spring,3248169,43121,653,0.01347651553844643
vTubers,UCZlDXzGoo7d44bwdNObFacg,1640000,Bling-Bang-Bang-Born / 天音かなた(cover),Cover,169,2024-04-22T11:55:07Z,Monday,Spring,3288774,78809,1699,0.024479638917116225
vTubers,UCZlDXzGoo7d44bwdNObFacg,1640000,粛聖!! ロリ神レクイエム☆ / 天音かなた×天宮こころ×AZKi×獅子堂あかり×姫森ルーナ(cover),Cover,275,2024-04-01T12:31:07Z,Monday,Spring,2329005,99045,2416,0.04356409711443299
vTubers,UCZlDXzGoo7d44bwdNObFacg,1640000,返信願望 / 天音かなた(official),MV,254,2024-03-13T12:00:07Z,Wednesday,Spring,412684,15872,326,0.03925037074371674
vTubers,UCZlDXzGoo7d44bwdNObFacg,1640000,きゅうくらりん / 天音かなた(cover),Cover,221,2024-03-09T09:00:06Z,Saturday,Spring,526499,23512,576,0.04575127398152703
vTubers,UCZlDXzGoo7d44bwdNObFacg,1640000,START UP / 天音かなた(official),MV,276,2024-02-24T09:55:08Z,Saturday,Winter,416770,16424,398,0.04036279002807304
vTubers,UCZlDXzGoo7d44bwdNObFacg,1640000,ド屑 / 天音かなた×百鬼あやめ×雪花ラミィ×AZKi(cover),Cover,126,2024-02-12T11:00:07Z,Monday,Winter,3409817,56474,1041,0.01686747411957885
vTubers,UCZlDXzGoo7d44bwdNObFacg,1640000,【LIVE】名前のない怪物 - 天音かなた cover【hololive】,Cover,317,2024-02-08T13:00:10Z,Thursday,Winter,411968,13612,181,0.03348075578685723
vTubers,UCZlDXzGoo7d44bwdNObFacg,1640000,【Original MV】純粋心 - 天音かなた【つんく／テレビ東京系「ゴッドタン」2月度エンディングテーマ】,MV,268,2024-02-03T12:55:08Z,Saturday,Winter,594883,25336,1059,0.0443700694086064
vTubers,UCZlDXzGoo7d44bwdNObFacg,1640000,【LIVE】メフィスト - 天音かなた cover【hololive】,Cover,230,2024-01-23T11:00:08Z,Tuesday,Winter,2799294,49186,850,0.01787450692924716
vTubers,UCZlDXzGoo7d44bwdNObFacg,1640000,【Original MV】Knock it out! - 天音かなた【Giga & TeddyLoid】,MV,152,2024-01-06T12:59:07Z,Saturday,Winter,1646449,42118,790,0.0260609347753863
vTubers,UCZlDXzGoo7d44bwdNObFacg,1640000,強風オールバック / 天音かなた(cover),Cover,137,2023-06-25T09:00:09Z,Sunday,Summer,1334802,53519,1322,0.04108549432799771
vTubers,UCZlDXzGoo7d44bwdNObFacg,1640000,アタシは問題作 / 天音かなた(cover),Cover,197,2023-06-17T11:54:07Z,Saturday,Summer,1491171,38086,665,0.025986959242098994
vTubers,UCZlDXzGoo7d44bwdNObFacg,1640000,アイドル / 天音かなた(cover),Cover,216,2023-06-03T09:00:07Z,Saturday,Summer,3439913,97299,2339,0.028965267435542702
vTubers,UCZlDXzGoo7d44bwdNObFacg,1640000,マフィア(Mafia) / 天音かなた(cover),Cover,188,2023-04-07T09:00:08Z,Friday,Spring,1654986,40533,586,0.024845527394189437
vTubers,UCZlDXzGoo7d44bwdNObFacg,1640000,マーシャル・マキシマイザー / 天音かなた(cover),Cover,166,2023-03-10T09:00:10Z,Friday,Spring,2725745,48419,562,0.017969766063956828
