style,channelId,channelSubs,title,type,duration_sec,publishedAt,dayOfWeek,season,views,likes,comments,engagment
vTubers,UChAnqc_AY5_I3Px5dig3X1Q,2230000,GOOD BYE 夏男 (cover) / あまにょ様,Cover,259,2025-07-07T14:00:06Z,Monday,Summer,189394,16490,437,0.08937453140014995
vTubers,UChAnqc_AY5_I3Px5dig3X1Q,2230000,【デジモンアドベンチャー】brave heart  2人で歌ってみた 【戌神ころね/紫咲シオン】,Cover,252,2025-04-22T12:00:06Z,Tuesday,Spring,1529672,61561,1500,0.041225177685150806
vTubers,UChAnqc_AY5_I3Px5dig3X1Q,2230000,【MV】みっころね×やってやんよ!! / さくらみこ&戌神ころね (official),MV,208,2025-01-02T10:45:07Z,Thursday,Winter,681724,39674,784,0.059346597743368285
vTubers,UChAnqc_AY5_I3Px5dig3X1Q,2230000,【Official MV】本噛ぷれしゃすモーメント / 戌神ころね,MV,233,2024-11-21T09:00:06Z,Thursday,Fall,214256,21994,531,0.10513124486595475
vTubers,UChAnqc_AY5_I3Px5dig3X1Q,2230000,【王様戦隊キングオージャー】ころねくんで『全力キング』歌ってみた 【戌神ころね】,Cover,224,2024-10-31T10:00:07Z,Thursday,Fall,427955,23771,800,0.05741491511958033
vTubers,UChAnqc_AY5_I3Px5dig3X1Q,2230000,唱 / 戌神ころね ( cover ),Cover,193,2024-05-02T12:00:07Z,Thursday,Spring,1995334,61083,1703,0.03146641113718305
vTubers,UChAnqc_AY5_I3Px5dig3X1Q,2230000,TROUBLE “WAN”DER！ / 戌神ころね (official),MV,211,2024-04-13T12:00:07Z,Saturday,Spring,1238494,55163,1784,0.04598084447724414
vTubers,UChAnqc_AY5_I3Px5dig3X1Q,2230000,瞬間ハートビート  / HoLOGSS（cover）,Cover,213,2024-03-20T14:00:07Z,Wednesday,Spring,5143219,112282,2977,0.022409895437079386
vTubers,UChAnqc_AY5_I3Px5dig3X1Q,2230000,MOTHER/ - POLLYANNA (I BELIEVE IN YOU) / 戌神ころね(cover),Cover,242,2023-10-01T12:00:10Z,Sunday,Fall,838058,36034,1624,0.044934837445618325
vTubers,UChAnqc_AY5_I3Px5dig3X1Q,2230000,アイデンティティ / 戌神ころね (cover),Cover,155,2023-09-03T10:00:08Z,Sunday,Fall,1926640,57063,1736,0.03051893451812482
vTubers,UChAnqc_AY5_I3Px5dig3X1Q,2230000,ふしぎなくすり / 戌神ころね(cover),Cover,120,2022-07-08T11:00:13Z,Friday,Summer,626376,27770,651,0.04537370525052045
vTubers,UChAnqc_AY5_I3Px5dig3X1Q,2230000,ふ･れ･ん･ど･し･た･い / やかまし娘 (cover),Cover,216,2022-01-10T11:00:14Z,Monday,Winter,1013315,44901,1413,0.045705432170647826
vTubers,UChAnqc_AY5_I3Px5dig3X1Q,2230000,ファイアーエムブレムのテーマ / 戌神ころね（cover）4K,Cover,186,2021-11-30T11:00:14Z,Tuesday,Fall,1567087,60954,2088,0.0402287811716899
vTubers,UChAnqc_AY5_I3Px5dig3X1Q,2230000,【original】ころねの最凶天災☆わんだふぉー❤わーるど【戌神ころね/ホロライブ】,MV,223,2021-04-13T14:00:18Z,Tuesday,Spring,4066547,123553,4356,0.03145395835828284
vTubers,UChAnqc_AY5_I3Px5dig3X1Q,2230000,戌神ころねオリジナルBGM「ころねレイザー 戌More!」,MV,186,2021-02-15T07:00:16Z,Monday,Winter,364399,24321,788,0.06890523848857982
vTubers,UChAnqc_AY5_I3Px5dig3X1Q,2230000,ボンバーキングのテーマ/戌神ころね(cover),Cover,216,2020-10-01T13:45:12Z,Thursday,Fall,1087213,58194,1657,0.05504993041841847
vTubers,UChAnqc_AY5_I3Px5dig3X1Q,2230000,ハロハロナリヤンス音頭 / 戌神ころね(cover),Cover,143,2020-07-12T12:30:13Z,Sunday,Summer,974060,42544,1216,0.044925363940619675
vTubers,UChAnqc_AY5_I3Px5dig3X1Q,2230000,【一周年記念】ヒャダインのじょーじょーゆーじょー / おかころ【歌ってみた】,Cover,246,2020-04-01T12:00:12Z,Wednesday,Spring,8362885,202755,6161,0.024981331203286904
vTubers,UChAnqc_AY5_I3Px5dig3X1Q,2230000,恋愛裁判　Ver.戌神ころね,Cover,222,2020-02-22T12:15:11Z,Saturday,Winter,9863608,193128,3810,0.019966121930230805
vTubers,UChAnqc_AY5_I3Px5dig3X1Q,2230000,【歌ってみた】スイートマジック 【戌神ころね】,Cover,217,2019-10-01T13:00:12Z,Tuesday,Fall,3531927,118634,291,0.03367142072868437
