style,channelId,channelSubs,title,type,duration_sec,publishedAt,dayOfWeek,season,views,likes,comments,engagment
vTubers,UC6eWCld0KwmyHFbAqK3V-Rw,1320000,愛♡スクリ～ム！ / KoZMy [ 博衣こより・AZKi・雪花ラミィ ] (Cover) 【歌ってみた】,Cover,259,2025-08-03T10:55:06Z,Sunday,Summer,471017,36274,1036,0.07921157835067524
vTubers,UC6eWCld0KwmyHFbAqK3V-Rw,1320000,DECO*27 - テレパシ / 博衣こより (Cover),Cover,145,2025-07-03T10:00:06Z,Thursday,Summer,181055,12726,479,0.07293363894949048
vTubers,UC6eWCld0KwmyHFbAqK3V-Rw,1320000,【MV】 キミ＝♡ / 博衣こより (Official),MV,211,2025-03-15T12:08:06Z,Saturday,Spring,261025,13689,654,0.054948759697347
vTubers,UC6eWCld0KwmyHFbAqK3V-Rw,1320000,一番の宝物 / 沙花叉クロヱ 博衣こより (Cover),Cover,366,2025-01-28T09:00:06Z,Tuesday,Winter,863115,35133,1644,0.04260961749013747
vTubers,UC6eWCld0KwmyHFbAqK3V-Rw,1320000,テトリス / 博衣こより (Cover) 【歌ってみた】,Cover,143,2025-01-16T09:00:06Z,Thursday,Winter,1778178,36364,1262,0.02115986138620543
vTubers,UC6eWCld0KwmyHFbAqK3V-Rw,1320000,シアワセ√コヨリニウム / 博衣こより (Official)【original anime MV】,MV,217,2024-12-30T10:55:07Z,Monday,Winter,1537141,38146,2205,0.02625068227312914
vTubers,UC6eWCld0KwmyHFbAqK3V-Rw,1320000,デコレート / 博衣こより (Official),MV,174,2024-11-28T11:58:06Z,Thursday,Fall,920505,28216,1517,0.032300747959000765
vTubers,UC6eWCld0KwmyHFbAqK3V-Rw,1320000,Lost my music / 博衣こより (Cover),Cover,260,2024-11-19T10:55:06Z,Tuesday,Fall,475421,19859,794,0.04344149711518843
vTubers,UC6eWCld0KwmyHFbAqK3V-Rw,1320000,ゆずれない願い / 博衣こより (Cover) 【ホロライブ】,Cover,232,2024-10-01T09:00:22Z,Tuesday,Fall,568060,24175,1355,0.04494243565820512
vTubers,UC6eWCld0KwmyHFbAqK3V-Rw,1320000,世界一可愛い私 / 藤田ことね covered by 博衣こより (Cover)【歌ってみた】,Cover,239,2024-07-14T10:57:07Z,Sunday,Summer,291713,14504,434,0.05120786526483222
vTubers,UC6eWCld0KwmyHFbAqK3V-Rw,1320000,Bling-Bang-Bang-Born ／ Vtuber12人で歌ってみた (Cover) 【博衣こより/ホロライブ】,Cover,168,2024-06-28T13:30:07Z,Friday,Summer,1942356,54573,810,0.0285133106392443
vTubers,UC6eWCld0KwmyHFbAqK3V-Rw,1320000,【Original Animation MV】Tear-Gazer / 博衣こより (Official),MV,270,2024-03-15T12:57:06Z,Friday,Spring,631146,25700,741,0.04189363475329005
vTubers,UC6eWCld0KwmyHFbAqK3V-Rw,1320000,!!!Dream♡Cooking!!! / 博衣こより (Official),MV,180,2024-02-25T10:00:08Z,Sunday,Winter,297614,11921,374,0.04131190064983502
vTubers,UC6eWCld0KwmyHFbAqK3V-Rw,1320000,【推しカメラFull】「ハピチョコ/FRUITS ZIPPER」歌って踊ってみた🎶フルでKAWAII DANCE見て見て見て～～～❣【博衣こより/ホロライブ】,Dance,266,2024-01-12T09:00:09Z,Friday,Winter,96983,5408,130,0.05710279121083076
vTubers,UC6eWCld0KwmyHFbAqK3V-Rw,1320000,【3D】トウキョウ・シャンディ・ランデヴ - ムーナ・ホシノヴァ＆博衣こより(Cover)【歌って踊ってみた】,Cover,188,2023-12-14T10:00:09Z,Thursday,Winter,447384,18921,270,0.04289603562040663
vTubers,UC6eWCld0KwmyHFbAqK3V-Rw,1320000,アンバランス / 博衣こより (Official),MV,215,2023-11-28T13:05:09Z,Tuesday,Fall,478496,17851,394,0.0381298903230121
vTubers,UC6eWCld0KwmyHFbAqK3V-Rw,1320000,粛聖!! ロリ神レクイエム☆ / ロリこより（９さい）cover【博衣こより/hololive】,Cover,274,2023-11-25T14:00:09Z,Saturday,Fall,925518,48764,1212,0.05399786930129938
vTubers,UC6eWCld0KwmyHFbAqK3V-Rw,1320000,劣等上等 / ラプラス・ダークネス＆鷹嶺ルイ＆博衣こより＆沙花叉クロヱ＆風真いろは(Cover)【歌ってみた】,Cover,237,2023-11-20T11:00:10Z,Monday,Fall,3496891,50578,645,0.014648154603617899
vTubers,UC6eWCld0KwmyHFbAqK3V-Rw,1320000,すきっちゅーの！／HoneyWorks - Covered by 博衣こより【歌ってみた】,Cover,175,2023-11-03T10:00:09Z,Friday,Fall,341695,14925,416,0.04489676465854051
vTubers,UC6eWCld0KwmyHFbAqK3V-Rw,1320000,恋のミクル伝説 - 博衣こより(Cover) 【本家リスペクトで歌ってみた】,Cover,204,2023-10-13T09:00:10Z,Friday,Fall,280438,16289,803,0.06094751781142356
vTubers,UC6eWCld0KwmyHFbAqK3V-Rw,1320000,HERO / 初音ミク - 博衣こより (Cover),Cover,205,2023-08-31T10:00:12Z,Thursday,Summer,385946,14758,306,0.039031367082441586
vTubers,UC6eWCld0KwmyHFbAqK3V-Rw,1320000,少女レイ / 博衣こより (Cover),Cover,290,2023-08-09T11:58:10Z,Wednesday,Summer,757178,21906,380,0.02943297348840035
vTubers,UC6eWCld0KwmyHFbAqK3V-Rw,1320000,God knows... / 博衣こより (Cover) 【歌ってみた】,Cover,280,2023-08-01T09:00:08Z,Tuesday,Summer,3084591,59469,1127,0.019644743825032233
vTubers,UC6eWCld0KwmyHFbAqK3V-Rw,1320000,きゅうくらりん - 博衣こより(Cover)【歌ってみた】,Cover,217,2023-07-15T11:55:10Z,Saturday,Summer,805788,31253,529,0.03944213614499099
vTubers,UC6eWCld0KwmyHFbAqK3V-Rw,1320000,ダーリンダンス / 博衣こより(cover) ♡,Cover,208,2023-07-02T10:00:08Z,Sunday,Summer,452067,18029,348,0.04065105393669523
vTubers,UC6eWCld0KwmyHFbAqK3V-Rw,1320000,強風オールバック / 博衣こより(Cover),Cover,137,2023-06-15T09:00:10Z,Thursday,Summer,1051896,48932,979,0.047448607086632136
vTubers,UC6eWCld0KwmyHFbAqK3V-Rw,1320000,YOASOBI「アイドル」Covered by 博衣こより(hololive)【歌ってみた】,Cover,214,2023-06-02T09:00:08Z,Friday,Summer,1302925,52183,1037,0.040846556785693725
vTubers,UC6eWCld0KwmyHFbAqK3V-Rw,1320000,史上最大のQUESTION! / 博衣こより (Official),MV,236,2023-05-04T09:00:11Z,Thursday,Spring,574160,21545,515,0.038421345966281176
vTubers,UC6eWCld0KwmyHFbAqK3V-Rw,1320000,エゴイスティック・シーソー - 博衣こより(Official),MV,196,2023-03-15T13:05:10Z,Wednesday,Spring,592203,20110,542,0.034873176934260716
vTubers,UC6eWCld0KwmyHFbAqK3V-Rw,1320000,【全力Chu!で】可愛くてごめん／Honeyworks covered by 博衣こより(hololive)【歌ってみた】,Cover,223,2023-02-10T10:00:07Z,Friday,Winter,1017128,41317,807,0.041414649876908315
vTubers,UC6eWCld0KwmyHFbAqK3V-Rw,1320000,アイデンティティ- Kanaria / Covered 博衣こより×沙花叉クロヱ【hololive】,Cover,156,2022-12-30T11:08:10Z,Friday,Winter,1742808,43707,652,0.025452602925852993
vTubers,UC6eWCld0KwmyHFbAqK3V-Rw,1320000,【Original / 3D MV】乙女よ求めよQ.E.D. / 博衣こより 【hololive】,MV,208,2022-12-30T11:00:09Z,Friday,Winter,1146804,30437,659,0.02711535711420609
vTubers,UC6eWCld0KwmyHFbAqK3V-Rw,1320000,バグ／かいりきベア feat.初音ミク Covered by 博衣こより(hololive),Cover,171,2022-10-01T08:00:13Z,Saturday,Fall,1420229,38578,683,0.027644133446085104
vTubers,UC6eWCld0KwmyHFbAqK3V-Rw,1320000,YOASOBI「怪物」/スターアニマル (ときのそら・星街すいせい・大空スバル・尾丸ポルカ・博衣こより・沙花叉クロヱ) cover,Cover,207,2022-08-24T13:00:12Z,Wednesday,Summer,20842080,243662,3462,0.011856973968049253
vTubers,UC6eWCld0KwmyHFbAqK3V-Rw,1320000,ミックスナッツ / Official髭男dism【Covered by 博衣こより】『SPY×FAMILY OP主題歌』Mixed Nuts,MV,215,2022-07-20T09:00:12Z,Wednesday,Summer,1325101,43079,1017,0.03327746337826324
vTubers,UC6eWCld0KwmyHFbAqK3V-Rw,1320000,【Original】WAO!! - 博衣こより 【ホロライブ】,MV,160,2022-06-16T12:05:30Z,Thursday,Summer,4095500,72730,1588,0.018146258088145524
vTubers,UC6eWCld0KwmyHFbAqK3V-Rw,1320000,ニュートンダンス 歌ってみた 【小鳥遊キアラ×博衣こより #KoaraConnect 】,Cover,196,2022-06-01T11:50:25Z,Wednesday,Summer,1615970,41953,610,0.02633897906520542
vTubers,UC6eWCld0KwmyHFbAqK3V-Rw,1320000,アニマル / 博衣こより(cover)【ホロライブ/歌ってみた】,Cover,152,2022-04-21T10:00:12Z,Thursday,Spring,724863,24858,682,0.03523424426408853
vTubers,UC6eWCld0KwmyHFbAqK3V-Rw,1320000,おねがいダーリン／博衣こより【歌ってみた】,Cover,193,2022-03-15T09:00:12Z,Tuesday,Spring,1004468,33310,976,0.03413349155971121
vTubers,UC6eWCld0KwmyHFbAqK3V-Rw,1320000,心予報 - Eve/Covered by 博衣こより【ホロライブ】,Cover,203,2022-02-14T13:06:03Z,Monday,Winter,1229152,39558,1055,0.03304147900341048
vTubers,UC6eWCld0KwmyHFbAqK3V-Rw,1320000,シル・ヴ・プレジデント／博衣こより Cover【歌ってみた】,Cover,194,2022-01-24T11:00:13Z,Monday,Winter,1463067,49122,1560,0.034640928952672706
vTubers,UC6eWCld0KwmyHFbAqK3V-Rw,1320000,『んっあっあっ。』/SLAVE.V-V-R covered by 博衣こより【歌ってみた】,Cover,217,2021-12-24T10:00:13Z,Friday,Winter,2894847,78926,1780,0.027879193615413873
vTubers,UC6eWCld0KwmyHFbAqK3V-Rw,1320000,【MV】ルマ／博衣こより cover【歌ってみた】,MV,187,2021-11-28T13:00:11Z,Sunday,Fall,4859770,115557,3667,0.024532848262366326
