style,channelId,channelSubs,title,type,duration_sec,publishedAt,dayOfWeek,season,views,likes,comments,engagment
vTubers,UCFKOVgVbGmX65RxO3EtH3iw,1340000,インキャのキャキャキャ // covered by 白上フブキ　角巻わため　姫森ルーナ　雪花ラミィ　桃鈴ねね　ラプラス・ダークネス　轟はじめ,Cover,220,2025-04-12T10:00:06Z,Saturday,Spring,355948,19366,525,0.05588175800959691
vTubers,UCFKOVgVbGmX65RxO3EtH3iw,1340000,ミカヅキ // covered by 雪花ラミィ,Cover,261,2025-03-21T10:50:06Z,Friday,Spring,447536,18144,459,0.041567605734510744
vTubers,UCFKOVgVbGmX65RxO3EtH3iw,1340000,ブレイブリーダンス／アニメ「外れスキル《 #木の実マスター 》」OPテーマ／雪花ラミィ×アーリオ・オーリオ・エ・ペペロンチーノ【オリジナル曲】,MV,232,2025-01-07T10:00:06Z,Tuesday,Winter,373225,15016,528,0.04164779958470092
vTubers,UCFKOVgVbGmX65RxO3EtH3iw,1340000,夜撫でるメノウ // covered by 雪花ラミィ,Cover,284,2024-12-28T09:00:06Z,Saturday,Winter,227003,12677,445,0.0578054034528178
vTubers,UCFKOVgVbGmX65RxO3EtH3iw,1340000,【original】ラミィズバリバリワークアウト【雪花ラミィ/ホロライブ】,MV,266,2024-11-15T12:05:07Z,Friday,Fall,868084,35498,1473,0.042589196437211145
vTubers,UCFKOVgVbGmX65RxO3EtH3iw,1340000,NEW KAWAII // covered by 百鬼あやめ×猫又おかゆ×戌神ころね×兎田ぺこら×天音かなた×雪花ラミィ,Cover,265,2024-11-02T11:00:06Z,Saturday,Fall,973567,29704,653,0.03118121300331667
vTubers,UCFKOVgVbGmX65RxO3EtH3iw,1340000,青と夏 // covered by 雪花ラミィ,Cover,271,2024-09-14T11:00:06Z,Saturday,Fall,794873,20776,585,0.026873475385376027
vTubers,UCFKOVgVbGmX65RxO3EtH3iw,1340000,【original】わたしを甘やかすなら【雪花ラミィ/ホロライブ】,MV,238,2024-08-12T10:50:07Z,Monday,Summer,373448,18628,639,0.051592189541783594
vTubers,UCFKOVgVbGmX65RxO3EtH3iw,1340000,Loveit? // covered by KALAZ（AZKi・天音かなた・雪花ラミィ）,Cover,155,2024-06-25T11:00:07Z,Tuesday,Summer,842349,27364,569,0.03316083950951446
vTubers,UCFKOVgVbGmX65RxO3EtH3iw,1340000,勇者 // covered by 雪花ラミィ,Cover,197,2024-05-05T12:00:07Z,Sunday,Spring,911897,28818,765,0.032441163859514836
vTubers,UCFKOVgVbGmX65RxO3EtH3iw,1340000,【original】ハツコイ♡パティシエール【雪花ラミィ/ホロライブ】,MV,188,2024-03-18T13:00:08Z,Monday,Spring,452539,18872,753,0.043366428086861024
vTubers,UCFKOVgVbGmX65RxO3EtH3iw,1340000,【original】Lamy＊Love♡Fest☆【雪花ラミィ/ホロライブ】,MV,237,2024-02-24T13:15:11Z,Saturday,Winter,582952,18286,534,0.032283961629773976
vTubers,UCFKOVgVbGmX65RxO3EtH3iw,1340000,SOS // covered by 雪花ラミィ,Cover,242,2023-12-12T11:00:10Z,Tuesday,Winter,367933,16885,336,0.04680471716317917
vTubers,UCFKOVgVbGmX65RxO3EtH3iw,1340000,【original】Fleur【雪花ラミィ/ホロライブ】,MV,275,2022-08-12T12:00:13Z,Friday,Summer,1349850,42972,1038,0.03260362262473608
vTubers,UCFKOVgVbGmX65RxO3EtH3iw,1340000,ベテルギウス // covered by 猫又おかゆ＆雪花ラミィ【歌ってみた】,Cover,239,2022-05-19T12:15:12Z,Thursday,Spring,5589850,77477,1242,0.01408248879665823
vTubers,UCFKOVgVbGmX65RxO3EtH3iw,1340000,フォニイ // covered by 雪花ラミィ,Cover,190,2022-04-16T09:00:14Z,Saturday,Spring,2476505,73220,1981,0.03036577757767499
vTubers,UCFKOVgVbGmX65RxO3EtH3iw,1340000,ヒトリゴト // covered by 桃鈴ねね＆雪花ラミィ【歌ってみた】,Cover,234,2022-03-18T10:00:14Z,Friday,Spring,2644309,52114,750,0.01999161217543033
vTubers,UCFKOVgVbGmX65RxO3EtH3iw,1340000,コネクト // 雪花ラミィ(cover) -VARK LIVE version,Cover,275,2022-02-03T11:00:36Z,Thursday,Winter,314077,13685,599,0.045479293294319545
vTubers,UCFKOVgVbGmX65RxO3EtH3iw,1340000,ライオン (Lion) - May'n 中島愛 // covered by 獅白ぼたん＆雪花ラミィ【歌ってみた】,Cover,302,2021-12-25T09:00:13Z,Saturday,Winter,5051205,80830,1060,0.01621197318263662
vTubers,UCFKOVgVbGmX65RxO3EtH3iw,1340000,【original】明日への境界線【雪花ラミィ/ホロライブ】,MV,200,2021-11-15T12:15:13Z,Monday,Fall,1186397,40627,982,0.035071733997978756
vTubers,UCFKOVgVbGmX65RxO3EtH3iw,1340000,Blessing // Covered byねぽらぼ【歌ってみた】,Cover,269,2021-08-12T12:15:12Z,Thursday,Summer,11353787,148673,3348,0.013389453228248865
vTubers,UCFKOVgVbGmX65RxO3EtH3iw,1340000,【歌ってみた】好き！雪！本気マジック,Cover,130,2020-08-15T13:56:16Z,Saturday,Summer,647654,29031,1360,0.046924746855574115
