style,channelId,channelSubs,title,type,duration_sec,publishedAt,dayOfWeek,season,views,likes,comments,engagment
vTubers,UCENwRMx5Yh42zWpzURebzTw,1420000,バグラブ / DECO*27 (official),MV,173,2025-05-25T13:00:09Z,Sunday,Spring,770021,40752,929,0.0541296925668261
vTubers,UCENwRMx5Yh42zWpzURebzTw,1420000,ガチャガチャきゅ～と・ふぃぎゅ@メイト - MOSAIC.WAV /ラプラス・ダークネス×赤見かるび 【歌ってみた】,Cover,235,2025-03-12T11:00:06Z,Wednesday,Spring,766690,28234,689,0.03772450403683366
vTubers,UCENwRMx5Yh42zWpzURebzTw,1420000,🍫 chocolate box /  博衣こより×ラプラス・ダークネス ‐ cover 💗,Cover,237,2025-02-14T09:00:06Z,Friday,Winter,132982,9258,236,0.07139312087350168
vTubers,UCENwRMx5Yh42zWpzURebzTw,1420000,モニタリング / 鷹嶺ルイ×ラプラス・ダークネス-cover[Deco*27],Cover,181,2025-02-04T10:00:06Z,Tuesday,Winter,1825947,45778,662,0.025433377858174417
vTubers,UCENwRMx5Yh42zWpzURebzTw,1420000,ずうっといっしょ！ / ラプラス・ダークネス-Cover [キタニタツヤ],Cover,181,2025-01-27T10:00:06Z,Monday,Winter,986356,38713,780,0.040039296156762876
vTubers,UCENwRMx5Yh42zWpzURebzTw,1420000,魔女 / ラプラス・ダークネス Cover-花譜×カンザキイオリ,Cover,284,2024-11-26T10:45:06Z,Tuesday,Fall,780565,26674,624,0.03497210354038421
vTubers,UCENwRMx5Yh42zWpzURebzTw,1420000,Dec. /ラプラス・ダークネス-Cover [Kanaria],Cover,133,2024-05-11T12:00:06Z,Saturday,Spring,2393681,46619,1078,0.019926214061105053
vTubers,UCENwRMx5Yh42zWpzURebzTw,1420000,らぶびーむ！！/ covered by ラプラス・ダークネス×月ノ美兎×天宮こころ×兎咲ミミ×胡桃のあ×百鬼あやめ×沙花叉クロヱ,Cover,120,2024-02-14T11:00:09Z,Wednesday,Winter,6311610,102630,2053,0.01658578397587937
vTubers,UCENwRMx5Yh42zWpzURebzTw,1420000,MV「喰ライ」 ラプラス・ダークネス -かいりきベア,MV,178,2024-01-27T08:00:18Z,Saturday,Winter,783243,27174,864,0.03579731960579284
vTubers,UCENwRMx5Yh42zWpzURebzTw,1420000,Loveit? /ラプラス・ダークネス-Cover[ biz×ZERA],Cover,149,2023-12-24T10:00:08Z,Sunday,Winter,1113527,36897,723,0.033784542269742895
vTubers,UCENwRMx5Yh42zWpzURebzTw,1420000,✧︎ジングルベルがとまらない Aqours / holoX-Cover✧︎,Cover,283,2023-12-18T13:00:11Z,Monday,Winter,283463,17014,478,0.06170822999827138
vTubers,UCENwRMx5Yh42zWpzURebzTw,1420000,凸凹スピードスター/ラプラス・ダークネス ドーラ-Cover,Cover,128,2023-12-18T11:30:07Z,Monday,Winter,150158,9905,254,0.06765540297553244
vTubers,UCENwRMx5Yh42zWpzURebzTw,1420000,白ゆき / ラプラス・ダークネス-Cover 〔ヨルシカ / n-buna〕,Cover,265,2023-12-10T12:30:08Z,Sunday,Winter,906826,25343,672,0.028687973216471516
vTubers,UCENwRMx5Yh42zWpzURebzTw,1420000,Femme Fatale -ヒプノシスマイク 中王区言の葉党 cover ラプラス・ダークネス／鷹嶺ルイ／沙花叉クロヱ,Cover,217,2023-11-09T13:00:10Z,Thursday,Fall,1122895,38739,899,0.03529982767756558
vTubers,UCENwRMx5Yh42zWpzURebzTw,1420000,Bad ∞ End ∞ Night －ひとしずくやま cover,Cover,255,2023-10-31T10:00:07Z,Tuesday,Fall,1528423,52352,982,0.03489479025112812
vTubers,UCENwRMx5Yh42zWpzURebzTw,1420000,デーモンロード / ラプラス・ダークネス cover- Kanaria,Cover,160,2023-07-18T10:00:10Z,Tuesday,Summer,5923819,75299,1976,0.013044794245063869
vTubers,UCENwRMx5Yh42zWpzURebzTw,1420000,レクイエム / ラプラス・ダークネス×天音かなた cover-Kanaria×星街すいせい【歌ってみた】,Cover,162,2023-06-01T10:00:10Z,Thursday,Summer,3409057,65781,1347,0.019691075860567894
vTubers,UCENwRMx5Yh42zWpzURebzTw,1420000,スロウダウナー/ろくろ Covered 風真いろは×ラプラス・ダークネス,Cover,231,2023-05-27T10:00:08Z,Saturday,Spring,1737661,33383,546,0.019525672729030576
vTubers,UCENwRMx5Yh42zWpzURebzTw,1420000,【からだ☆ダンダン】フルバージョン！ 一緒に歌おう！オリジナル振り付け♪【正面ダンス練習用】,MV,177,2023-05-26T08:00:10Z,Friday,Spring,303890,23271,0,0.07657705090657804
vTubers,UCENwRMx5Yh42zWpzURebzTw,1420000,頓珍漢の宴  / ラプラス・ダークネス Cover,Cover,237,2023-02-20T10:00:07Z,Monday,Winter,2134567,67516,3759,0.03339084694928761
vTubers,UCENwRMx5Yh42zWpzURebzTw,1420000,QUEEN / ラプラス・ダークネス cover,Cover,142,2022-10-21T10:00:10Z,Friday,Fall,3395681,68999,825,0.020562591126787235
vTubers,UCENwRMx5Yh42zWpzURebzTw,1420000,あなたクランケン / ラプラス・ダークネス cover,Cover,214,2022-09-11T14:00:13Z,Sunday,Fall,2059642,43643,744,0.02155083262042627
vTubers,UCENwRMx5Yh42zWpzURebzTw,1420000,食虫植物 / ラプラス・ダークネス cover,Cover,160,2022-09-06T14:00:13Z,Tuesday,Fall,2324425,59599,827,0.025996106563988944
vTubers,UCENwRMx5Yh42zWpzURebzTw,1420000,ルージュの伝言 / ラプラス・ダークネス cover,Cover,181,2022-08-09T13:30:14Z,Tuesday,Summer,2033448,56492,1142,0.028342991805052304
vTubers,UCENwRMx5Yh42zWpzURebzTw,1420000,キルマー / ラプラス・ダークネス cover,Cover,215,2022-07-25T11:00:14Z,Monday,Summer,2117243,47890,668,0.022934542704828875
vTubers,UCENwRMx5Yh42zWpzURebzTw,1420000,濁雨 / ラプラス・ダークネス cover,Cover,229,2022-06-22T11:30:12Z,Wednesday,Summer,1102183,38911,580,0.035829803217795955
vTubers,UCENwRMx5Yh42zWpzURebzTw,1420000,合縁事変 / Osanzi (official),MV,209,2022-05-26T12:00:15Z,Thursday,Spring,1805758,57189,1250,0.0323625867918071
vTubers,UCENwRMx5Yh42zWpzURebzTw,1420000,LiFE  / ラプラス・ダークネス Cover  〖Osanzi〗,Cover,219,2022-04-29T11:00:31Z,Friday,Spring,1704769,54027,1085,0.0323281336063713
vTubers,UCENwRMx5Yh42zWpzURebzTw,1420000,ビターチョコデコレーション / ラプラス・ダークネス Cover,Cover,203,2022-02-14T10:30:13Z,Monday,Winter,4781545,99327,2787,0.02135585882805662
vTubers,UCENwRMx5Yh42zWpzURebzTw,1420000,神っぽいな / ラプラス・ダークネス Cover,Cover,205,2021-12-01T10:45:13Z,Wednesday,Winter,24298306,327713,9175,0.013864670236682343
