style,channelId,channelSubs,title,type,duration_sec,publishedAt,dayOfWeek,season,views,likes,comments,engagment
vTubers,UCa9Y57gfeY0Zro_noHRVrnw,1120000,Get Wild / 姫森ルーナ (cover),Cover,246,2025-06-28T11:00:06Z,Saturday,Summer,546416,30759,938,0.05800891628356417
vTubers,UCa9Y57gfeY0Zro_noHRVrnw,1120000,シル・ヴ・プレジデント / 姫森ルーナ (cover),Cover,194,2025-05-15T11:00:06Z,Thursday,Spring,314191,22205,556,0.0724431953811535
vTubers,UCa9Y57gfeY0Zro_noHRVrnw,1120000,ふわふわ時間 / 姫森ルーナ (cover),Cover,237,2025-01-01T11:00:06Z,Wednesday,Winter,202660,15585,420,0.07897463732359616
vTubers,UCa9Y57gfeY0Zro_noHRVrnw,1120000,【original】守護ってルーナイト【姫森ルーナ/ホロライブ】,MV,227,2024-10-10T12:00:06Z,Thursday,Fall,3019054,75457,2366,0.025777279902909983
vTubers,UCa9Y57gfeY0Zro_noHRVrnw,1120000,白金ディスコ / 姫森ルーナ (cover),Cover,255,2024-06-24T12:00:07Z,Monday,Summer,566543,26429,704,0.04789221647783134
vTubers,UCa9Y57gfeY0Zro_noHRVrnw,1120000,ワールドイズマイン / 姫森ルーナ (cover),Cover,258,2024-04-02T11:30:07Z,Tuesday,Spring,503039,28723,770,0.05862964899341801
vTubers,UCa9Y57gfeY0Zro_noHRVrnw,1120000,【original】ぐるぐる@まわる@まわルーナ【姫森ルーナ/ホロライブ】,MV,176,2024-03-29T12:00:06Z,Friday,Spring,696118,35656,924,0.052548562169057546
vTubers,UCa9Y57gfeY0Zro_noHRVrnw,1120000,強風オールバック / 姫森ルーナ (cover),Cover,137,2024-01-04T12:00:10Z,Thursday,Winter,367498,26209,620,0.07300447893593978
vTubers,UCa9Y57gfeY0Zro_noHRVrnw,1120000,シンデレラ / 姫森ルーナ (cover),Cover,157,2023-12-02T13:00:11Z,Saturday,Winter,285362,16853,395,0.060442525634106854
vTubers,UCa9Y57gfeY0Zro_noHRVrnw,1120000,【original】まんなかちてん【姫森ルーナ/ホロライブ】,MV,233,2023-10-10T12:15:09Z,Tuesday,Fall,397100,21040,625,0.05455804583228406
vTubers,UCa9Y57gfeY0Zro_noHRVrnw,1120000,【original】絶対忠誠♡なのなのら！【姫森ルーナ/ホロライブ】,MV,267,2022-07-23T12:00:15Z,Saturday,Summer,761169,34603,704,0.04638523113789447
