style,channelId,channelSubs,title,type,duration_sec,publishedAt,dayOfWeek,season,views,likes,comments,engagment
vTubers,UC-hM6YJuNYVAmUWxeIr9FeA,2420000,さくらみこ1st Live “flower fantasista!”ダイジェスト映像,Live,413,2025-05-30T12:10:06Z,Friday,Spring,203034,13598,774,0.07078617374429899
vTubers,UC-hM6YJuNYVAmUWxeIr9FeA,2420000,【MV】Re:flection / さくらみこ,MV,231,2025-03-05T13:05:08Z,Wednesday,Spring,579957,32874,1068,0.05852502857970505
vTubers,UC-hM6YJuNYVAmUWxeIr9FeA,2420000,【MV】みっころね×しょうたいむ!! / さくらみこ&戌神ころね (official),MV,299,2025-01-01T12:00:06Z,Wednesday,Winter,308356,20740,455,0.06873548755334744
vTubers,UC-hM6YJuNYVAmUWxeIr9FeA,2420000,【Animation MV】flower rhapsody / さくらみこ (official),MV,265,2024-10-26T13:00:08Z,Saturday,Fall,4511017,114995,7662,0.027190542620433484
vTubers,UC-hM6YJuNYVAmUWxeIr9FeA,2420000,【MV】1135 / さくらみこ (official),MV,246,2024-10-19T02:34:08Z,Saturday,Fall,1467265,50428,1920,0.03567726348001213
vTubers,UC-hM6YJuNYVAmUWxeIr9FeA,2420000,【MV】さくらんぼメッセージ / さくらみこ (official),MV,195,2024-10-04T12:00:26Z,Friday,Fall,1525271,48257,1200,0.0324250575799317
vTubers,UC-hM6YJuNYVAmUWxeIr9FeA,2420000,【MV】 SUNAO / さくらみこ (official),MV,251,2024-09-24T13:00:34Z,Tuesday,Fall,1225941,43669,1766,0.03706132676858022
vTubers,UC-hM6YJuNYVAmUWxeIr9FeA,2420000,【MV】イケ贄  / さくらみこ  (official),MV,243,2024-08-01T14:00:06Z,Thursday,Summer,2437207,74271,2716,0.03158820732092104
vTubers,UC-hM6YJuNYVAmUWxeIr9FeA,2420000,【MV】 DAIDAIDAIファンタジスタ／さくらみこ（official）,MV,230,2024-07-21T12:05:06Z,Sunday,Summer,4284806,82616,3078,0.019999505228474754
vTubers,UC-hM6YJuNYVAmUWxeIr9FeA,2420000,【MV】 Sakura Day's / さくらみこ (official),MV,321,2024-05-29T11:05:23Z,Wednesday,Spring,759456,33390,1304,0.045682699195213415
vTubers,UC-hM6YJuNYVAmUWxeIr9FeA,2420000,【MV】にゃっはろーわーるど!!! / さくらみこ (official),MV,202,2024-04-09T13:15:06Z,Tuesday,Spring,2554353,55205,2607,0.022632737135392014
vTubers,UC-hM6YJuNYVAmUWxeIr9FeA,2420000,【MV】きゅんきゅんみこきゅんきゅん♡ / さくらみこ (official),MV,224,2024-03-05T13:00:09Z,Tuesday,Spring,4664654,87509,3028,0.019409156606256327
vTubers,UC-hM6YJuNYVAmUWxeIr9FeA,2420000,ハピチョコ / covered by さくらみこ×宝鐘マリン×天音かなた×沙花叉クロヱ×姫森ルーナ,Cover,241,2024-02-14T12:00:08Z,Wednesday,Winter,1246154,37074,721,0.030329317243294168
vTubers,UC-hM6YJuNYVAmUWxeIr9FeA,2420000,ray / covered by ホロライブ0期生,Cover,303,2024-01-21T13:00:09Z,Sunday,Winter,8070466,109323,2922,0.01390811881247006
vTubers,UC-hM6YJuNYVAmUWxeIr9FeA,2420000,アイドル / miComet (cover),Cover,214,2023-08-31T11:00:12Z,Thursday,Summer,5851278,137780,2467,0.02396860993444509
vTubers,UC-hM6YJuNYVAmUWxeIr9FeA,2420000,【MV】アワーツリー / さくらみこ (official),MV,231,2023-08-01T13:10:12Z,Tuesday,Summer,1605664,54008,2675,0.03530190625186839
vTubers,UC-hM6YJuNYVAmUWxeIr9FeA,2420000,強風オールバック / さくらみこ(Cover),Cover,137,2023-05-05T14:00:14Z,Friday,Spring,12029768,239281,6902,0.020464484435610063
vTubers,UC-hM6YJuNYVAmUWxeIr9FeA,2420000,【holo*27 MV】さくらみこ x 兎田ぺこら - モッシュレース【ホロライブ x DECO*27】,MV,200,2023-01-27T10:00:08Z,Friday,Winter,2505755,86859,2805,0.03578322701141971
vTubers,UC-hM6YJuNYVAmUWxeIr9FeA,2420000,【MV】ベイビーダンス  / さくらみこ x DECO*27 (official),MV,188,2022-08-01T13:20:13Z,Monday,Summer,2122819,64206,1660,0.031027609984647774
vTubers,UC-hM6YJuNYVAmUWxeIr9FeA,2420000,【 推しカメラ 】惑星ループ / さくらみこ Dance ver. #さくらみこ生誕祭 バーチャル3Dライブ 2022【ホロライブ/さくらみこ】,Dance,208,2022-03-15T07:30:06Z,Tuesday,Spring,1072306,37510,1354,0.036243385749963164
vTubers,UC-hM6YJuNYVAmUWxeIr9FeA,2420000,ダーリンダンス / さくらみこ(cover),Cover,208,2022-03-09T11:00:13Z,Wednesday,Spring,4055757,79910,1170,0.0199913357728286
vTubers,UC-hM6YJuNYVAmUWxeIr9FeA,2420000,花月ノ夢 / さくらみこ  (official),MV,227,2021-08-28T12:30:12Z,Saturday,Summer,1750939,55948,1404,0.03275499603355685
vTubers,UC-hM6YJuNYVAmUWxeIr9FeA,2420000,みこちがやってきたぞっ - アカリがやってきたぞっ /  さくらみこ (Cover),Cover,304,2021-07-05T11:00:09Z,Monday,Summer,3310596,119568,3748,0.03724888207440594
vTubers,UC-hM6YJuNYVAmUWxeIr9FeA,2420000,【MV】サクラカゼ / さくらみこ (official),MV,231,2020-03-27T11:00:12Z,Friday,Spring,4739168,111946,3697,0.024401540523568695
vTubers,UC-hM6YJuNYVAmUWxeIr9FeA,2420000,【新衣装で】DECO*27 - 愛言葉Ⅲ feat. 初音ミク/covered by さくらみこ【4K/歌ってみた】,Cover,249,2020-01-01T11:00:12Z,Wednesday,Winter,2853786,75726,1921,0.027208417169332248
vTubers,UC-hM6YJuNYVAmUWxeIr9FeA,2420000,【1周年記念】ユキトキ 歌ってみた 【オリジナルMV/4K】さくらみこ cover.,MV,267,2019-08-03T13:27:45Z,Saturday,Summer,635185,18181,662,0.029665373080283698
vTubers,UC-hM6YJuNYVAmUWxeIr9FeA,2420000,【MV】マイネームイズエリート☆ / さくらみこ (official),MV,235,2019-02-26T11:58:45Z,Tuesday,Winter,1881514,49600,1247,0.027024513237743648
