style,channelId,channelSubs,title,type,duration_sec,publishedAt,dayOfWeek,season,views,likes,comments,engagment
vTubers,UCp-5t9SrOQwXMU7iIjQfARg,1310000,天ノ弱 / 大神ミオ(cover.),Cover,187,2025-08-02T10:00:06Z,Saturday,Summer,315107,22104,520,0.07179783375170974
vTubers,UCp-5t9SrOQwXMU7iIjQfARg,1310000,夏宿り / 大神ミオ (official),MV,193,2025-06-28T12:05:06Z,Saturday,Summer,208943,16735,414,0.08207501567413122
vTubers,UCp-5t9SrOQwXMU7iIjQfARg,1310000,たんぽぽ/ 大神ミオ (official),MV,194,2025-05-04T10:10:06Z,Sunday,Spring,352442,20653,441,0.05985098257301911
vTubers,UCp-5t9SrOQwXMU7iIjQfARg,1310000,怪獣の花唄 / 大神ミオ cover.,Cover,225,2025-04-29T11:15:06Z,Tuesday,Spring,1196466,34089,695,0.02907228454465066
vTubers,UCp-5t9SrOQwXMU7iIjQfARg,1310000,ずうっといっしょ！ / 大神ミオ cover.,Cover,186,2025-03-22T09:30:06Z,Saturday,Spring,633964,21033,365,0.033752705200926235
vTubers,UCp-5t9SrOQwXMU7iIjQfARg,1310000,Colorful Universe / 大神ミオ (official),MV,174,2025-01-26T11:00:06Z,Sunday,Winter,603310,21348,495,0.036205267607034526
vTubers,UCp-5t9SrOQwXMU7iIjQfARg,1310000,オルターガーデン / 大神ミオ cover.,Cover,211,2025-01-21T10:00:06Z,Tuesday,Winter,728497,17486,287,0.02439680602665488
vTubers,UCp-5t9SrOQwXMU7iIjQfARg,1310000,不純矛盾 / いろはにほへっとあやふぶみver,Cover,183,2024-12-21T12:05:21Z,Saturday,Winter,473736,19463,235,0.04158012057348397
vTubers,UCp-5t9SrOQwXMU7iIjQfARg,1310000,ラビットホール / 大神ミオ cover.,Cover,164,2024-10-30T11:30:26Z,Wednesday,Fall,822173,32711,539,0.04044161022071997
vTubers,UCp-5t9SrOQwXMU7iIjQfARg,1310000,小心旅行 / 大神ミオ (official),MV,203,2024-08-20T12:00:07Z,Tuesday,Summer,456087,23376,548,0.05245490443709205
vTubers,UCp-5t9SrOQwXMU7iIjQfARg,1310000,神っぽいな / 大神ミオcover.,Cover,210,2024-07-09T11:00:07Z,Tuesday,Summer,521789,26073,494,0.05091521668720498
vTubers,UCp-5t9SrOQwXMU7iIjQfARg,1310000,astro / 大神ミオcover,Cover,255,2024-06-30T10:00:06Z,Sunday,Summer,398027,21844,471,0.05606403585686398
vTubers,UCp-5t9SrOQwXMU7iIjQfARg,1310000,KING / 大神ミオ cover.,Cover,137,2024-03-31T23:30:07Z,Sunday,Spring,940853,35191,740,0.03818981286130777
vTubers,UCp-5t9SrOQwXMU7iIjQfARg,1310000,ナイトループ / 大神ミオ (official),MV,190,2023-12-07T13:00:11Z,Thursday,Winter,1336662,27702,455,0.021065160825997895
vTubers,UCp-5t9SrOQwXMU7iIjQfARg,1310000,カメリア / 大神ミオ (Original),MV,284,2023-11-23T11:30:10Z,Thursday,Fall,455203,22697,547,0.051062932362045066
vTubers,UCp-5t9SrOQwXMU7iIjQfARg,1310000,死んだ！ /  泥棒建設(cover),Cover,224,2023-10-31T09:00:10Z,Tuesday,Fall,2377679,51920,744,0.022149331343717972
vTubers,UCp-5t9SrOQwXMU7iIjQfARg,1310000,夜明けのメロウ / 大神ミオ (Original),MV,200,2023-08-20T12:00:07Z,Sunday,Summer,475582,23435,575,0.05048551038517017
vTubers,UCp-5t9SrOQwXMU7iIjQfARg,1310000,永遠の銀 / 大神ミオ Cover.,Cover,247,2023-08-09T11:15:09Z,Wednesday,Summer,782276,21395,455,0.027931318358226508
vTubers,UCp-5t9SrOQwXMU7iIjQfARg,1310000,夜光通信 / 大神ミオ (Original),MV,219,2022-12-07T12:45:09Z,Wednesday,Winter,2168159,42061,820,0.01977760856099576
vTubers,UCp-5t9SrOQwXMU7iIjQfARg,1310000,サヨナラは、まだ / 大神ミオ  (Original),MV,246,2022-11-30T13:00:09Z,Wednesday,Fall,585673,21546,423,0.03751069282688463
vTubers,UCp-5t9SrOQwXMU7iIjQfARg,1310000,優しい彗星 / 大神ミオ cover,Cover,218,2022-10-28T11:00:09Z,Friday,Fall,1128774,29209,599,0.026407411935427286
vTubers,UCp-5t9SrOQwXMU7iIjQfARg,1310000,フォニイ / 大神ミオ(Cover),Cover,190,2022-04-24T08:00:13Z,Sunday,Spring,1253406,41784,667,0.03386851507013689
vTubers,UCp-5t9SrOQwXMU7iIjQfARg,1310000,白金ディスコ/大神ミオ(cover) -VARK LIVE version,Cover,264,2022-02-02T11:22:14Z,Wednesday,Winter,482967,19636,462,0.0416136092113954
vTubers,UCp-5t9SrOQwXMU7iIjQfARg,1310000,アニマル / 大神ミオ Cover,Cover,153,2021-12-27T09:00:30Z,Monday,Winter,2302843,58008,872,0.025568395240144464
vTubers,UCp-5t9SrOQwXMU7iIjQfARg,1310000,Monster - 嵐／OKFAMS cover.,Cover,272,2021-10-29T11:00:16Z,Friday,Fall,7235538,127121,2181,0.017870405766647897
vTubers,UCp-5t9SrOQwXMU7iIjQfARg,1310000,【Original MV】Howling【ホロライブ/大神ミオ】,MV,230,2021-08-20T13:30:11Z,Friday,Summer,6613758,111012,2366,0.0171427500068796
vTubers,UCp-5t9SrOQwXMU7iIjQfARg,1310000,「おとなの掟」　猫又おかゆ・大神ミオ(cover),Cover,210,2021-01-24T09:00:13Z,Sunday,Winter,2569764,64024,1381,0.025451753546240043
