style,channelId,channelSubs,title,type,duration_sec,publishedAt,dayOfWeek,season,views,likes,comments,engagment
vTubers,UCAWSyEs_Io8MtpY3m-zqILA,1300000,【 FORK ROAD 】夏休みだからぺこちゃん先輩からもらったホラゲする！【 桃鈴ねね / hololive 】,Live,313,2025-07-23T09:10:09Z,Wednesday,Summer,40781,3383,52,0.08423040141242245
vTubers,UCAWSyEs_Io8MtpY3m-zqILA,1300000,ビビデバ / 星街すいせい full covered by 桃鈴ねね,Cover,165,2025-05-10T09:00:06Z,Saturday,Spring,518672,34833,953,0.06899543449424685
vTubers,UCAWSyEs_Io8MtpY3m-zqILA,1300000,【original anime MV】LOVE受信、ヒクツ発信【 hololive/桃鈴ねね 】,MV,222,2025-03-02T11:50:06Z,Sunday,Spring,346636,26120,1038,0.07834731533943387
vTubers,UCAWSyEs_Io8MtpY3m-zqILA,1300000,テトリス / 重音テトSV  full covered by 桃鈴ねね,Cover,143,2025-02-04T10:00:06Z,Tuesday,Winter,669049,21964,367,0.03337722648116954
vTubers,UCAWSyEs_Io8MtpY3m-zqILA,1300000,ハオ / DECO*27  full covered by 桃鈴ねね,Cover,182,2025-01-31T12:00:06Z,Friday,Winter,264085,16840,324,0.06499422534411269
vTubers,UCAWSyEs_Io8MtpY3m-zqILA,1300000,エメラルドシティ / 西沢さんP full covered by 桃鈴ねね,Cover,256,2025-01-01T04:00:06Z,Wednesday,Winter,250188,11914,311,0.04886325483236606
vTubers,UCAWSyEs_Io8MtpY3m-zqILA,1300000,甘ったる / なきそ full covered by 桃鈴ねね,Cover,127,2024-12-06T09:00:06Z,Friday,Winter,246927,16500,453,0.06865591855082677
vTubers,UCAWSyEs_Io8MtpY3m-zqILA,1300000,はいよろこんで / こっちのけんと full covered by 桃鈴ねね,Cover,163,2024-11-12T12:55:06Z,Tuesday,Fall,2674918,66633,1233,0.025371245025081143
vTubers,UCAWSyEs_Io8MtpY3m-zqILA,1300000,嘘ミーム / 桃鈴ねね (cover) 【歌ってみた】,Cover,192,2024-07-05T14:00:06Z,Friday,Summer,613266,18774,406,0.03127517260047027
vTubers,UCAWSyEs_Io8MtpY3m-zqILA,1300000,テレキャスタービーボーイ / 桃鈴ねね (cover) 【歌ってみた】,Cover,165,2024-06-11T10:30:06Z,Tuesday,Summer,1290726,29277,453,0.02303354856104239
vTubers,UCAWSyEs_Io8MtpY3m-zqILA,1300000,Break Beat Bark! / 桃鈴ねね (cover) 【歌ってみた】,Cover,248,2024-05-07T09:00:07Z,Tuesday,Spring,357995,10797,256,0.03087473288733083
vTubers,UCAWSyEs_Io8MtpY3m-zqILA,1300000,いーあるふぁんくらぶ / 桃鈴ねね (cover) 【歌ってみた】,Cover,235,2024-03-02T12:05:07Z,Saturday,Spring,1725891,33914,628,0.02001401015475485
vTubers,UCAWSyEs_Io8MtpY3m-zqILA,1300000,太陽曰く燃えよカオス / 桃鈴ねね 雪花ラミィ 博衣こより Ceres Fauna (cover) 【歌ってみた】,Cover,232,2024-02-26T10:00:11Z,Monday,Winter,702959,16623,372,0.02417637444004558
vTubers,UCAWSyEs_Io8MtpY3m-zqILA,1300000,ANIMA / 桃鈴ねね 常闇トワ (cover) 【歌ってみた】,Cover,274,2024-02-04T10:00:11Z,Sunday,Winter,1263813,24566,310,0.019683291752814698
vTubers,UCAWSyEs_Io8MtpY3m-zqILA,1300000,新幹線でひたすら席蹴られるリンちゃん / 桃鈴ねね (cover) 【歌ってみた】,Cover,125,2024-01-27T11:00:10Z,Saturday,Winter,1961035,44199,1088,0.023093417506571786
vTubers,UCAWSyEs_Io8MtpY3m-zqILA,1300000,ひろがるスカイ！プリキュア ～Hero Girls～-3Dlive Remix ver-/Cover【桃鈴ねね/兎田ぺこら】#歌ってみた,Cover,270,2024-01-10T09:30:09Z,Wednesday,Winter,258045,13170,271,0.05208781414094441
vTubers,UCAWSyEs_Io8MtpY3m-zqILA,1300000,カワキヲアメク-3Dlive Remix ver-美波/Cover【桃鈴ねね/天音かなた】,Cover,263,2023-11-30T13:00:07Z,Thursday,Fall,159752,9401,164,0.05987405478491662
vTubers,UCAWSyEs_Io8MtpY3m-zqILA,1300000,ぽっぴっぽー / 桃鈴ねね (cover) 【歌ってみた】,Cover,182,2023-11-19T08:30:09Z,Sunday,Fall,1423026,53525,1648,0.03877160361089678
vTubers,UCAWSyEs_Io8MtpY3m-zqILA,1300000,【踊ってみた】ねねちのギラギラファンミーティング【 桃鈴ねね / hololive 】,Live,237,2023-11-18T09:45:07Z,Saturday,Fall,180691,10601,321,0.06044573332374053
vTubers,UCAWSyEs_Io8MtpY3m-zqILA,1300000,【original anime MV】ねねちのギラギラファンミーティング【 hololive/桃鈴ねね 】,MV,242,2023-11-11T13:15:13Z,Saturday,Fall,2977684,57387,1670,0.019833199224632298
vTubers,UCAWSyEs_Io8MtpY3m-zqILA,1300000,ebb and flow / 桃鈴ねね AZKi (cover) 【歌ってみた】,Cover,254,2023-08-13T12:10:07Z,Sunday,Summer,418499,16172,360,0.03950308124989546
vTubers,UCAWSyEs_Io8MtpY3m-zqILA,1300000,みちしるべ / 桃鈴ねね(original),MV,260,2023-06-10T12:05:11Z,Saturday,Summer,384861,21777,596,0.05813267647280447
vTubers,UCAWSyEs_Io8MtpY3m-zqILA,1300000,アイドル / 桃鈴ねね (cover) 推しの子 OP【歌ってみた】,Cover,213,2023-06-06T11:00:07Z,Tuesday,Summer,717624,35367,673,0.050221285798691236
vTubers,UCAWSyEs_Io8MtpY3m-zqILA,1300000,トウキョウ・シャンディ・ランデヴ / MAISONdes full covered by 桃鈴ねね【 歌ってみた 】,Cover,191,2023-04-11T11:15:06Z,Tuesday,Spring,1793962,45994,713,0.02603566853701472
vTubers,UCAWSyEs_Io8MtpY3m-zqILA,1300000,コングラッCHU☆マーチ / 桃鈴ねね（original）,MV,206,2023-03-28T12:15:07Z,Tuesday,Spring,323974,17232,440,0.05454758715205541
