style,channelId,channelSubs,title,type,duration_sec,publishedAt,dayOfWeek,season,views,likes,comments,engagment
vTubers,UCDqI2jOz0weumE8s7paEk6g,1110000,プロポーズ /ロボ子さん cover,Cover,236,2025-06-28T10:00:06Z,Saturday,Summer,201111,16484,798,0.08593264416168185
vTubers,UCDqI2jOz0weumE8s7paEk6g,1110000,【低音で】番傘持ってシャンティ歌って踊りました /ロボ子さん cover,Cover,162,2025-05-31T09:00:07Z,Saturday,Spring,168824,11786,484,0.072679239918495
vTubers,UCDqI2jOz0weumE8s7paEk6g,1110000,鬼ノ宴/ロボ子さん cover,Cover,177,2025-05-23T14:10:07Z,Friday,Spring,945386,42211,1185,0.04590294334800812
vTubers,UCDqI2jOz0weumE8s7paEk6g,1110000,メスガキ風に　みむかｩわナイストライ　covered by ロボ子さん,Cover,212,2025-03-01T08:00:06Z,Saturday,Spring,415356,26211,795,0.06501892352584289
vTubers,UCDqI2jOz0weumE8s7paEk6g,1110000,だいしきゅーだいしゅき /covered by kobo kanaeru ＆ Robocosan,Cover,213,2025-02-09T09:00:06Z,Sunday,Winter,339648,23375,807,0.0711972394950066
vTubers,UCDqI2jOz0weumE8s7paEk6g,1110000,食虫植物/沙花叉クロヱ・ロボ子さん COVER,Cover,160,2025-01-25T08:00:06Z,Saturday,Winter,317569,21216,420,0.06813007566859486
vTubers,UCDqI2jOz0weumE8s7paEk6g,1110000,あなぐらぐらし：ロボ子さん×赤井はあと cover,Cover,370,2024-12-28T09:00:06Z,Saturday,Winter,70807,8029,295,0.11755899840411259
vTubers,UCDqI2jOz0weumE8s7paEk6g,1110000,【アニメMV】with∅：Robocosan Original Song,MV,203,2024-10-19T12:00:07Z,Saturday,Fall,280885,21727,718,0.07990814746248465
vTubers,UCDqI2jOz0weumE8s7paEk6g,1110000,アザミナ：Robocosan Original Song,MV,246,2023-11-12T08:00:08Z,Sunday,Fall,538354,29837,818,0.0569420864338335
vTubers,UCDqI2jOz0weumE8s7paEk6g,1110000,glory days：Robocosan Original Song,MV,180,2023-05-23T13:15:07Z,Tuesday,Spring,280112,15016,505,0.05540997886559662
vTubers,UCDqI2jOz0weumE8s7paEk6g,1110000,【あざとく】可愛くてごめん/ロボ子さん【歌ってみた】,Cover,219,2023-02-04T10:00:11Z,Saturday,Winter,382067,21418,649,0.05775688557242578
vTubers,UCDqI2jOz0weumE8s7paEk6g,1110000,リルビ-little bit-：Robocosan Original Song,MV,199,2022-09-04T13:00:10Z,Sunday,Fall,2381388,65270,1400,0.027996277801013526
vTubers,UCDqI2jOz0weumE8s7paEk6g,1110000,【歌って踊ってみた】original 『リルビ-little bit-』　Robocosan　Live ver【ホロライブ】,Live,208,2022-06-01T08:00:02Z,Wednesday,Summer,782507,24649,507,0.03214795522595964
vTubers,UCDqI2jOz0weumE8s7paEk6g,1110000,【歌って踊ってみた】亡國覚醒カタルシス / ALI PROJECT  Cover Robocosan【ホロライブ】,Cover,274,2022-05-24T03:00:09Z,Tuesday,Spring,260598,11888,303,0.046780865547701826
vTubers,UCDqI2jOz0weumE8s7paEk6g,1110000,コトノハ：Robocosan Original Song,MV,270,2021-09-24T13:00:13Z,Friday,Fall,524981,30006,1135,0.059318337235061844
vTubers,UCDqI2jOz0weumE8s7paEk6g,1110000,ロボティックガール - robocosan cover,Cover,264,2021-08-07T08:00:12Z,Saturday,Summer,239888,14474,437,0.06215817381444674
vTubers,UCDqI2jOz0weumE8s7paEk6g,1110000,てんしょうしょうてんしょう/ロボ子さん(Live cover),Live,312,2021-06-10T11:00:10Z,Thursday,Summer,92289,7545,338,0.08541646350052552
vTubers,UCDqI2jOz0weumE8s7paEk6g,1110000,裏方とタレントで『 動く、動く 』歌ってみた/ covered by ロボビタンA,Cover,281,2021-05-29T09:00:12Z,Saturday,Spring,901269,56696,2727,0.0659325906028056
vTubers,UCDqI2jOz0weumE8s7paEk6g,1110000,小悪魔的に『 エンヴィーベイビー 』歌ってみた/ covered by ロボ子さん,Cover,136,2021-05-22T15:15:16Z,Saturday,Spring,512703,31576,1344,0.06420871342668172
vTubers,UCDqI2jOz0weumE8s7paEk6g,1110000,【Re：ゼロED】『Stay Alive』ロボ子さん(VARK LIVE version）- Cinderella switch ～ふたりでみるホロライブ～ vol.2 より,Live,282,2021-04-26T03:00:20Z,Monday,Spring,86796,9787,705,0.12088114659661736
vTubers,UCDqI2jOz0weumE8s7paEk6g,1110000,１人でベイビー・アイラブユー/ covered by ロボ子さん,Cover,231,2021-02-16T14:47:46Z,Tuesday,Winter,101351,6587,561,0.0705271778275498
vTubers,UCDqI2jOz0weumE8s7paEk6g,1110000,【#あんぽんたん姉妹】Crazy Party Night ～ぱんぷきんの逆襲～【歌ってみた】,Cover,258,2020-10-31T06:15:11Z,Saturday,Fall,275291,16212,489,0.060666712678583756
vTubers,UCDqI2jOz0weumE8s7paEk6g,1110000,小悪魔的に『 KING 』歌ってみた/ covered by ロボ子さん,Cover,137,2020-09-19T07:00:09Z,Saturday,Fall,2931695,94211,4216,0.03357341060376335
vTubers,UCDqI2jOz0weumE8s7paEk6g,1110000,ボッカデラベリタ/ covered by ロボ子さん,Cover,201,2020-07-07T09:00:11Z,Tuesday,Summer,928678,30119,980,0.03348738744753294
vTubers,UCDqI2jOz0weumE8s7paEk6g,1110000,【誕生日に】バーモント・キッス/相対性理論 (K's Remix) - feat. ロボ子さん【歌ってみた】,Cover,343,2020-05-23T10:00:11Z,Saturday,Spring,475877,15493,662,0.03394784786825167
