style,channelId,channelSubs,title,type,duration_sec,publishedAt,dayOfWeek,season,views,likes,comments,engagment
vTubers,UC1uv2Oq6kNxgATlCiez59hw,1540000,ChewyChewy / 常闇トワ (official),MV,202,2025-08-08T11:50:06Z,Friday,Summer,207305,29455,734,0.14562600998528738
vTubers,UC1uv2Oq6kNxgATlCiez59hw,1540000,バズビバザヴ / 常闇トワ (official),MV,221,2025-06-19T10:45:06Z,Thursday,Summer,679395,34705,1095,0.05269394093274163
vTubers,UC1uv2Oq6kNxgATlCiez59hw,1540000,mumei / 常闇トワ(cover),Cover,263,2025-05-20T11:10:06Z,Tuesday,Spring,1058559,73710,3572,0.073006795086528
vTubers,UC1uv2Oq6kNxgATlCiez59hw,1540000,Bunny Girl / 常闇トワ(cover),Cover,217,2025-04-01T11:00:06Z,Tuesday,Spring,1665805,62012,1244,0.03797323216102725
vTubers,UC1uv2Oq6kNxgATlCiez59hw,1540000,My Abyss / 常闇トワ (official),MV,233,2025-03-01T10:00:06Z,Saturday,Spring,715778,39349,810,0.056105384630430105
vTubers,UC1uv2Oq6kNxgATlCiez59hw,1540000,晩餐歌 / 常闇トワ × 大神ミオ (cover),Cover,220,2024-10-28T09:00:06Z,Monday,Fall,3195447,56842,823,0.018045988558095315
vTubers,UC1uv2Oq6kNxgATlCiez59hw,1540000,点描の唄 / 常闇トワ × Cpt (cover),Cover,308,2024-09-26T10:00:22Z,Thursday,Fall,1840703,46916,1147,0.026111219463433265
vTubers,UC1uv2Oq6kNxgATlCiez59hw,1540000,インテグラル / Startend (cover),Cover,279,2024-08-27T10:30:06Z,Tuesday,Summer,1712935,57069,1799,0.03436674479767183
vTubers,UC1uv2Oq6kNxgATlCiez59hw,1540000,月を見ていた / 常闇トワ(cover),Cover,252,2024-08-01T14:00:06Z,Thursday,Summer,550412,23069,448,0.04272617602813892
vTubers,UC1uv2Oq6kNxgATlCiez59hw,1540000,ホワイトノイズ / 常闇トワ(cover),Cover,256,2024-06-23T04:30:07Z,Sunday,Summer,1433142,36966,770,0.026330956737015593
vTubers,UC1uv2Oq6kNxgATlCiez59hw,1540000,ゴーストルール / 常闇トワ × 不知火フレア(cover),Cover,208,2024-03-08T11:00:07Z,Friday,Spring,2539261,48578,789,0.019441483171678688
vTubers,UC1uv2Oq6kNxgATlCiez59hw,1540000,二人三脚 feat.猫汰つな / 常闇トワ(official),MV,277,2023-12-25T11:00:07Z,Monday,Winter,1296729,34731,729,0.02734572913847072
vTubers,UC1uv2Oq6kNxgATlCiez59hw,1540000,"オトナブルー / 常闇トワ feat, Hololive ID 2nd generation (cover)",Cover,189,2023-11-26T11:00:12Z,Sunday,Fall,1091890,47027,662,0.043675644982553184
vTubers,UC1uv2Oq6kNxgATlCiez59hw,1540000,怪獣の花唄 / 常闇トワ (cover),Cover,223,2023-10-28T10:00:09Z,Saturday,Fall,5552489,75314,1225,0.013784628839426787
vTubers,UC1uv2Oq6kNxgATlCiez59hw,1540000,Antares / 常闇トワ(official),MV,233,2023-10-11T11:00:09Z,Wednesday,Fall,1781155,52307,1104,0.029986722098862818
vTubers,UC1uv2Oq6kNxgATlCiez59hw,1540000,Twilight / 常闇トワ(official),MV,125,2023-09-26T12:10:07Z,Tuesday,Fall,503568,21299,378,0.0430468179074127
vTubers,UC1uv2Oq6kNxgATlCiez59hw,1540000,サンビタリア / 常闇トワ(official),MV,297,2023-08-08T11:45:08Z,Tuesday,Summer,2814628,52925,1271,0.019255120037177203
vTubers,UC1uv2Oq6kNxgATlCiez59hw,1540000,ANEMONE / 常闇トワ(official),MV,198,2023-07-23T12:00:11Z,Sunday,Summer,2005460,55270,1211,0.028163613335593828
vTubers,UC1uv2Oq6kNxgATlCiez59hw,1540000,ラヴィ(Lavie) / 常闇トワ (cover),Cover,181,2023-07-19T11:55:12Z,Wednesday,Summer,4716166,68749,987,0.014786587240567868
vTubers,UC1uv2Oq6kNxgATlCiez59hw,1540000,アイデンティティ / 常闇トワ × Hakos Baelz(cover),Cover,156,2023-06-19T11:00:10Z,Monday,Summer,1892010,51009,705,0.027332836507206623
vTubers,UC1uv2Oq6kNxgATlCiez59hw,1540000,W/X/Y / 常闇トワ(cover),Cover,277,2023-05-13T09:00:10Z,Saturday,Spring,8391569,91888,1799,0.011164419907647783
