style,channelId,channelSubs,title,type,duration_sec,publishedAt,dayOfWeek,season,views,likes,comments,engagment
vTubers,UCqm3BQLlJfvkTsX_hvm0UmA,1680000,はいよろこんで  / 角巻わため(Cover),Cover,163,2025-07-03T10:00:06Z,Thursday,Summer,481460,27058,642,0.05753333610268766
vTubers,UCqm3BQLlJfvkTsX_hvm0UmA,1680000,ビリ／角巻わため【original】,MV,226,2025-06-06T13:00:07Z,Friday,Summer,1016438,41448,1085,0.04184514943361031
vTubers,UCqm3BQLlJfvkTsX_hvm0UmA,1680000,コぇちっちゃ＜てゴ×ンネ  / 角巻わため(Cover),Cover,180,2025-04-24T10:00:06Z,Thursday,Spring,997954,34754,697,0.03552368145225131
vTubers,UCqm3BQLlJfvkTsX_hvm0UmA,1680000,ラムダック / 角巻わため×大空スバル【original】,MV,168,2025-04-01T12:00:06Z,Tuesday,Spring,643902,30196,693,0.0479715857382024
vTubers,UCqm3BQLlJfvkTsX_hvm0UmA,1680000,ココロのちず / 鷹嶺ルイ×一ノ瀬うるは×角巻わため×笹木咲×白上フブキ (Cover),Cover,265,2025-03-23T10:00:07Z,Sunday,Spring,1712969,40132,1033,0.024031374765100828
vTubers,UCqm3BQLlJfvkTsX_hvm0UmA,1680000,WataAme Pop／角巻わため【original】,MV,194,2025-02-01T14:00:07Z,Saturday,Winter,741797,41840,889,0.057602012410403386
vTubers,UCqm3BQLlJfvkTsX_hvm0UmA,1680000,Our step／角巻わため【original】,MV,233,2025-01-05T11:55:06Z,Sunday,Winter,498764,23195,723,0.04795454363185795
vTubers,UCqm3BQLlJfvkTsX_hvm0UmA,1680000,ねぇねぇねぇ。 / 角巻わため×大空スバル(Cover),Cover,211,2024-11-08T09:30:06Z,Friday,Fall,912109,28840,650,0.03233166211494459
vTubers,UCqm3BQLlJfvkTsX_hvm0UmA,1680000,シャンティ(SHANTI)  / 角巻わため(Cover),Cover,166,2024-09-30T10:00:33Z,Monday,Fall,1138748,39285,752,0.03515878842377769
vTubers,UCqm3BQLlJfvkTsX_hvm0UmA,1680000,ひつじがいっぴき / 角巻わため(Cover),Cover,184,2024-09-02T10:00:07Z,Monday,Fall,381219,17054,335,0.04561420076124222
vTubers,UCqm3BQLlJfvkTsX_hvm0UmA,1680000,Revival／角巻わため【original】,MV,255,2024-06-06T13:05:07Z,Thursday,Summer,745183,35309,1013,0.04874238945332891
vTubers,UCqm3BQLlJfvkTsX_hvm0UmA,1680000,ホロライブ言えるかな？hololive SUPER EXPO 2024 全部わためver.,Cover,235,2024-05-04T13:00:08Z,Saturday,Spring,811468,29270,700,0.0369330645201043
vTubers,UCqm3BQLlJfvkTsX_hvm0UmA,1680000,鯨 / 角巻わため(Cover),Cover,280,2024-03-18T10:00:08Z,Monday,Spring,987872,26341,562,0.027233285283923422
vTubers,UCqm3BQLlJfvkTsX_hvm0UmA,1680000,WataMeister／角巻わため【original】,MV,252,2024-01-21T10:00:09Z,Sunday,Winter,510683,20656,494,0.041415124450980355
vTubers,UCqm3BQLlJfvkTsX_hvm0UmA,1680000,Now on step／角巻わため【original】,MV,238,2023-12-29T13:00:10Z,Friday,Winter,1170695,30052,628,0.026206655021162643
vTubers,UCqm3BQLlJfvkTsX_hvm0UmA,1680000,【Animation MV】 What an amazing swing /角巻わため【original】,MV,199,2023-11-05T12:00:08Z,Sunday,Fall,10512945,187235,4494,0.018237420627616713
vTubers,UCqm3BQLlJfvkTsX_hvm0UmA,1680000,PAKU / 角巻わため×獅白ぼたん(Cover),Cover,132,2023-08-21T12:00:07Z,Monday,Summer,1243966,34029,443,0.0277113683171405
vTubers,UCqm3BQLlJfvkTsX_hvm0UmA,1680000,強風オールバック / 角巻わため×しぐれうい(Cover),Cover,137,2023-07-27T12:00:08Z,Thursday,Summer,2072238,73777,1254,0.03620771359274369
vTubers,UCqm3BQLlJfvkTsX_hvm0UmA,1680000,ECHO (Yunosuke Remix) / 角巻わため(Cover),Cover,180,2023-07-01T09:30:11Z,Saturday,Summer,1249756,35485,694,0.02894885081567922
vTubers,UCqm3BQLlJfvkTsX_hvm0UmA,1680000,Fins／角巻わため【original】,MV,300,2023-06-06T13:00:11Z,Tuesday,Summer,1096264,49408,1445,0.046387548984551163
vTubers,UCqm3BQLlJfvkTsX_hvm0UmA,1680000,トウキョウ・シャンディ・ランデヴ  / 角巻わため(Cover),Cover,184,2023-05-13T10:00:11Z,Saturday,Spring,1197040,31157,545,0.02648365969391165
vTubers,UCqm3BQLlJfvkTsX_hvm0UmA,1680000,アイウエ / 角巻わため(Cover),Cover,223,2023-03-17T10:00:06Z,Friday,Spring,582037,16783,342,0.029422528121064467
vTubers,UCqm3BQLlJfvkTsX_hvm0UmA,1680000,チノカテ / 角巻わため(Cover),Cover,249,2022-11-17T10:00:08Z,Thursday,Fall,458847,19009,366,0.04222540411073844
vTubers,UCqm3BQLlJfvkTsX_hvm0UmA,1680000,ベノム / 角巻わため(Cover),Cover,204,2022-10-30T10:00:09Z,Sunday,Fall,1786005,43137,523,0.02444562025302281
vTubers,UCqm3BQLlJfvkTsX_hvm0UmA,1680000,Reaper vs. Sheep -Kenko ver.- 角巻わため x Mori Calliope【original】,MV,204,2022-09-23T14:05:12Z,Friday,Fall,866044,45666,835,0.05369357676977151
vTubers,UCqm3BQLlJfvkTsX_hvm0UmA,1680000,HOLLOW HUNGER / 角巻わため(Cover),Cover,224,2022-09-20T10:00:09Z,Tuesday,Fall,2614829,72225,1629,0.028244294368771343
vTubers,UCqm3BQLlJfvkTsX_hvm0UmA,1680000,[A]ddiction / 角巻わため(Cover),Cover,196,2022-09-06T10:00:13Z,Tuesday,Fall,2306674,58028,1025,0.025600930170453215
