style,channelId,channelSubs,title,type,duration_sec,publishedAt,dayOfWeek,season,views,likes,comments,engagment
vTubers,UCJFZiqLMntJufDCHc6bQixg,2850000,【#holonatsuparadise 】メインテーマ『藍染サマータイム!!』MV,MV,173,2025-07-26T13:30:06Z,Saturday,Summer,178423,18886,520,0.10876400464065732
vTubers,UCJFZiqLMntJufDCHc6bQixg,2850000,【 MV 】To Be Continued.... 【 白上フブキ/大神ミオ/猫又おかゆ/戌神ころね 】,MV,230,2025-07-02T11:00:06Z,Wednesday,Summer,368975,25285,605,0.07016735551189104
vTubers,UCJFZiqLMntJufDCHc6bQixg,2850000,【#hololiveSTAGE25】LIVE IT LOUD! MV【hololive STAGE World Tour ’25 -Synchronize!- Original Song】,MV,231,2025-06-25T04:00:05Z,Wednesday,Summer,222323,18580,414,0.08543425556510123
vTubers,UCJFZiqLMntJufDCHc6bQixg,2850000,電脳ぴゅあ推し大宣言 / ホロライブ1期生（Original）,MV,179,2025-06-01T12:15:06Z,Sunday,Summer,279543,20063,438,0.0733375545086087
vTubers,UCJFZiqLMntJufDCHc6bQixg,2850000,ムーンライト伝説 / 魔法少女ホロウィッチ！(cover) 【天音かなた・さくらみこ・姫森ルーナ・宝鐘マリン・白上フブキ・雪花ラミィ】,Cover,172,2025-05-16T12:00:06Z,Friday,Spring,1036221,38621,1079,0.03831229052489768
vTubers,UCJFZiqLMntJufDCHc6bQixg,2850000,【cover】サマータイムレコード/ 秘密結社holoX【#SSholoX】,Cover,276,2025-01-26T14:00:26Z,Sunday,Winter,1299019,58568,3241,0.04758129018898107
vTubers,UCJFZiqLMntJufDCHc6bQixg,2850000,【MV】雨トキメキ恋模様 / いろはにほへっと あやふぶみ【リリース記念グッズ発売中！】,MV,220,2025-01-10T11:00:06Z,Friday,Winter,2020746,50412,1673,0.025775134529525234
vTubers,UCJFZiqLMntJufDCHc6bQixg,2850000,【MV】暁光クロニクル / 秘密結社holoX【#SSholoX】,MV,247,2024-11-18T11:50:06Z,Monday,Fall,911342,45925,1584,0.052130813679167644
vTubers,UCJFZiqLMntJufDCHc6bQixg,2850000,【MV】On your side ／ 魔法少女ホロウィッチ！【 天音かなた・さくらみこ・姫森ルーナ・宝鐘マリン・紫咲シオン・沙花叉クロヱ 】,MV,227,2024-08-24T12:00:06Z,Saturday,Summer,352574,22291,262,0.0639667133708101
vTubers,UCJFZiqLMntJufDCHc6bQixg,2850000,おジャ魔女カーニバル!! / 魔法少女ホロウィッチ！(cover) 【天音かなた・さくらみこ・姫森ルーナ・宝鐘マリン・紫咲シオン・沙花叉クロヱ】,Cover,217,2024-08-18T09:05:07Z,Sunday,Summer,3685599,68367,1653,0.01899826866677574
vTubers,UCJFZiqLMntJufDCHc6bQixg,2850000,【 MV 】BLUE CLAPPER 【 桃鈴ねね/尾丸ポルカ/雪花ラミィ/獅白ぼたん 】,MV,250,2024-08-17T10:00:08Z,Saturday,Summer,699464,42508,1075,0.062309139569727674
vTubers,UCJFZiqLMntJufDCHc6bQixg,2850000,【MV】ちょ～ゆめドデッカい！ / 秘密結社holoX【#SSholoX】,MV,194,2024-07-12T12:00:08Z,Friday,Summer,206442,13870,374,0.06899758770017729
vTubers,UCJFZiqLMntJufDCHc6bQixg,2850000,Secret Garden / ホロライブ1期生（Original）,MV,242,2024-06-01T13:15:07Z,Saturday,Summer,755515,42053,1373,0.05747867348762103
vTubers,UCJFZiqLMntJufDCHc6bQixg,2850000,【 MV 】We are GAMERS !!!! 【 白上フブキ/大神ミオ/猫又おかゆ/戌神ころね 】,MV,270,2024-05-28T11:00:07Z,Tuesday,Spring,1677523,60183,1531,0.036788765340326185
vTubers,UCJFZiqLMntJufDCHc6bQixg,2850000,【 MV 】REALITY FANTASY / HOLOLIVE FANTASY (兎田ぺこら/不知火フレア/白銀ノエル/宝鐘マリン) 【 #HOLOLIVEFANTASY 】,MV,212,2024-03-30T12:30:08Z,Saturday,Spring,614999,33630,856,0.056074887926647034
vTubers,UCJFZiqLMntJufDCHc6bQixg,2850000,【 MV 】ピパポ☆ピピプ 【 宝鐘マリン/白上フブキ 】,MV,189,2024-03-22T07:30:02Z,Friday,Spring,350762,15742,337,0.04584019933744248
vTubers,UCJFZiqLMntJufDCHc6bQixg,2850000,【MV】motto☆いちごオレ／さくらみこ（hololive × HoneyWorks）【#ホロハニ Cover】,MV,222,2024-03-14T12:00:07Z,Thursday,Spring,569399,29437,600,0.0527521123149145
vTubers,UCJFZiqLMntJufDCHc6bQixg,2850000,ホロライブ言えるかな？hololive SUPER EXPO 2024 ver.,Cover,236,2024-03-13T13:00:07Z,Wednesday,Spring,5759898,139835,4264,0.025017630520540467
vTubers,UCJFZiqLMntJufDCHc6bQixg,2850000,【新ボイス発表】hololive Islandボイス ～side ホロライブ～,Live,123,2024-03-13T09:30:07Z,Wednesday,Spring,62968,5948,96,0.09598526235548215
vTubers,UCJFZiqLMntJufDCHc6bQixg,2850000,【MV】教室に青／星街すいせい（hololive × HoneyWorks）【#ホロハニ Original】,MV,251,2024-02-28T12:00:11Z,Wednesday,Winter,1454518,64870,1477,0.04561442347224304
vTubers,UCJFZiqLMntJufDCHc6bQixg,2850000,【MV】同担☆拒否／桃鈴ねね（hololive × HoneyWorks）【#ホロハニ cover】,MV,256,2024-02-19T12:00:11Z,Monday,Winter,493838,25011,368,0.05139134695993423
vTubers,UCJFZiqLMntJufDCHc6bQixg,2850000,【MV】リア充★撲滅運動／紫咲シオン（hololive × HoneyWorks）【#ホロハニ Original】,MV,195,2024-01-12T11:50:10Z,Friday,Winter,1434282,45003,916,0.03201532195202896
vTubers,UCJFZiqLMntJufDCHc6bQixg,2850000,【XFD】hololive × HoneyWorks 1st Album 『ほろはにヶ丘高校 -Originals- 』,MV,166,2023-12-31T15:31:03Z,Sunday,Winter,256382,10954,186,0.04345078827686811
vTubers,UCJFZiqLMntJufDCHc6bQixg,2850000,【XFD】hololive × HoneyWorks 1st Album 『ほろはにヶ丘高校 -Covers- 』,Cover,172,2023-12-31T15:31:01Z,Sunday,Winter,178425,7475,129,0.042617346223903604
vTubers,UCJFZiqLMntJufDCHc6bQixg,2850000,【MV】ブライダルドリーム／兎田ぺこら・宝鐘マリン（hololive × HoneyWorks）【#ホロハニ Original】,MV,198,2023-12-15T13:00:09Z,Friday,Winter,4465050,113143,4083,0.026254129293065028
