style,channelId,channelSubs,title,type,duration_sec,publishedAt,dayOfWeek,season,views,likes,comments,engagment
vTubers,UCvInZx9h3jC2JzsIzoOebWg,1130000,架空と本当/不知火フレア(official),MV,154,2025-08-07T13:00:06Z,Thursday,Summer,40459,8846,342,0.22709409525692675
vTubers,UCvInZx9h3jC2JzsIzoOebWg,1130000,【original anime MV】薄明光線/不知火フレア(official),MV,258,2025-04-02T13:05:06Z,Wednesday,Spring,193299,17762,461,0.09427363824955122
vTubers,UCvInZx9h3jC2JzsIzoOebWg,1130000,【original MV】青く在れ/不知火フレア＆IRyS (official),MV,229,2025-03-26T13:00:06Z,Wednesday,Spring,189973,14731,400,0.07964816052807504
vTubers,UCvInZx9h3jC2JzsIzoOebWg,1130000,【original MV】マーブル冴える/不知火フレア(official),MV,247,2024-08-07T13:00:07Z,Wednesday,Summer,209162,15435,298,0.07521920807794914
vTubers,UCvInZx9h3jC2JzsIzoOebWg,1130000,【original anime MV】スクラップ&ビルド！/不知火建設(official),MV,227,2024-07-08T13:00:06Z,Monday,Summer,694020,26286,629,0.03878130313247457
vTubers,UCvInZx9h3jC2JzsIzoOebWg,1130000,【original MV】大還元祭！夢のフレアチャンネル！/不知火フレア(official),MV,250,2024-06-03T12:00:07Z,Monday,Summer,429414,24561,1273,0.060161056695869256
vTubers,UCvInZx9h3jC2JzsIzoOebWg,1130000,【original anime MV】全力ジャンピング！/不知火フレア(official),MV,227,2024-01-03T13:00:09Z,Wednesday,Winter,238796,15355,317,0.06562924002077086
vTubers,UCvInZx9h3jC2JzsIzoOebWg,1130000,【original anime MV】なかま歌/不知火建設(official),MV,215,2023-11-30T13:00:09Z,Thursday,Fall,4226244,74512,1288,0.017935547497967462
vTubers,UCvInZx9h3jC2JzsIzoOebWg,1130000,【original anime MV】アトリエ/不知火フレア(official),MV,223,2023-09-22T13:15:10Z,Friday,Fall,284070,18930,455,0.06824022248037455
vTubers,UCvInZx9h3jC2JzsIzoOebWg,1130000,【original anime MV】SKYSONAR/不知火フレア(official),MV,280,2023-07-15T12:45:09Z,Saturday,Summer,371741,24950,804,0.06927941765906909
vTubers,UCvInZx9h3jC2JzsIzoOebWg,1130000,強風オールバック / 不知火フレア(Cover),Cover,137,2023-07-06T09:00:09Z,Thursday,Summer,593495,33220,733,0.05720856957514385
