style,channelId,channelSubs,title,type,duration_sec,publishedAt,dayOfWeek,season,views,likes,comments,engagment
vTubers,UCQ0UDLQCjY0rmuxCDE38FGg,1540000,【オリジナル曲】ホロメン体操【ホロライブ/夏色まつり/まろん】,MV,226,2025-07-18T08:30:07Z,Friday,Summer,173697,16285,567,0.0970195225018279
vTubers,UCQ0UDLQCjY0rmuxCDE38FGg,1540000,みむかｩわナイストライ/夏色まつり(cover)【ホロライブ】,Cover,211,2025-03-25T10:00:06Z,Tuesday,Spring,527006,33769,965,0.0659081680284475
vTubers,UCQ0UDLQCjY0rmuxCDE38FGg,1540000,【オリジナル曲】ラヴレター【ホロライブ/夏色まつり/内緒のピアス】,MV,255,2025-03-08T13:00:06Z,Saturday,Spring,749607,37435,1399,0.051805812912632886
vTubers,UCQ0UDLQCjY0rmuxCDE38FGg,1540000,POP IN 2 / B小町 covered by 夏色まつり×白上フブキ×轟はじめ,Cover,272,2024-12-21T11:00:06Z,Saturday,Winter,1780311,49708,681,0.02830348180739208
vTubers,UCQ0UDLQCjY0rmuxCDE38FGg,1540000,【オリジナル曲】ENDLESS FES【ホロライブ/夏色まつり/ FAKE TYPE.】,MV,196,2024-11-01T12:15:06Z,Friday,Fall,445797,16744,832,0.03942601677445115
vTubers,UCQ0UDLQCjY0rmuxCDE38FGg,1540000,同担☆拒否/夏色まつり(cover)【ホロライブ】,Cover,253,2024-09-11T09:00:07Z,Wednesday,Fall,107474,8373,288,0.08058693265347898
vTubers,UCQ0UDLQCjY0rmuxCDE38FGg,1540000,Bling-Bang-Bang-Born  /夏色まつり(cover)【ホロライブ】,Cover,173,2024-06-13T13:00:06Z,Thursday,Summer,459457,25765,722,0.05764848505953767
vTubers,UCQ0UDLQCjY0rmuxCDE38FGg,1540000,混沌ブギ/夏色まつり(cover)【ホロライブ】,Cover,153,2024-05-24T09:00:06Z,Friday,Spring,785624,21454,311,0.027704092542997667
vTubers,UCQ0UDLQCjY0rmuxCDE38FGg,1540000,ダーリン - 須田景凪 /夏色まつり(cover)【ホロライブ】,Cover,149,2024-03-19T09:00:07Z,Tuesday,Spring,749250,19157,402,0.02610477143810477
vTubers,UCQ0UDLQCjY0rmuxCDE38FGg,1540000,プロポーズ - 内緒のピアス/夏色まつり(cover)【ホロライブ】,Cover,234,2024-03-12T09:00:07Z,Tuesday,Spring,648149,21406,543,0.03386412692143319
vTubers,UCQ0UDLQCjY0rmuxCDE38FGg,1540000,人マニア/夏色まつり(cover)【スマホ視聴推奨】,Cover,129,2023-11-19T09:00:07Z,Sunday,Fall,346133,14220,255,0.04181918511092557
vTubers,UCQ0UDLQCjY0rmuxCDE38FGg,1540000,けーたいみしてよ/夏色まつり(cover),Cover,141,2023-10-09T09:00:06Z,Monday,Fall,235419,11408,190,0.04926535241420616
vTubers,UCQ0UDLQCjY0rmuxCDE38FGg,1540000,【オリジナル曲】ばーちゃらぶ【ホロライブ/夏色まつり】,MV,214,2023-09-01T10:30:11Z,Friday,Fall,287579,10973,281,0.03913359459487654
vTubers,UCQ0UDLQCjY0rmuxCDE38FGg,1540000,強風オールバック/夏色まつり(cover),Cover,137,2023-06-03T13:00:10Z,Saturday,Summer,1544125,64726,1451,0.042857281631992226
vTubers,UCQ0UDLQCjY0rmuxCDE38FGg,1540000,絶対王政カーニバル / 夏色まつり(official),MV,203,2023-03-20T11:30:09Z,Monday,Spring,444999,16495,406,0.03797986062890029
vTubers,UCQ0UDLQCjY0rmuxCDE38FGg,1540000,人生は最高の暇つぶし/夏色まつり(cover),Cover,266,2022-07-21T15:15:14Z,Thursday,Summer,906533,31747,532,0.03560708766255614
vTubers,UCQ0UDLQCjY0rmuxCDE38FGg,1540000,夜もすがら君想ふ / 夏色まつり cover,Cover,241,2022-03-01T15:30:23Z,Tuesday,Spring,1474540,43670,523,0.029970702727630312
vTubers,UCQ0UDLQCjY0rmuxCDE38FGg,1540000,ファンサ/夏色まつり(cover) -VARK LIVE version,Live,256,2022-02-28T09:00:00Z,Monday,Winter,167975,11413,392,0.07027831522547998
vTubers,UCQ0UDLQCjY0rmuxCDE38FGg,1540000,チチンプイプイ/夏色まつり(cover),Cover,188,2021-12-13T10:00:13Z,Monday,Winter,1466207,47789,687,0.033062180169648625
vTubers,UCQ0UDLQCjY0rmuxCDE38FGg,1540000,シンデレラ/夏色まつり(cover),Cover,161,2021-09-30T10:00:14Z,Thursday,Fall,873568,32766,386,0.03795010806256639
vTubers,UCQ0UDLQCjY0rmuxCDE38FGg,1540000,SummerTime / cinnamons × evening cinema(Covered by 夏色まつり&夕刻ロベル),Cover,249,2021-08-18T10:00:12Z,Wednesday,Summer,510366,30235,685,0.060583973070306406
vTubers,UCQ0UDLQCjY0rmuxCDE38FGg,1540000,ルーザーガール / ツユ (Covered by 夏色まつり)【オリジナルMV】,MV,199,2021-07-25T11:30:13Z,Sunday,Summer,707009,30015,565,0.0432526318618292
vTubers,UCQ0UDLQCjY0rmuxCDE38FGg,1540000,太陽になれるかな / ツユ (Covered by 夏色まつり),Cover,245,2021-06-25T15:00:15Z,Friday,Summer,478802,23074,461,0.04915393001700077
vTubers,UCQ0UDLQCjY0rmuxCDE38FGg,1540000,くらべられっ子 / ツユ (Covered by 夏色まつり),Cover,215,2021-05-26T15:00:13Z,Wednesday,Spring,1099621,48326,941,0.044803618701352556
vTubers,UCQ0UDLQCjY0rmuxCDE38FGg,1540000,空色デイズ Sorairo Days / 中川翔子 (Covered by 夏色まつり＆Gawr Gura),Cover,254,2021-03-30T09:00:17Z,Tuesday,Spring,6506330,213928,7238,0.033992435059396
vTubers,UCQ0UDLQCjY0rmuxCDE38FGg,1540000,KING／夏色まつり cover【歌ってみた】,Cover,136,2021-01-10T10:30:13Z,Sunday,Winter,1961381,76072,2306,0.03996061958385444
vTubers,UCQ0UDLQCjY0rmuxCDE38FGg,1540000,月曜日の憂鬱 / 夏色まつり cover,Cover,270,2020-10-18T15:00:11Z,Sunday,Fall,570686,27831,802,0.05017294974819778
vTubers,UCQ0UDLQCjY0rmuxCDE38FGg,1540000,楓 / スピッツ (Covered by 夏色まつり&律可),Cover,334,2020-09-15T13:00:11Z,Tuesday,Fall,1376429,27431,620,0.020379547364956712
vTubers,UCQ0UDLQCjY0rmuxCDE38FGg,1540000,「ぼくの夢、メチャクソ無限湧き」ARuFa / 夏色まつりcover,Cover,137,2020-06-27T11:00:14Z,Saturday,Summer,506335,18075,811,0.03729941639428442
vTubers,UCQ0UDLQCjY0rmuxCDE38FGg,1540000,君と眺める夏の花 / 夏色まつり【オリジナル曲】,MV,199,2020-06-20T13:15:03Z,Saturday,Summer,992880,29940,1042,0.031204173716864073
vTubers,UCQ0UDLQCjY0rmuxCDE38FGg,1540000,Colorful World  / 夏色まつりcover ( 1cho.ver ),Cover,135,2020-06-13T16:58:58Z,Saturday,Summer,281164,8516,416,0.03176793615114311
vTubers,UCQ0UDLQCjY0rmuxCDE38FGg,1540000,Preserved Roses / T.M.Revolution×水樹奈々(Covered by 夏色まつり&律可),Cover,212,2020-04-18T11:00:12Z,Saturday,Spring,2644192,59402,1185,0.022913237767907928
vTubers,UCQ0UDLQCjY0rmuxCDE38FGg,1540000,【兎田ぺこら/さくらみこ】バレンタイン・キッス　歌ってみた【宝鐘マリン/夏色まつり】,Cover,222,2020-02-14T12:00:14Z,Friday,Winter,1421824,46455,1388,0.03364903110370904
vTubers,UCQ0UDLQCjY0rmuxCDE38FGg,1540000,白日 / King Gnu (Covered by 夏色まつり&律可),Cover,277,2019-12-21T14:00:14Z,Saturday,Winter,7843180,121268,2399,0.01576745656736171
