style,channelId,channelSubs,title,type,duration_sec,publishedAt,dayOfWeek,season,views,likes,comments,engagment
vTubers,UCCzUftO8KOVkV4wQG1vkUvg,4160000,【original anime MV】スキスキDieスキ超Ayeシテル【hololive/宝鐘マリン】,MV,275,2025-07-30T12:00:06Z,Wednesday,Summer,3537120,212362,5938,0.06171687700728276
vTubers,UCCzUftO8KOVkV4wQG1vkUvg,4160000,【original anime MV】A Horny Money World ~伝説の夜~【hololive/宝鐘マリン】,MV,195,2025-04-29T10:57:06Z,Tuesday,Spring,10601711,307972,7181,0.029726616769689344
vTubers,UCCzUftO8KOVkV4wQG1vkUvg,4160000,【original anime MV】コンプレックス♡プリンセス【hololive/宝鐘マリン】,MV,201,2024-12-08T11:30:06Z,Sunday,Winter,4943686,137427,3971,0.02860173562803139
vTubers,UCCzUftO8KOVkV4wQG1vkUvg,4160000,【original anime MV】パイパイ仮面でどうかしらん？【hololive/宝鐘マリン】,MV,293,2024-09-15T13:00:07Z,Sunday,Fall,16415847,280489,9877,0.017688152186116256
vTubers,UCCzUftO8KOVkV4wQG1vkUvg,4160000,ツインテールは20歳まで♡ / あくあマリン cover【hololive/宝鐘マリン・湊あくあ】,Cover,199,2024-08-23T12:00:07Z,Friday,Summer,1241988,57667,1131,0.047341842272228075
vTubers,UCCzUftO8KOVkV4wQG1vkUvg,4160000,【original anime MV】幽霊船戦【hololive/宝鐘マリン】,MV,276,2024-07-30T12:00:07Z,Tuesday,Summer,15606203,353461,16417,0.02370070413668206
vTubers,UCCzUftO8KOVkV4wQG1vkUvg,4160000,【original anime MV】III【hololive/宝鐘マリン＆こぼ・かなえる】,MV,194,2024-05-03T11:57:09Z,Friday,Spring,48189749,665967,13542,0.014100695979968686
vTubers,UCCzUftO8KOVkV4wQG1vkUvg,4160000,恋するフォーチュンクッキー / 宝鐘マリン るるどらいおん cover,Cover,288,2024-02-09T09:00:12Z,Friday,Winter,3152215,80360,1897,0.026094984003311956
vTubers,UCCzUftO8KOVkV4wQG1vkUvg,4160000,粛聖!! ロリ神レクイエム☆ / マリンたん（９さい）cover【hololive/宝鐘マリン】,Cover,275,2023-11-24T10:00:10Z,Friday,Fall,7387106,262999,12330,0.03727156480494526
vTubers,UCCzUftO8KOVkV4wQG1vkUvg,4160000,【original anime MV】SHINKIRO【hololive/宝鐘マリン・Gawr Gura】,MV,305,2023-11-12T13:00:11Z,Sunday,Fall,9352446,312082,11325,0.034579937697582004
vTubers,UCCzUftO8KOVkV4wQG1vkUvg,4160000,真夜中のドア〜stay with me / 宝鐘マリン cover,Cover,309,2023-09-23T03:00:08Z,Saturday,Fall,5503935,170703,4482,0.03182904594621848
vTubers,UCCzUftO8KOVkV4wQG1vkUvg,4160000,め組のひと / 宝鐘マリン cover,Cover,208,2023-08-11T13:25:11Z,Friday,Summer,17331725,292074,5523,0.017170650930591155
vTubers,UCCzUftO8KOVkV4wQG1vkUvg,4160000,【original anime MV】美少女無罪♡パイレーツ【hololive/宝鐘マリン】,MV,220,2023-07-30T13:00:11Z,Sunday,Summer,60283633,757096,21935,0.012922761307368453
vTubers,UCCzUftO8KOVkV4wQG1vkUvg,4160000,オトナブルー / 宝鐘マリン cover,Cover,185,2023-07-15T10:00:11Z,Saturday,Summer,10001337,205828,4078,0.0209877939319513
vTubers,UCCzUftO8KOVkV4wQG1vkUvg,4160000,【Shuffle!】 3期生メドレー【hololive SUPER EXPO 2023】,Live,297,2023-06-14T14:00:08Z,Wednesday,Summer,2466341,77232,2080,0.03215775920685745
vTubers,UCCzUftO8KOVkV4wQG1vkUvg,4160000,【original anime MV】I’m Your Treasure Box ＊あなたは マリンせんちょうを たからばこからみつけた。【hololive/宝鐘マリン】,MV,261,2022-07-30T13:00:16Z,Saturday,Summer,56385664,1113420,35003,0.020367286975639765
vTubers,UCCzUftO8KOVkV4wQG1vkUvg,4160000,【original animation MV】マリン出航！！【hololive/宝鐘マリン】,MV,144,2022-04-27T13:00:12Z,Wednesday,Spring,6728306,337261,12794,0.05202721160422846
vTubers,UCCzUftO8KOVkV4wQG1vkUvg,4160000,【Original Animation MV】Unison【hololive/宝鐘マリン】,MV,247,2021-08-11T13:00:12Z,Wednesday,Summer,13738241,378323,11424,0.028369497958290295
vTubers,UCCzUftO8KOVkV4wQG1vkUvg,4160000,【歌ってみた】ミュージックアワーcover / ポルノグラフィティ【ホロライブ/宝鐘マリン】,Cover,264,2021-07-30T13:30:11Z,Friday,Summer,2024433,67161,1132,0.033734383899096686
vTubers,UCCzUftO8KOVkV4wQG1vkUvg,4160000,【3DLIVE】御旗のもとに/宝鐘マリン(VARK LIVE version）- Cinderella switch ～ふたりでみるホロライブ～ vol.1 【ホロライブ】,Cover,254,2021-07-20T13:36:18Z,Tuesday,Summer,550087,24958,818,0.046858042455102555
