style,channelId,channelSubs,title,type,duration_sec,publishedAt,dayOfWeek,season,views,likes,comments,engagment
vTubers,UC5CwaMl1eIgY8h02uZw7u8A,2800000,トリコロージュ / 星街すいせい(cover),Cover,262,2022-06-08T12:00:14Z,Wednesday,Summer,5909423,107359,1111,0.0183554299632976
vTubers,UC5CwaMl1eIgY8h02uZw7u8A,2800000,幽霊東京 / 星街すいせい(cover),Cover,201,2022-05-22T11:00:11Z,Sunday,Spring,16449276,193830,2430,0.011931224207071484
vTubers,UC5CwaMl1eIgY8h02uZw7u8A,2800000,TEMPLATE / 星街すいせい(official),MV,190,2022-03-31T13:15:14Z,Thursday,Spring,10102360,163248,3673,0.01652297087017291
vTubers,UC5CwaMl1eIgY8h02uZw7u8A,2800000,僕は初音ミクとキスをした / 星街すいせい(cover),Cover,266,2022-03-10T09:00:10Z,Thursday,Spring,2480659,65009,1441,0.02678723677861407
vTubers,UC5CwaMl1eIgY8h02uZw7u8A,2800000,ロウワー / 星街すいせい(cover),Cover,235,2022-02-01T09:00:12Z,Tuesday,Winter,14796119,192502,2325,0.013167439380556482
vTubers,UC5CwaMl1eIgY8h02uZw7u8A,2800000,アニマル / miComet(cover),Cover,153,2022-01-27T11:00:11Z,Thursday,Winter,15831090,206447,3499,0.013261626331478123
vTubers,UC5CwaMl1eIgY8h02uZw7u8A,2800000,バイバイレイニー / 星街すいせい(official),MV,215,2021-12-25T09:30:12Z,Saturday,Winter,6362215,119127,1804,0.01900768836010729
vTubers,UC5CwaMl1eIgY8h02uZw7u8A,2800000,シネマ / 星街すいせい×奏手イヅル×アステル･レダ(Cover),Cover,211,2021-12-13T09:00:10Z,Monday,Winter,6891391,123437,2137,0.01822186551307276
vTubers,UC5CwaMl1eIgY8h02uZw7u8A,2800000,フォニイ / 星街すいせい(Cover),Cover,190,2021-11-26T09:00:13Z,Friday,Fall,58515866,521503,13458,0.009142153001717517
vTubers,UC5CwaMl1eIgY8h02uZw7u8A,2800000,Stellar Stellar / 星街すいせい(official),MV,305,2021-10-08T09:00:14Z,Friday,Fall,49769853,511056,11257,0.01049456585696566
vTubers,UC5CwaMl1eIgY8h02uZw7u8A,2800000,ぜんぶあんたのせい / 星街すいせい(Cover),Cover,206,2021-09-21T11:00:15Z,Tuesday,Fall,2496653,66480,938,0.027003352087775115
vTubers,UC5CwaMl1eIgY8h02uZw7u8A,2800000,Crazy:B「Honeycomb Summer」 / 戌亥とこ × 星街すいせい(Cover),Cover,247,2021-09-13T09:00:11Z,Monday,Fall,5017811,91336,995,0.0184006531931952
vTubers,UC5CwaMl1eIgY8h02uZw7u8A,2800000,【DanceMV】自分勝手Dazzling / 星街すいせい(official),Dance,219,2021-08-21T12:15:13Z,Saturday,Summer,4442745,98507,1732,0.02256240229857892
vTubers,UC5CwaMl1eIgY8h02uZw7u8A,2800000,【CHUNITHM】自分勝手Dazzling / 星街すいせい(official),MV,160,2021-08-17T03:12:48Z,Tuesday,Summer,2379359,77870,2086,0.03360400847455134
vTubers,UC5CwaMl1eIgY8h02uZw7u8A,2800000,Cry Baby / 星街すいせい(Cover),Cover,244,2021-08-13T09:00:09Z,Friday,Summer,8561509,163540,2606,0.019406158423707784
vTubers,UC5CwaMl1eIgY8h02uZw7u8A,2800000,駆けろ / 星街すいせい(official),MV,232,2021-08-07T09:00:14Z,Saturday,Summer,10590886,159241,2768,0.015297020475907303
vTubers,UC5CwaMl1eIgY8h02uZw7u8A,2800000,少女レイ / 星街すいせい(Cover),Cover,292,2021-07-27T09:00:12Z,Tuesday,Summer,18102592,220667,2884,0.012349115529974935
vTubers,UC5CwaMl1eIgY8h02uZw7u8A,2800000,Bluerose / 星街すいせい(official),MV,227,2021-06-25T13:30:11Z,Friday,Summer,9008490,149530,3080,0.01694068595291775
vTubers,UC5CwaMl1eIgY8h02uZw7u8A,2800000,GETCHA! / calliope × suisei(cover),Cover,230,2021-06-15T09:00:14Z,Tuesday,Summer,28849647,365177,7077,0.012903242802242953
vTubers,UC5CwaMl1eIgY8h02uZw7u8A,2800000,KING / 星街すいせい(Cover),Cover,135,2021-05-08T09:00:14Z,Saturday,Spring,28131714,331024,7018,0.012016402555493064
vTubers,UC5CwaMl1eIgY8h02uZw7u8A,2800000,GHOST / 星街すいせい(official),MV,282,2021-04-13T13:30:17Z,Tuesday,Spring,31034731,343078,7870,0.01130823399113722
vTubers,UC5CwaMl1eIgY8h02uZw7u8A,2800000,Goose house「光るなら」 / 星街すいせい × 蒔田陽丸 × 楓山蓮太郎(Cover),Cover,257,2021-02-28T09:00:16Z,Sunday,Winter,2030092,68693,1510,0.03458119139428164
vTubers,UC5CwaMl1eIgY8h02uZw7u8A,2800000,Ra*bits「メルティ♡キッチン」 / 戌亥とこ × 星街すいせい(Cover),Cover,322,2021-02-14T11:00:13Z,Sunday,Winter,2329169,57427,831,0.025012354191559307
vTubers,UC5CwaMl1eIgY8h02uZw7u8A,2800000,シド「乱舞のメロディ」 / 星街すいせい(Cover),Cover,229,2021-01-29T10:00:12Z,Friday,Winter,11431496,159119,3099,0.014190443665466007
vTubers,UC5CwaMl1eIgY8h02uZw7u8A,2800000,Valkyrie「今宵月の館にて」 / 戌亥とこ × 星街すいせい(Cover),Cover,292,2020-10-31T11:00:10Z,Saturday,Fall,8019196,127625,1514,0.016103734090050923
vTubers,UC5CwaMl1eIgY8h02uZw7u8A,2800000,Saint Snow「Believe Again」/ 星街すいせい×夏色まつり(Live-edition),Live,280,2020-10-25T10:00:15Z,Sunday,Fall,558588,23706,489,0.04331457174160562
vTubers,UC5CwaMl1eIgY8h02uZw7u8A,2800000,LiSA『紅蓮華』 / 星街すいせい(Live-edition),Live,242,2020-10-22T10:00:14Z,Thursday,Fall,576446,27409,627,0.048635952023259765
vTubers,UC5CwaMl1eIgY8h02uZw7u8A,2800000,D/Zeal「餞の鳥」 / ときのそら × 星街すいせい(Cover),Cover,303,2020-07-30T10:00:14Z,Thursday,Summer,2687906,58777,1353,0.022370573970964758
vTubers,UC5CwaMl1eIgY8h02uZw7u8A,2800000,シャンパーニュ・デイ / 星街すいせい(cover),Cover,183,2020-06-28T13:00:13Z,Sunday,Summer,1332768,27129,607,0.020810823789286656
vTubers,UC5CwaMl1eIgY8h02uZw7u8A,2800000,【ゾンビランドサガ】フランシュシュ「佐賀事変」/ 星街すいせい with ホロライブファンタジー(Cover),Cover,261,2020-05-27T10:00:12Z,Wednesday,Spring,22022971,321119,9394,0.015007648150651427
vTubers,UC5CwaMl1eIgY8h02uZw7u8A,2800000,NEXT COLOR PLANET / 星街すいせい(official),MV,261,2020-03-22T11:00:12Z,Sunday,Spring,21416576,248450,6300,0.011894991991250142
vTubers,UC5CwaMl1eIgY8h02uZw7u8A,2800000,Guilty kiss「コワレヤスキ」/ 出雲霞×星街すいせい×堰代ミコ【歌ってみた】,Cover,302,2019-12-29T10:00:11Z,Sunday,Winter,633381,17552,261,0.02812367279725789
vTubers,UC5CwaMl1eIgY8h02uZw7u8A,2800000,【プロメア】superfly「覚醒」/ 星街すいせい(Cover),Cover,256,2019-11-11T11:30:11Z,Monday,Fall,9299885,132765,1573,0.014445124859070837
vTubers,UC5CwaMl1eIgY8h02uZw7u8A,2800000,天球、彗星は夜を跨いで / 星街すいせい(official),MV,259,2019-03-22T10:58:46Z,Friday,Spring,17716030,227000,4456,0.013064778056934878
