style,channelId,channelSubs,title,type,duration_sec,publishedAt,dayOfWeek,season,views,likes,comments,engagment
vTubers,UCp6993wxpyDPHUpavwDFqgg,1300000,【Cover】輪廻-ロンド-【歌ってみた/ときのそら/ホロライブ/富士葵】,Cover,272,2025-07-05T09:00:06Z,Saturday,Summer,112702,9010,229,0.08197724973824777
vTubers,UCp6993wxpyDPHUpavwDFqgg,1300000,【オリジナル楽曲】ときのそら「∞超スーパー無限インフィニティ∞」【Official Music Video】,MV,204,2025-06-28T09:00:06Z,Saturday,Summer,351045,13452,502,0.03974988961529149
vTubers,UCp6993wxpyDPHUpavwDFqgg,1300000,【Cover】ゴーストルール【歌ってみた/ときのそら/ホロライブ】,Cover,207,2025-05-27T10:00:06Z,Tuesday,Spring,293093,16467,483,0.05783147328663598
vTubers,UCp6993wxpyDPHUpavwDFqgg,1300000,【オリジナル楽曲】ときのそら「Swallow Tail」【Official Music Video】,MV,231,2025-05-15T12:10:06Z,Thursday,Spring,133048,13070,719,0.10363928807648368
vTubers,UCp6993wxpyDPHUpavwDFqgg,1300000,【Cover】Beyond the way【歌ってみた/ときのそら/博衣こより/Hakos Baelz/火威青/轟はじめ】,Cover,181,2025-04-29T10:00:06Z,Tuesday,Spring,444967,29142,686,0.06703418455750651
vTubers,UCp6993wxpyDPHUpavwDFqgg,1300000,SorAZ Major Debut Live Blu-ray「First Gravity」昼公演ダイジェスト,Live,317,2025-02-08T03:00:15Z,Saturday,Winter,54651,6265,161,0.11758247790525334
vTubers,UCp6993wxpyDPHUpavwDFqgg,1300000,【cover】ブルーバード【歌ってみた/ときのそら/ホロライブ】,Cover,217,2025-01-29T09:00:06Z,Wednesday,Winter,532721,21908,682,0.04240493616733712
vTubers,UCp6993wxpyDPHUpavwDFqgg,1300000,【cover】命に嫌われている。【歌ってみた/ときのそら/ホロライブ】,Cover,278,2024-12-27T12:00:06Z,Friday,Winter,737761,32224,1161,0.04525178208118889
vTubers,UCp6993wxpyDPHUpavwDFqgg,1300000,【cover】チルドレンレコード【歌ってみた/ときのそら/ホロライブ】,Cover,193,2024-10-03T11:00:17Z,Thursday,Fall,245101,13793,409,0.05794346004300268
vTubers,UCp6993wxpyDPHUpavwDFqgg,1300000,【7周年記念曲】ときのそら「ラッキーセブンスホイッスル」【Official Music Video】,MV,268,2024-09-20T09:00:22Z,Friday,Fall,253012,13732,529,0.05636491549807914
