style,channelId,channelSubs,title,type,duration_sec,publishedAt,dayOfWeek,season,views,likes,comments,engagment
vTubers,UCIBY1ollUsauvVi4hW4cumw,1350000,沙花叉クロヱ MV - 光あれ,MV,209,2025-01-26T13:30:06Z,Sunday,Winter,1474789,79462,6090,0.058009654262406354
vTubers,UCIBY1ollUsauvVi4hW4cumw,1350000,ぼくらはみんな意味不明 / 沙花叉クロヱ  (cover),Cover,232,2025-01-25T12:00:07Z,Saturday,Winter,451929,26535,689,0.060239550902907314
vTubers,UCIBY1ollUsauvVi4hW4cumw,1350000,Bling-Bang-Bang-Born / 沙花叉クロヱ  ホロメン (cover),Cover,173,2025-01-24T11:00:06Z,Friday,Winter,2164700,95045,1450,0.04457661569732527
vTubers,UCIBY1ollUsauvVi4hW4cumw,1350000,花の塔 / 沙花叉クロヱ 博衣こより (cover),Cover,278,2025-01-23T13:00:32Z,Thursday,Winter,1817345,51522,1444,0.029144713854551557
vTubers,UCIBY1ollUsauvVi4hW4cumw,1350000,沙花叉クロヱ MV - 混ざる鈍色,MV,172,2025-01-17T12:00:06Z,Friday,Winter,399932,24828,1026,0.0646459898182691
vTubers,UCIBY1ollUsauvVi4hW4cumw,1350000,ぼうけんのしょがきえました！ / 沙花叉クロヱ ラプラス・ダークネス(cover),Cover,227,2025-01-15T12:00:06Z,Wednesday,Winter,399641,21362,426,0.05451893074033946
vTubers,UCIBY1ollUsauvVi4hW4cumw,1350000,【 歌ってみた 】 ド屑 / 沙花叉クロヱ  (cover)【 hololive / ホロライブ 】,Cover,125,2025-01-12T11:00:06Z,Sunday,Winter,472231,24694,661,0.05369194313799814
vTubers,UCIBY1ollUsauvVi4hW4cumw,1350000,沙花叉クロヱ MV - モードク,MV,178,2024-11-29T13:00:14Z,Friday,Fall,1258921,45396,1792,0.03748289209569147
vTubers,UCIBY1ollUsauvVi4hW4cumw,1350000,フランケンの花嫁 / 沙花叉クロヱ(cover),Cover,135,2024-10-31T09:00:07Z,Thursday,Fall,334683,15999,351,0.04885219745251477
vTubers,UCIBY1ollUsauvVi4hW4cumw,1350000,Habit / 沙花叉クロヱ(cover),Cover,257,2024-07-29T09:00:07Z,Monday,Summer,1740694,43666,910,0.025608176968496474
