style,channelId,channelSubs,title,type,duration_sec,publishedAt,dayOfWeek,season,views,likes,comments,engagment
vTubers,UCvaTdHTWBGv3MKj3KVqJVCw,2040000,少女A / 猫又おかゆ (cover),Cover,246,2025-07-24T12:05:06Z,Thursday,Summer,718207,34586,868,0.04936459822864439
vTubers,UCvaTdHTWBGv3MKj3KVqJVCw,2040000,はいよろこんで / 猫又おかゆ (cover),Cover,164,2025-06-07T11:00:06Z,Saturday,Summer,834381,37942,770,0.046396070859715165
vTubers,UCvaTdHTWBGv3MKj3KVqJVCw,2040000,Rainy / 猫又おかゆ ( official ),MV,210,2025-05-14T11:15:06Z,Wednesday,Spring,386720,21117,521,0.055952627223831194
vTubers,UCvaTdHTWBGv3MKj3KVqJVCw,2040000,ライアーダンサー / 猫又おかゆ (cover),Cover,240,2025-04-19T09:00:06Z,Saturday,Spring,812473,28771,628,0.036184587057046816
vTubers,UCvaTdHTWBGv3MKj3KVqJVCw,2040000,ガザニア / 猫又おかゆ ( official ),MV,280,2025-04-06T12:15:06Z,Sunday,Spring,718629,32953,888,0.04709105811204391
vTubers,UCvaTdHTWBGv3MKj3KVqJVCw,2040000,デコグラデーション / 猫又おかゆ ( official ),MV,196,2025-03-20T11:05:07Z,Thursday,Spring,847885,36770,871,0.04439399210977904
vTubers,UCvaTdHTWBGv3MKj3KVqJVCw,2040000,キスだけでいいからね / 猫又おかゆ ( official ),MV,194,2025-02-22T13:05:06Z,Saturday,Winter,862797,35414,1184,0.04241785727117735
vTubers,UCvaTdHTWBGv3MKj3KVqJVCw,2040000,鬼ノ宴 / 猫又おかゆ (cover),Cover,176,2025-01-01T10:00:06Z,Wednesday,Winter,1522723,32257,589,0.021570567989056447
vTubers,UCvaTdHTWBGv3MKj3KVqJVCw,2040000,オーバーライド / 猫又おかゆ (cover),Cover,141,2024-11-11T13:00:06Z,Monday,Fall,1873390,39384,660,0.02137515413234831
vTubers,UCvaTdHTWBGv3MKj3KVqJVCw,2040000,㋰責任集合体 / 猫又おかゆ (cover),Cover,212,2024-10-17T11:01:01Z,Thursday,Fall,972039,28292,556,0.02967782156888767
vTubers,UCvaTdHTWBGv3MKj3KVqJVCw,2040000,化け猫 / 猫又おかゆ (cover),Cover,171,2024-09-09T09:00:07Z,Monday,Fall,1241914,31822,507,0.02603159316989743
vTubers,UCvaTdHTWBGv3MKj3KVqJVCw,2040000,ラビットホール / 猫又おかゆ (cover),Cover,170,2024-07-19T09:00:07Z,Friday,Summer,1697653,52766,842,0.031577713466768534
vTubers,UCvaTdHTWBGv3MKj3KVqJVCw,2040000,GrrrGrrrTummy / 猫又おかゆ ( official ),MV,187,2024-06-18T09:00:06Z,Tuesday,Summer,599035,22944,514,0.03915964843456559
vTubers,UCvaTdHTWBGv3MKj3KVqJVCw,2040000,ラグトレイン / 猫又おかゆ (cover),Cover,254,2024-05-17T09:00:06Z,Friday,Spring,2071663,54029,970,0.026548236851263937
vTubers,UCvaTdHTWBGv3MKj3KVqJVCw,2040000,可愛くてごめん / 猫又おかゆ (cover),Cover,223,2024-04-06T13:00:07Z,Saturday,Spring,2546249,48557,1126,0.019512231521740413
vTubers,UCvaTdHTWBGv3MKj3KVqJVCw,2040000,ネコカブリーナ / 猫又おかゆ( official ),MV,196,2024-02-22T12:00:07Z,Thursday,Winter,7368968,162412,3835,0.022560418229526848
vTubers,UCvaTdHTWBGv3MKj3KVqJVCw,2040000,Lukewarm / 猫又おかゆ × 雪花ラミィ (cover),Cover,259,2024-02-01T09:00:18Z,Thursday,Winter,560284,18203,362,0.03313498154507357
vTubers,UCvaTdHTWBGv3MKj3KVqJVCw,2040000,カレシのジュード / 緑仙 × 猫又おかゆ (cover),Cover,133,2023-12-13T09:00:09Z,Wednesday,Winter,971084,31518,360,0.032827232247673734
vTubers,UCvaTdHTWBGv3MKj3KVqJVCw,2040000,春嵐 / 猫又おかゆ (cover),Cover,156,2023-11-01T09:00:12Z,Wednesday,Fall,3264798,55214,573,0.017087427767353447
vTubers,UCvaTdHTWBGv3MKj3KVqJVCw,2040000,ラヴィ / 猫又おかゆ (Cover),Cover,184,2023-09-30T09:00:11Z,Saturday,Fall,2924614,46145,651,0.01600074402981043
vTubers,UCvaTdHTWBGv3MKj3KVqJVCw,2040000,真生活 / Gawr Gura × 猫又おかゆ (cover),Cover,245,2023-07-07T09:00:07Z,Friday,Summer,4044725,98421,1244,0.024640735773136618
vTubers,UCvaTdHTWBGv3MKj3KVqJVCw,2040000,さよならテンダー / 猫又おかゆ(cover),Cover,263,2023-06-22T09:00:09Z,Thursday,Summer,1071297,24048,418,0.022837737807536097
vTubers,UCvaTdHTWBGv3MKj3KVqJVCw,2040000,絶対敵対メチャキライヤー / 大空スバル × 猫又おかゆ(cover),Cover,164,2023-05-20T10:00:11Z,Saturday,Spring,2939294,44459,797,0.015396894628437985
vTubers,UCvaTdHTWBGv3MKj3KVqJVCw,2040000,【MV】琥珀糖 / 猫又おかゆ/ホロライブ(official),MV,206,2023-04-06T12:00:07Z,Thursday,Spring,1053819,26287,509,0.02542751649002343
vTubers,UCvaTdHTWBGv3MKj3KVqJVCw,2040000,キケンナアソビ / 猫又おかゆ(cover),Cover,242,2023-03-14T12:00:07Z,Tuesday,Spring,2489131,47617,634,0.019384676820946748
vTubers,UCvaTdHTWBGv3MKj3KVqJVCw,2040000,【MV】カミサマ・ネコサマ / 猫又おかゆ(official),MV,271,2023-02-22T12:00:08Z,Wednesday,Winter,4606332,81407,1545,0.01800825472414928
vTubers,UCvaTdHTWBGv3MKj3KVqJVCw,2040000,浴槽とネオンテトラ/ 常闇トワ × 猫又おかゆ(cover),Cover,268,2023-01-30T09:00:09Z,Monday,Winter,3847153,62548,637,0.016423833416555046
vTubers,UCvaTdHTWBGv3MKj3KVqJVCw,2040000,ジャンキーナイトタウンオーケストラ / 猫又おかゆ (Cover),Cover,216,2022-12-26T10:00:10Z,Monday,Winter,2439477,41243,487,0.01710612561626939
