style,channelId,channelSubs,title,type,duration_sec,publishedAt,dayOfWeek,season,views,likes,comments,engagment
vTubers,UCUKD-uaobj9jiqB-VXt71mA,1540000,シミュラクル/獅白ぼたん【original】,MV,183,2025-05-17T13:30:06Z,Saturday,Spring,214753,18521,406,0.08813380953933123
vTubers,UCUKD-uaobj9jiqB-VXt71mA,1540000,人間みたいね / 獅白ぼたん(cover),Cover,241,2025-05-02T09:00:06Z,Friday,Spring,375256,17203,311,0.04667213848679302
vTubers,UCUKD-uaobj9jiqB-VXt71mA,1540000,君の脈で踊りたかった / 獅白ぼたん(cover),Cover,240,2025-02-14T08:00:06Z,Friday,Winter,168846,12015,363,0.07330940620447035
vTubers,UCUKD-uaobj9jiqB-VXt71mA,1540000,鬼ノ宴 / 獅白ぼたん(cover),Cover,182,2024-12-25T09:00:06Z,Wednesday,Winter,833909,33691,562,0.04107522523440807
vTubers,UCUKD-uaobj9jiqB-VXt71mA,1540000,ツキノナミダ －ソロでライブ風ver. －【獅白ぼたん】,Cover,226,2024-12-07T01:00:06Z,Saturday,Winter,89965,8042,167,0.09124659589840493
vTubers,UCUKD-uaobj9jiqB-VXt71mA,1540000,Hikari / 獅白ぼたん【original】,MV,216,2024-11-05T09:00:06Z,Tuesday,Fall,331810,22379,542,0.06907868961152466
vTubers,UCUKD-uaobj9jiqB-VXt71mA,1540000,フロイデ / 獅白ぼたん(cover),Cover,202,2024-04-02T04:00:07Z,Tuesday,Spring,281169,17604,311,0.0637161280226483
vTubers,UCUKD-uaobj9jiqB-VXt71mA,1540000,アイドル / 獅白ぼたん(cover),Cover,218,2023-12-25T01:00:11Z,Monday,Winter,658018,37625,819,0.05842393369178351
vTubers,UCUKD-uaobj9jiqB-VXt71mA,1540000,I I I Love You -Remix ver.- / 獅白ぼたん【original】,MV,195,2023-12-24T09:00:09Z,Sunday,Winter,142936,9260,139,0.06575670230033022
vTubers,UCUKD-uaobj9jiqB-VXt71mA,1540000,Lioness’ Pride -Remix ver.- / 獅白ぼたん【original】,MV,318,2023-12-23T09:00:07Z,Saturday,Winter,252105,13757,261,0.05560381587037147
vTubers,UCUKD-uaobj9jiqB-VXt71mA,1540000,Connect:Addict / 獅白ぼたん【original】,MV,289,2023-11-18T15:00:10Z,Saturday,Fall,396409,19152,392,0.04930261421915244
vTubers,UCUKD-uaobj9jiqB-VXt71mA,1540000,じゃあ君の思想が死ねばいい / 獅白ぼたん(cover),Cover,181,2023-09-22T09:00:11Z,Friday,Fall,202749,12064,264,0.06080424564362833
vTubers,UCUKD-uaobj9jiqB-VXt71mA,1540000,ノンブレス・オブリージュ / 獅白ぼたん(cover),Cover,209,2022-12-07T09:00:09Z,Wednesday,Winter,1857669,52160,926,0.02857667323941994
vTubers,UCUKD-uaobj9jiqB-VXt71mA,1540000,I I I Love You / 獅白ぼたん【original】,MV,215,2022-08-17T11:00:12Z,Wednesday,Summer,782526,34910,628,0.04541446546185047
vTubers,UCUKD-uaobj9jiqB-VXt71mA,1540000,創造 / 獅白ぼたん(cover),Cover,231,2022-03-12T10:00:33Z,Saturday,Spring,996694,34661,632,0.03541006567712859
vTubers,UCUKD-uaobj9jiqB-VXt71mA,1540000,Los!Los!Los! / 獅白ぼたん(cover) -VARK LIVE version,Cover,223,2022-02-04T09:00:33Z,Friday,Winter,645095,30982,632,0.04900673544206667
vTubers,UCUKD-uaobj9jiqB-VXt71mA,1540000,アニマル / 獅白ぼたん(cover),Cover,153,2021-12-21T11:00:14Z,Tuesday,Winter,1482488,62209,1057,0.04267555622709931
vTubers,UCUKD-uaobj9jiqB-VXt71mA,1540000,Lioness’ Pride / 獅白ぼたん【original】,MV,289,2021-08-14T12:15:13Z,Saturday,Summer,2167612,82519,2156,0.03906372542687529
vTubers,UCUKD-uaobj9jiqB-VXt71mA,1540000,ようこそジャパリパークへ / Covered by ねぽらぼ【歌ってみた】,Cover,207,2021-08-14T10:45:13Z,Saturday,Summer,1310332,48576,750,0.03764389482970728
vTubers,UCUKD-uaobj9jiqB-VXt71mA,1540000,Will / 獅白ぼたん(cover),Cover,269,2021-01-17T04:00:05Z,Sunday,Winter,1325235,54350,1685,0.042283066776835805
