style,channelId,channelSubs,title,type,duration_sec,publishedAt,dayOfWeek,season,views,likes,comments,engagment
vTubers,UCXTpFs_3PqI41qX2d9tL2Rw,1350000,Sincerely／Covered by紫咲シオン,Cover,272,2025-04-20T10:00:06Z,Sunday,Spring,445456,32015,1480,0.07519261161596207
vTubers,UCXTpFs_3PqI41qX2d9tL2Rw,1350000,さよならだけが人生だ／Covered by紫咲シオン＆沙花叉クロヱ,Cover,314,2025-03-31T10:00:06Z,Monday,Spring,1052849,56402,2451,0.05589880410201273
vTubers,UCXTpFs_3PqI41qX2d9tL2Rw,1350000,CH4NGE - Giga ／Covered by紫咲シオン＆沙花叉クロヱ,Cover,136,2025-01-24T13:05:06Z,Friday,Winter,513854,25023,485,0.04964055938068011
vTubers,UCXTpFs_3PqI41qX2d9tL2Rw,1350000,ずうっといっしょ！ /Covered by紫咲シオン,Cover,181,2024-10-14T10:00:06Z,Monday,Fall,1076361,32316,723,0.030695092074127548
vTubers,UCXTpFs_3PqI41qX2d9tL2Rw,1350000,きみも悪い人でよかった／Covered by紫咲シオン＆湊あくあ,Cover,391,2024-08-24T10:00:07Z,Saturday,Summer,1993746,68932,2188,0.035671544920967864
vTubers,UCXTpFs_3PqI41qX2d9tL2Rw,1350000,Bling-Bang-Bang-Born /Covered by紫咲シオン,Cover,173,2024-04-26T11:00:07Z,Friday,Spring,1316537,59407,1805,0.046494705427952275
vTubers,UCXTpFs_3PqI41qX2d9tL2Rw,1350000,人マニア／Covered by紫咲シオン【歌ってみた】,Cover,128,2023-11-25T10:00:09Z,Saturday,Fall,1223934,29330,452,0.024333011420550454
vTubers,UCXTpFs_3PqI41qX2d9tL2Rw,1350000,シャンティ(SHANTI)／Covered by紫咲シオン＆猫又おかゆ,Cover,169,2023-08-30T12:15:07Z,Wednesday,Summer,1426084,38869,597,0.027674386642021088
vTubers,UCXTpFs_3PqI41qX2d9tL2Rw,1350000,ラヴィ(Lavie) / Covered by紫咲シオン,Cover,180,2023-07-30T11:00:08Z,Sunday,Summer,2170697,40062,549,0.01870873733183397
vTubers,UCXTpFs_3PqI41qX2d9tL2Rw,1350000,アイドル／Covered by紫咲シオン【歌ってみた】,Cover,214,2023-06-12T10:00:07Z,Monday,Summer,1344143,50384,938,0.038181949390801426
vTubers,UCXTpFs_3PqI41qX2d9tL2Rw,1350000,トウキョウ・シャンディ・ランデヴ／Covered by紫咲シオン【歌ってみた】,Cover,185,2023-03-12T13:00:10Z,Sunday,Spring,3358410,54904,873,0.016608156836121855
vTubers,UCXTpFs_3PqI41qX2d9tL2Rw,1350000,Overdose／Covered by紫咲シオン【歌ってみた】,Cover,194,2022-12-30T11:00:10Z,Friday,Winter,4838413,79395,760,0.0165663824067933
vTubers,UCXTpFs_3PqI41qX2d9tL2Rw,1350000,【holo*27 MV】紫咲シオン x ラプラス・ダークネス - リップシンク【ホロライブ x DECO*27】,MV,173,2022-12-20T10:00:09Z,Tuesday,Winter,3167310,69237,1056,0.022193280733493092
vTubers,UCXTpFs_3PqI41qX2d9tL2Rw,1350000,QUEEN／Covered by紫咲シオン【歌ってみた】,Cover,142,2022-11-15T11:00:09Z,Tuesday,Fall,880276,29126,403,0.033545160835919643
vTubers,UCXTpFs_3PqI41qX2d9tL2Rw,1350000,転生林檎／Covered by紫咲シオン【歌ってみた】,Cover,221,2022-10-28T11:00:09Z,Friday,Fall,4981172,57915,626,0.011752455044716384
vTubers,UCXTpFs_3PqI41qX2d9tL2Rw,1350000,白金ディスコ／Covered by紫咲シオン＆Gawr Gura【歌ってみた】,Cover,255,2022-06-14T11:00:13Z,Tuesday,Summer,3896730,120856,1747,0.031463047221644815
