style,channelId,channelSubs,title,type,duration_sec,publishedAt,dayOfWeek,season,views,likes,comments,engagment
vTubers,UC_vMYWcDjmfdpH6r4TTn1MQ,1110000,君にしか読めない手紙 / 風真いろは(official),MV,176,2025-07-01T09:00:06Z,Tuesday,Summer,211461,17655,1089,0.08864045852426689
vTubers,UC_vMYWcDjmfdpH6r4TTn1MQ,1110000,心予報 - Eve / Covered by 風真いろは×AZKi,Cover,202,2025-03-15T09:00:06Z,Saturday,Spring,1033058,36102,1033,0.035946674823678824
vTubers,UC_vMYWcDjmfdpH6r4TTn1MQ,1110000,ジェヘナ - wotaku / Covered by 風真いろは×沙花叉クロヱ,Cover,250,2025-01-26T10:01:45Z,Sunday,Winter,604948,31926,1466,0.055198132732069534
vTubers,UC_vMYWcDjmfdpH6r4TTn1MQ,1110000,ハードモード/ 風真いろは(official),MV,170,2024-11-30T12:25:06Z,Saturday,Fall,1123274,38185,1233,0.0350920612424039
vTubers,UC_vMYWcDjmfdpH6r4TTn1MQ,1110000,Dreamy Sky/ 風真いろは(official),MV,216,2024-06-18T13:05:07Z,Tuesday,Summer,586316,25254,826,0.0444811330408858
vTubers,UC_vMYWcDjmfdpH6r4TTn1MQ,1110000,魔法少女まじかる☆ござる/ 風真いろは(official),MV,225,2024-06-13T12:00:07Z,Thursday,Summer,806006,38239,1467,0.04926266057572772
vTubers,UC_vMYWcDjmfdpH6r4TTn1MQ,1110000,風を仰ぎし麗容な / 風真いろは(official),MV,227,2024-06-11T12:00:07Z,Tuesday,Summer,1685983,54494,1682,0.03331943441897101
vTubers,UC_vMYWcDjmfdpH6r4TTn1MQ,1110000,右肩の蝶 - のりP / Covered by  風真いろは×鷹嶺ルイ,Cover,266,2024-04-11T10:00:07Z,Thursday,Spring,1897805,33484,388,0.017847987543504206
vTubers,UC_vMYWcDjmfdpH6r4TTn1MQ,1110000,にんじゃりばんばん - きゃりーぱみゅぱみゅ / Covered by  風真いろは,Cover,265,2024-04-01T10:00:06Z,Monday,Spring,2995464,69679,2372,0.024053368693464517
vTubers,UC_vMYWcDjmfdpH6r4TTn1MQ,1110000,絶対敵対メチャキライヤー - メドミア / Covered by  風真いろは×ラプラス・ダークネス,Cover,163,2024-03-11T10:00:07Z,Monday,Spring,2474771,40678,860,0.016784583300838745
vTubers,UC_vMYWcDjmfdpH6r4TTn1MQ,1110000,【3D】MY舞☆TONIGHT 推しカメラver 風真いろは#HoshimaticProject,Cover,280,2024-01-11T10:00:09Z,Thursday,Winter,156733,9718,198,0.06326682957641339
vTubers,UC_vMYWcDjmfdpH6r4TTn1MQ,1110000,【3D】ショウタイム・ルーラー 推しカメラver 風真いろは#HoshimaticProject,Cover,243,2024-01-10T10:00:10Z,Wednesday,Winter,594860,21763,400,0.03725750596779074
vTubers,UC_vMYWcDjmfdpH6r4TTn1MQ,1110000,撫でんな - 柊マグネタイト / 風真いろは(cover),Cover,188,2023-12-30T09:00:09Z,Saturday,Winter,687531,19358,419,0.028765248403344722
