style,channelId,channelSubs,title,type,duration_sec,publishedAt,dayOfWeek,season,views,likes,comments,engagment
vTubers,UCs9_O1tRPMQTHQ-N_L6FU2g,1090000,ZIG-ZAG / 鷹嶺ルイ(official),MV,212,2025-06-11T12:00:06Z,Wednesday,Summer,680413,34257,678,0.051343816182230495
vTubers,UCs9_O1tRPMQTHQ-N_L6FU2g,1090000,シャンティ(SHANTI) / 鷹嶺ルイ(cover)【歌ってみた】,Cover,164,2025-05-10T11:05:06Z,Saturday,Spring,178289,15329,301,0.08766665357930102
vTubers,UCs9_O1tRPMQTHQ-N_L6FU2g,1090000,チョコカノ-N.mix- / 猫又おかゆ×鷹嶺ルイ (cover),Cover,244,2025-03-14T12:05:06Z,Friday,Spring,218218,11286,215,0.052704176557387565
vTubers,UCs9_O1tRPMQTHQ-N_L6FU2g,1090000,鷹嶺ルイ Acoustic Cover Album『Lieblings』クロスフェード,Cover,160,2025-03-03T11:06:19Z,Monday,Spring,123845,3792,113,0.03153134967095967
vTubers,UCs9_O1tRPMQTHQ-N_L6FU2g,1090000,さよーならまたいつか！ / 鷹嶺ルイ(cover)【歌ってみた】,Cover,208,2025-01-28T10:00:06Z,Tuesday,Winter,643904,23003,540,0.03656290378689991
vTubers,UCs9_O1tRPMQTHQ-N_L6FU2g,1090000,ファタール / 鷹嶺ルイ×Ren Zotto (cover),Cover,219,2024-12-30T09:00:06Z,Monday,Winter,533003,30489,465,0.058074720029718405
vTubers,UCs9_O1tRPMQTHQ-N_L6FU2g,1090000,モエチャッカファイア / 鷹嶺ルイ(cover)【歌ってみた】,Cover,156,2024-12-23T10:00:06Z,Monday,Winter,1659925,44077,866,0.02707531966805729
vTubers,UCs9_O1tRPMQTHQ-N_L6FU2g,1090000,絶対零度 / 鷹嶺ルイ×緑仙 (cover),Cover,199,2024-11-27T12:00:06Z,Wednesday,Fall,363823,16410,238,0.04575851444246241
vTubers,UCs9_O1tRPMQTHQ-N_L6FU2g,1090000,ずうっといっしょ！ / 鷹嶺ルイ(cover)【歌ってみた】,Cover,182,2024-11-01T10:00:06Z,Friday,Fall,272629,13199,189,0.04910702823250645
vTubers,UCs9_O1tRPMQTHQ-N_L6FU2g,1090000,Tori To Re:TreaT / 鷹嶺ルイ(official),MV,184,2024-10-30T10:15:06Z,Wednesday,Fall,527876,19636,353,0.037866847517219956
vTubers,UCs9_O1tRPMQTHQ-N_L6FU2g,1090000,虚ろを扇ぐ / 星街すいせい×Axel Syrios×鷹嶺ルイ×星川サラ×不破湊 (cover),Cover,210,2024-08-07T10:00:07Z,Wednesday,Summer,1536927,58804,1288,0.039098799097159465
vTubers,UCs9_O1tRPMQTHQ-N_L6FU2g,1090000,ひみつのおしごと / 鷹嶺ルイ(official),MV,186,2024-07-12T10:00:08Z,Friday,Summer,1140496,28915,443,0.025741431798094863
vTubers,UCs9_O1tRPMQTHQ-N_L6FU2g,1090000,【 迷宮なラビリンス 】#鷹嶺ルイ生誕バンドLIVE でholoX集合してみた♪【ホロライブ】,Live,221,2024-06-12T10:00:07Z,Wednesday,Summer,184269,8783,149,0.048472613407572626
vTubers,UCs9_O1tRPMQTHQ-N_L6FU2g,1090000,魔眼ウインク / 鷹嶺ルイ(official),MV,211,2024-06-11T12:05:07Z,Tuesday,Summer,3905762,66058,965,0.01716003176844877
vTubers,UCs9_O1tRPMQTHQ-N_L6FU2g,1090000,シド「モノクロのキス」 / 鷹嶺ルイ(cover)【歌ってみた】,Cover,238,2024-05-11T12:00:09Z,Saturday,Spring,383495,17053,322,0.045306979230498444
vTubers,UCs9_O1tRPMQTHQ-N_L6FU2g,1090000,ダーリン - 須田景凪 / 鷹嶺ルイ(cover)【歌ってみた】,Cover,149,2024-03-14T10:00:07Z,Thursday,Spring,511609,18647,252,0.03694031965817646
vTubers,UCs9_O1tRPMQTHQ-N_L6FU2g,1090000,【original MV】パラサイト / 鷹嶺ルイ(cover),MV,168,2024-02-14T09:00:10Z,Wednesday,Winter,543837,19784,329,0.03698350792608815
vTubers,UCs9_O1tRPMQTHQ-N_L6FU2g,1090000,【公式アンバサダーが歌ってみた】HIGHEST - OxT / 鷹嶺ルイ(cover),Cover,215,2024-01-05T11:00:08Z,Friday,Winter,637641,24632,458,0.03934815985797651
vTubers,UCs9_O1tRPMQTHQ-N_L6FU2g,1090000,"【カゲマス公式描き下ろしイラスト】Darling in the Night / 桃鈴ねね,鷹嶺ルイ(cover)",Cover,252,2023-12-27T12:00:06Z,Wednesday,Winter,333500,16900,227,0.051355322338830584
vTubers,UCs9_O1tRPMQTHQ-N_L6FU2g,1090000,ホロホーク / 鷹嶺ルイ(official),MV,209,2023-11-27T13:05:11Z,Monday,Fall,10845452,119483,2243,0.011223690815283679
vTubers,UCs9_O1tRPMQTHQ-N_L6FU2g,1090000,ジレンマ / 鷹嶺ルイ(cover),Cover,171,2023-09-16T12:00:07Z,Saturday,Fall,336403,13768,206,0.041539463084455254
vTubers,UCs9_O1tRPMQTHQ-N_L6FU2g,1090000,デーモンロード / 鷹嶺ルイ(cover),Cover,159,2023-07-30T10:30:09Z,Sunday,Summer,1088861,29195,364,0.027146715696493857
vTubers,UCs9_O1tRPMQTHQ-N_L6FU2g,1090000,【プロセカ】にっこり^^調査隊のテーマ　VTuberが歌って踊ってみた　定点カメラver.【ホロライブ】,Cover,123,2023-07-25T09:00:10Z,Tuesday,Summer,1367295,49658,1205,0.03719972646722178
vTubers,UCs9_O1tRPMQTHQ-N_L6FU2g,1090000,ラヴィ / 鷹嶺ルイ(cover),Cover,180,2023-07-01T09:00:10Z,Saturday,Summer,914787,27497,370,0.030462829052008828
vTubers,UCs9_O1tRPMQTHQ-N_L6FU2g,1090000,TSUBASA / 鷹嶺ルイ(official),MV,217,2023-06-21T09:00:08Z,Wednesday,Summer,458473,20888,600,0.04686862694204457
vTubers,UCs9_O1tRPMQTHQ-N_L6FU2g,1090000,ばかばっか / 鷹嶺ルイ(official),MV,167,2023-06-11T13:00:09Z,Sunday,Summer,4100929,92669,1412,0.02294138718324555
vTubers,UCs9_O1tRPMQTHQ-N_L6FU2g,1090000,KICK BACK / 鷹嶺ルイ(cover),Cover,196,2023-06-01T09:00:09Z,Thursday,Summer,1372087,44760,519,0.03300009401736187
vTubers,UCs9_O1tRPMQTHQ-N_L6FU2g,1090000,【推しカメラ】LOVEマシーン - Lui ver #鷹嶺ルイ1周年LIVE【hololive/鷹嶺ルイ】,Cover,306,2023-01-13T09:00:30Z,Friday,Winter,106069,5754,149,0.05565245264874751
vTubers,UCs9_O1tRPMQTHQ-N_L6FU2g,1090000,【推しカメラ】制服のマネキン - Lui ver #鷹嶺ルイ1周年LIVE【hololive/鷹嶺ルイ】,Cover,266,2023-01-09T04:57:44Z,Monday,Winter,84405,5590,141,0.0678988211598839
vTubers,UCs9_O1tRPMQTHQ-N_L6FU2g,1090000,【推しカメラ】いじめっ子 Bully - Lui ver #鷹嶺ルイ1周年LIVE【hololive/鷹嶺ルイ】,Cover,247,2022-12-11T10:24:30Z,Sunday,Winter,130389,10654,254,0.08365736373467086
vTubers,UCs9_O1tRPMQTHQ-N_L6FU2g,1090000,エゴロック(long ver.) / 鷹嶺ルイ(cover),Cover,173,2022-11-27T13:00:10Z,Sunday,Fall,2535960,43916,664,0.01757914162683954
vTubers,UCs9_O1tRPMQTHQ-N_L6FU2g,1090000,ジャックポットサッドガール / holoX (cover),Cover,188,2022-10-31T09:00:09Z,Monday,Fall,3553400,68496,888,0.019526087690662466
vTubers,UCs9_O1tRPMQTHQ-N_L6FU2g,1090000,シカバネーゼ / 鷹嶺ルイ(cover),Cover,258,2022-09-28T11:00:13Z,Wednesday,Fall,815262,25152,386,0.0313248992348472
vTubers,UCs9_O1tRPMQTHQ-N_L6FU2g,1090000,QUEEN / 鷹嶺ルイ(cover),Cover,144,2022-08-30T10:00:13Z,Tuesday,Summer,1358066,44969,519,0.03349469024333133
vTubers,UCs9_O1tRPMQTHQ-N_L6FU2g,1090000,オーバード / 鷹嶺ルイ(official),MV,201,2022-07-28T10:45:10Z,Thursday,Summer,10107782,144221,2540,0.014519604795592148
vTubers,UCs9_O1tRPMQTHQ-N_L6FU2g,1090000,キミソラキセキ / 鷹嶺ルイ(cover),Cover,308,2022-06-21T12:15:12Z,Tuesday,Summer,625405,25705,443,0.04180970730966334
vTubers,UCs9_O1tRPMQTHQ-N_L6FU2g,1090000,夜撫でるメノウ / 鷹嶺ルイ(cover),Cover,267,2022-05-30T10:00:13Z,Monday,Spring,1100153,27821,354,0.025610074235129114
vTubers,UCs9_O1tRPMQTHQ-N_L6FU2g,1090000,プロローグ / 鷹嶺ルイ(cover),Cover,301,2022-04-22T09:00:12Z,Friday,Spring,1101427,34960,550,0.032239994116723125
vTubers,UCs9_O1tRPMQTHQ-N_L6FU2g,1090000,フクロウさん / 鷹嶺ルイ(cover),Cover,181,2022-03-25T09:00:12Z,Friday,Spring,2749805,51124,691,0.018843154332761777
vTubers,UCs9_O1tRPMQTHQ-N_L6FU2g,1090000,アイデンティティ / 猫又おかゆ＆鷹嶺ルイ(cover),Cover,157,2022-03-06T13:15:12Z,Sunday,Spring,5692085,94427,952,0.016756425808820495
vTubers,UCs9_O1tRPMQTHQ-N_L6FU2g,1090000,MIRA / 鷹嶺ルイ(cover),Cover,141,2022-02-28T09:30:12Z,Monday,Winter,1397367,43461,595,0.031527866337189875
vTubers,UCs9_O1tRPMQTHQ-N_L6FU2g,1090000,フォニイ / 鷹嶺ルイ(cover),Cover,189,2022-01-31T09:30:10Z,Monday,Winter,1109744,38379,542,0.03507205265358497
vTubers,UCs9_O1tRPMQTHQ-N_L6FU2g,1090000,ラブカ？ / 鷹嶺ルイ(cover),Cover,186,2021-12-30T09:30:14Z,Thursday,Winter,3939693,100604,1649,0.025954560418794053
vTubers,UCs9_O1tRPMQTHQ-N_L6FU2g,1090000,EYE / 鷹嶺ルイ(cover),Cover,135,2021-11-27T13:15:28Z,Saturday,Fall,3165084,102435,1826,0.032940989875782124
