style,channelId,channelSubs,title,type,duration_sec,publishedAt,dayOfWeek,season,views,likes,comments,engagment
vTubers,UCqHgN9V9RFFH1C2TpwdF5Ig,65800,送給你的- 響Hibiki【Cover】,Cover,345,2025-04-27T15:10:06Z,Sunday,Spring,96231,5912,740,0.0691253338321331
vTubers,UCqHgN9V9RFFH1C2TpwdF5Ig,65800,求救訊號 - 響Hibiki【Cover】,Cover,238,2024-12-22T16:15:06Z,Sunday,Winter,241445,6842,184,0.02909979498436497
vTubers,UCqHgN9V9RFFH1C2TpwdF5Ig,65800,響念 Missing -響Hibiki【Official Music Video】,MV,216,2024-11-17T16:00:06Z,Sunday,Fall,247615,5882,209,0.02459867132443511
vTubers,UCqHgN9V9RFFH1C2TpwdF5Ig,65800,I Ain't Worried- 響Hibiki【Cover】,Cover,157,2024-02-26T14:15:10Z,Monday,Winter,57385,2179,107,0.039836194127385205
vTubers,UCqHgN9V9RFFH1C2TpwdF5Ig,65800,Adamas- 響Hibiki【Cover】,Cover,230,2023-12-10T16:25:11Z,Sunday,Winter,54434,2391,95,0.0456699856707205
vTubers,UCqHgN9V9RFFH1C2TpwdF5Ig,65800,Perfect- 響Hibiki【Cover】,Cover,290,2023-10-17T17:00:09Z,Tuesday,Fall,56295,2280,93,0.042152944311217695
vTubers,UCqHgN9V9RFFH1C2TpwdF5Ig,65800,Ex's and Oh's 前男友們- 響Hibiki ft. 浠Mizuki【Cover】,Cover,249,2023-07-30T12:00:10Z,Sunday,Summer,82549,2849,60,0.03523967582890162
vTubers,UCqHgN9V9RFFH1C2TpwdF5Ig,65800,Believer- 響Hibiki【Cover】,Cover,257,2023-06-18T11:55:11Z,Sunday,Summer,74366,2663,86,0.036965817712395446
vTubers,UCqHgN9V9RFFH1C2TpwdF5Ig,65800,クネクネ(Wiggle Wiggle)- 響Hibiki ft. 厄倫蒂兒【Cover】,Cover,213,2023-05-13T12:50:09Z,Saturday,Spring,295525,4549,64,0.015609508501818798
vTubers,UCqHgN9V9RFFH1C2TpwdF5Ig,65800,再会 (SAIKAI)- 響Hibiki ft. 柴崎楓音【Cover】,Cover,241,2023-04-06T14:30:09Z,Thursday,Spring,353775,5124,132,0.01485690057239771
vTubers,UCqHgN9V9RFFH1C2TpwdF5Ig,65800,シンデレラ・パラドックス(仙杜瑞拉悖論) - 響Hibiki【Cover】,Cover,297,2023-03-14T11:15:08Z,Tuesday,Spring,34148,1220,40,0.03689820780133536
vTubers,UCqHgN9V9RFFH1C2TpwdF5Ig,65800,Kill This Love- 響Hibiki ft. 浠Mizuki、汐Seki 、KSP【Cover】,Cover,196,2023-02-18T11:00:07Z,Saturday,Winter,459791,8870,217,0.01976332725085963
vTubers,UCqHgN9V9RFFH1C2TpwdF5Ig,65800,言って。(Say it) - 響Hibiki【Cover】,Cover,249,2023-01-29T12:00:06Z,Sunday,Winter,191484,4116,108,0.022059284326627814
vTubers,UCqHgN9V9RFFH1C2TpwdF5Ig,65800,17さいのうた。 - 響Hibiki ft. 汐Seki 【Cover】,Cover,319,2023-01-07T12:00:10Z,Saturday,Winter,252706,4529,189,0.018669916820336675
vTubers,UCqHgN9V9RFFH1C2TpwdF5Ig,65800,ロキ/Roki - Covered by Hibiki,Cover,239,2022-12-22T12:00:08Z,Thursday,Winter,253849,5976,145,0.02411275994784301
