style,channelId,channelSubs,title,type,duration_sec,publishedAt,dayOfWeek,season,views,likes,comments,engagment
vTubers,UCk-n2qPASA48IPgtYAsLYJg,57200,【One take cover】Huntrix - Golden ( from KPop Demon Hunters )｜玥Itsuki,Cover,195,2025-06-30T12:00:04Z,Monday,Summer,66418,5042,196,0.07886416332921799
vTubers,UCk-n2qPASA48IPgtYAsLYJg,57200,【One take cover】Clair Obscur: Expedition 33 - Lumière｜玥Itsuki,Cover,224,2025-06-04T12:00:07Z,Wednesday,Summer,15092,1170,110,0.08481314603763583
vTubers,UCk-n2qPASA48IPgtYAsLYJg,57200,Billie Eilish - BIRDS OF A FEATHER Covered by 玥Itsuki,Cover,210,2025-05-24T13:15:26Z,Saturday,Spring,118808,2825,150,0.025040401319776445
vTubers,UCk-n2qPASA48IPgtYAsLYJg,57200,【歌ってみた】名前のない怪物 - Covered by 玥Itsuki,Cover,317,2025-02-06T14:10:06Z,Thursday,Winter,81107,3804,150,0.04875041611698127
vTubers,UCk-n2qPASA48IPgtYAsLYJg,57200,【官方歌回純享】高橋洋子 - 残酷な天使のテーゼ coverd by 玥Itsuki,Cover,241,2025-01-22T12:00:44Z,Wednesday,Winter,22928,1371,79,0.06324145150034892
vTubers,UCk-n2qPASA48IPgtYAsLYJg,57200,Marcus King - Sucker（From Arcane Season 2 ) Covered by 玥Itsuki,Cover,226,2025-01-10T12:00:06Z,Friday,Winter,439381,11444,263,0.026644301870130935
vTubers,UCk-n2qPASA48IPgtYAsLYJg,57200,【One take cover】The Line(From Arcane Season2)｜玥Itsuki,Cover,192,2024-12-07T10:30:01Z,Saturday,Winter,111084,4764,179,0.04449785747722444
vTubers,UCk-n2qPASA48IPgtYAsLYJg,57200,【玥Itsuki】情緒廢物 Emotional Waste（Official Music Video）,MV,193,2024-11-24T13:23:06Z,Sunday,Fall,248149,7334,253,0.030574372655138647
vTubers,UCk-n2qPASA48IPgtYAsLYJg,57200,【歌ってみた】INSANE (A Hazbin Hotel Song) Covered by 玥Itsuki,Cover,163,2024-11-16T12:00:09Z,Saturday,Fall,269762,8052,194,0.03056768558951965
vTubers,UCk-n2qPASA48IPgtYAsLYJg,57200,【扉暮IANVS 】暮光 Gloaming Light（Official Music Video）,MV,226,2024-11-08T12:00:06Z,Friday,Fall,240847,6407,189,0.02738668117103389
vTubers,UCk-n2qPASA48IPgtYAsLYJg,57200,【歌ってみた】ロウワー Covered by 玥Itsuki × 祈Iruni @IruniIanvs,Cover,227,2024-10-20T12:00:06Z,Sunday,Fall,99111,3955,101,0.04092381269485728
vTubers,UCk-n2qPASA48IPgtYAsLYJg,57200,【歌ってみた】Always Remember Us This Way(A Star Is Born) - Covered by 玥Itsuki,Cover,208,2024-10-08T12:00:22Z,Tuesday,Fall,130254,4760,182,0.03794125324366238
vTubers,UCk-n2qPASA48IPgtYAsLYJg,57200,【歌ってみた】悪魔の子 (Akuma no Ko) Covered by 玥Itsuki,Cover,229,2024-09-23T12:00:21Z,Monday,Fall,330545,8816,223,0.027345747175119877
