style,channelId,channelSubs,title,type,duration_sec,publishedAt,dayOfWeek,season,views,likes,comments,engagment
vTubers,UCjv4bfP_67WLuPheS-Z8Ekg,214000,ブルーアンビエンス / 浠Mizuki & sazki@sazkich 【歌ってみた】,Cover,248,2025-07-30T11:00:07Z,Wednesday,Summer,5998,845,48,0.14888296098699566
vTubers,UCjv4bfP_67WLuPheS-Z8Ekg,214000,Stardust Memory / 浠Mizuki【歌ってみた】,Cover,200,2025-07-23T13:00:06Z,Wednesday,Summer,13671,1460,80,0.11264720942140297
vTubers,UCjv4bfP_67WLuPheS-Z8Ekg,214000,Luminous -冬明けのボヤージュ- / 浠Mizuki【Official Music Video】,MV,267,2025-07-20T11:00:07Z,Sunday,Summer,27781,2049,121,0.07811093913106079
vTubers,UCjv4bfP_67WLuPheS-Z8Ekg,214000,演唱會主題曲打Call教學！要仔細看喔！⭐ #Luminous ⭐#Mizuki1stSoloLive,Live,165,2025-07-11T04:34:38Z,Friday,Summer,15026,1674,68,0.1159323838679622
vTubers,UCjv4bfP_67WLuPheS-Z8Ekg,214000,AMPRULE - Do as I say  / 浠Mizuki & 阿爾法德Alphard【歌ってみた】,Cover,181,2025-07-08T15:05:06Z,Tuesday,Summer,5182,686,26,0.13739868776534156
vTubers,UCjv4bfP_67WLuPheS-Z8Ekg,214000,【三周年以心伝心】Everything Has Changed【浠Mizuki/契夏/菲尼拉比】,Cover,267,2025-06-21T07:03:31Z,Saturday,Summer,1207,161,6,0.1383595691797846
vTubers,UCjv4bfP_67WLuPheS-Z8Ekg,214000,【10人合唱】僥倖ダンス【歌ってみた】,Cover,257,2025-06-08T14:45:08Z,Sunday,Summer,7387,810,35,0.11439014484905916
vTubers,UCjv4bfP_67WLuPheS-Z8Ekg,214000,星街の駅で Piano ver. / 浠Mizuki & 久田はくぜん【歌ってみた】,Cover,269,2025-05-30T14:10:06Z,Friday,Spring,28241,1217,31,0.04419106972132715
vTubers,UCjv4bfP_67WLuPheS-Z8Ekg,214000,絕頂讚歌 / 浠Mizuki【歌ってみた】,Cover,183,2025-05-18T12:05:07Z,Sunday,Spring,111329,3443,74,0.031591049951046
vTubers,UCjv4bfP_67WLuPheS-Z8Ekg,214000,【母親節Cover】ホントノワタシ / 浠Mizuki【感謝を込めて歌ってみた】,Cover,314,2025-05-10T13:23:06Z,Saturday,Spring,14397,1190,30,0.08473987636313121
vTubers,UCjv4bfP_67WLuPheS-Z8Ekg,214000,ガールズトーク / 浠Mizuki & 水縹そまる & 克蕾Cray & 流川莉蘿【歌ってみた】,Cover,218,2025-05-08T16:50:06Z,Thursday,Spring,17592,997,24,0.05803774442928604
vTubers,UCjv4bfP_67WLuPheS-Z8Ekg,214000,【8人合唱】Mr.シャーデンフロイデ【歌ってみた】,Cover,249,2025-05-03T14:30:06Z,Saturday,Spring,16685,1316,49,0.08181000899011087
vTubers,UCjv4bfP_67WLuPheS-Z8Ekg,214000,雲を裂け / 浠Mizuki & 水縹そまる【歌ってみた】,Cover,265,2025-05-01T14:45:06Z,Thursday,Spring,20169,1290,45,0.06619068868064852
vTubers,UCjv4bfP_67WLuPheS-Z8Ekg,214000,ふたりごと / 浠Mizuki & 響Hibiki【歌ってみた】,Cover,287,2025-04-26T12:00:06Z,Saturday,Spring,55606,2613,61,0.04808833579110168
vTubers,UCjv4bfP_67WLuPheS-Z8Ekg,214000,おもかげ / 浠Mizuki & 響Hibiki & 澪Rei【歌ってみた】,Cover,189,2025-04-23T16:40:07Z,Wednesday,Spring,120155,3543,82,0.030169364570762764
vTubers,UCjv4bfP_67WLuPheS-Z8Ekg,214000,At All Costs / 浠Mizuki & 利卡洛斯LiKaRuZ【Cover】,Cover,206,2025-04-05T15:30:07Z,Saturday,Spring,41151,2660,103,0.06714296128891158
vTubers,UCjv4bfP_67WLuPheS-Z8Ekg,214000,闖空門 In And Out / 浠Mizuki & 半點Edrain【翻唱Cover】,Cover,236,2025-03-19T14:30:05Z,Wednesday,Spring,6415,597,14,0.09524551831644583
vTubers,UCjv4bfP_67WLuPheS-Z8Ekg,214000,【三周年以心伝心】所念皆星河【浠Mizuki/紗羅/Slivers次元鋼琴家/安子anz./心咲KOE/星見遙/水縹そまる】,Cover,271,2025-03-05T12:16:35Z,Wednesday,Spring,3467,319,12,0.09547158927026247
vTubers,UCjv4bfP_67WLuPheS-Z8Ekg,214000,【絕區零最愛的歌姬】 耀嘉音 - 樂園遊夢記 / 浠Mizuki【粵語Cover挑戰！】,Cover,186,2025-03-01T16:30:07Z,Saturday,Spring,15322,1090,35,0.07342383500848453
vTubers,UCjv4bfP_67WLuPheS-Z8Ekg,214000,Say So / 浠Mizuki & 歐妲@OldaMonstar 【Cover】,Cover,236,2025-02-16T13:00:06Z,Sunday,Winter,22042,1403,31,0.06505761727610924
vTubers,UCjv4bfP_67WLuPheS-Z8Ekg,214000,海洋奇緣2 - Get Lost 迷途 / 浠Mizuki Cover,Cover,183,2025-01-17T12:50:06Z,Friday,Winter,7596,612,18,0.08293838862559241
vTubers,UCjv4bfP_67WLuPheS-Z8Ekg,214000,セカイシックに少年少女 / 浠Mizuki & 澪Rei【歌ってみた】,Cover,222,2025-01-11T14:35:07Z,Saturday,Winter,49351,1724,28,0.03550080038904987
