style,channelId,channelSubs,title,type,duration_sec,publishedAt,dayOfWeek,season,views,likes,comments,engagment
vTubers,UCbTv4OeHE9p1akLhKfgW8WQ,84400,"KPop Demon Hunters - ""Free"" - Rumi & Jinu / 澪Rei、玥Itsuki【Cover】",Cover,187,2025-07-24T14:15:06Z,Thursday,Summer,75009,5099,129,0.06969830287032223
vTubers,UCbTv4OeHE9p1akLhKfgW8WQ,84400,アイモライモ - tuki. / 澪Rei【2025生日紀念Cover】,Cover,254,2025-06-21T13:30:36Z,Saturday,Summer,126778,3687,206,0.030707220495669596
vTubers,UCbTv4OeHE9p1akLhKfgW8WQ,84400,你的行李 - 謝震廷 feat. 徐靖玟 / 澪Rei ft. @煌Kirali 【Cover】,Cover,245,2025-05-25T14:48:17Z,Sunday,Spring,171811,4439,177,0.026866731466553363
vTubers,UCbTv4OeHE9p1akLhKfgW8WQ,84400,跳樓機 - LBI利比 / 澪Rei【半首Cover】,Cover,122,2025-04-07T11:31:49Z,Monday,Spring,253750,6419,237,0.02623054187192118
vTubers,UCbTv4OeHE9p1akLhKfgW8WQ,84400,Reizy - 澪Rei【Official Music Video】,MV,217,2025-01-23T15:23:31Z,Thursday,Winter,112679,3192,95,0.029171362898144287
vTubers,UCbTv4OeHE9p1akLhKfgW8WQ,84400,煦日 Apricity  - 澪Rei【Official Music Video】,MV,257,2025-01-04T15:20:06Z,Saturday,Winter,212631,4661,165,0.02269659645112895
vTubers,UCbTv4OeHE9p1akLhKfgW8WQ,84400,-ERROR - niki / 澪Rei、玥Itsuki【Cover】Feat. @ringbandtw,Cover,247,2024-11-18T12:03:22Z,Monday,Fall,184777,5081,142,0.02826650503038798
vTubers,UCbTv4OeHE9p1akLhKfgW8WQ,84400,もう少しだけ - YOASOBI / 澪Rei【2024生日紀念Cover】,Cover,227,2024-06-21T18:17:23Z,Friday,Summer,166780,3607,177,0.022688571771195588
vTubers,UCbTv4OeHE9p1akLhKfgW8WQ,84400,Diamond City Lights - LazuLight / 澪Rei ft. 浠Mizuki、煌Kirali【Cover】,Cover,247,2024-04-03T15:00:06Z,Wednesday,Spring,325030,6126,116,0.019204381134049164
vTubers,UCbTv4OeHE9p1akLhKfgW8WQ,84400,星月夜 - 由薰 / 澪Rei【Cover】,Cover,271,2024-02-05T14:08:07Z,Monday,Winter,375865,4450,110,0.01213201548428292
vTubers,UCbTv4OeHE9p1akLhKfgW8WQ,84400,晴る - ヨルシカ / 澪Rei【Cover】,Cover,280,2024-01-12T14:15:25Z,Friday,Winter,359222,6279,130,0.01784133488483445
vTubers,UCbTv4OeHE9p1akLhKfgW8WQ,84400,漫夜 Sleepless - 澪Rei【Official Music Video】,MV,213,2023-11-10T13:35:10Z,Friday,Fall,708820,8577,182,0.012357156965096922
vTubers,UCbTv4OeHE9p1akLhKfgW8WQ,84400,パレード（Parade）- 澪Rei【Cover】,Cover,309,2023-10-28T11:00:11Z,Saturday,Fall,183188,3640,85,0.02033430137345241
vTubers,UCbTv4OeHE9p1akLhKfgW8WQ,84400,Moon River - 澪Rei【Cover】,Cover,223,2023-09-29T11:00:11Z,Friday,Fall,219942,4125,91,0.01916868992734448
vTubers,UCbTv4OeHE9p1akLhKfgW8WQ,84400,フクロウ ～フクロウが知らせる客が来たと～（Fukurou）/ Kokia - 澪Rei【Cover】,Cover,296,2023-09-03T11:00:11Z,Sunday,Fall,147234,4196,111,0.0292527541192931
vTubers,UCbTv4OeHE9p1akLhKfgW8WQ,84400,少女レイ（Shoujo Rei）- 澪Rei【Cover】,Cover,296,2023-08-11T11:00:10Z,Friday,Summer,252036,5790,180,0.02368709232014474
