style,channelId,channelSubs,title,type,duration_sec,publishedAt,dayOfWeek,season,views,likes,comments,engagment
vTubers,UCxI5FyblWfEVBJDbSwRPzyw,66600,チューリングラブ / 橙Yuzumi & 澪Rei (Cover)【歌ってみた】,Cover,221,2025-06-05T15:45:06Z,Thursday,Summer,87561,4286,124,0.05036488847774694
vTubers,UCxI5FyblWfEVBJDbSwRPzyw,66600,テトリス / 橙Yuzumi  (Cover)【歌ってみた】,Cover,143,2025-02-03T14:42:31Z,Monday,Winter,134509,4656,110,0.03543257328505899
vTubers,UCxI5FyblWfEVBJDbSwRPzyw,66600,七彩的微風 (Legend of Mermaid)  / 子午七人合唱 【Cover】,Cover,277,2024-12-31T15:00:06Z,Tuesday,Winter,276194,8745,253,0.032578549859881095
vTubers,UCxI5FyblWfEVBJDbSwRPzyw,66600,「僕は...」 / 橙Yuzumi 【歌ってみた】,Cover,244,2024-12-01T15:25:26Z,Sunday,Winter,242356,6089,181,0.02587103269570384
vTubers,UCxI5FyblWfEVBJDbSwRPzyw,66600,僕らの手には何もないけど / 霓NEO(n) 【歌ってみた】,Cover,253,2024-11-06T14:45:22Z,Wednesday,Fall,312386,6211,287,0.020801188273482166
vTubers,UCxI5FyblWfEVBJDbSwRPzyw,66600,粛聖!! ロリ神レクイエム☆ / 橙Yuzumi、響Hibiki 【歌ってみた】,Cover,281,2024-04-04T12:00:07Z,Thursday,Spring,66246,4150,142,0.064788817438034
vTubers,UCxI5FyblWfEVBJDbSwRPzyw,66600,勇者 / 橙Yuzumi 【歌ってみた】,Cover,200,2024-03-14T15:30:07Z,Thursday,Spring,236363,4247,89,0.01834466477409747
vTubers,UCxI5FyblWfEVBJDbSwRPzyw,66600,キスしちゃだめっ！／橙Yuzumi  【歌ってみた】,Cover,221,2023-12-01T15:45:11Z,Friday,Winter,105533,2579,118,0.02555598722674424
vTubers,UCxI5FyblWfEVBJDbSwRPzyw,66600,Beat Eater / 霓NEO(n) 【歌ってみた】,Cover,220,2023-10-21T11:00:09Z,Saturday,Fall,323170,4930,75,0.015487204876690287
vTubers,UCxI5FyblWfEVBJDbSwRPzyw,66600,食虫植物／橙Yuzumi 【歌ってみた】,Cover,165,2023-10-14T11:00:11Z,Saturday,Fall,197539,2893,73,0.015014756579713373
vTubers,UCxI5FyblWfEVBJDbSwRPzyw,66600,陽キャJKに憧れる陰キャJKの歌／橙Yuzumi ft.@KSPKSP 【歌ってみた】,Cover,182,2023-09-10T11:00:10Z,Sunday,Fall,223720,4285,92,0.01956463436438405
vTubers,UCxI5FyblWfEVBJDbSwRPzyw,66600,寄り酔い / 橙Yuzumi 【歌ってみた】,Cover,228,2023-08-05T11:00:10Z,Saturday,Summer,436816,6181,149,0.014491227427566755
