style,channelId,channelSubs,title,type,duration_sec,publishedAt,dayOfWeek,season,views,likes,comments,engagment
vTubers,UCR6qhsLpn62WVxCBK1dkLow,648000,我也曾經想過這樣殺了我自己 Once I Thought of Leaving (南西肯恩 NeciKen) cover by Fulgur Ovid × Enna Alouette,Cover,286,2025-05-05T18:00:06Z,Monday,Spring,690092,48442,1812,0.07282217443471305
vTubers,UCR6qhsLpn62WVxCBK1dkLow,648000,GETCHA (GIGA・KIRA) ver. Enna Alouette × Alban Knox,Cover,231,2025-01-01T16:00:06Z,Wednesday,Winter,623906,29602,458,0.04818033485813568
vTubers,UCR6qhsLpn62WVxCBK1dkLow,648000,カガリビト (millstones) ver. Enna Alouette,Cover,310,2024-10-11T00:00:07Z,Friday,Fall,245159,12999,264,0.054099584351380126
vTubers,UCR6qhsLpn62WVxCBK1dkLow,648000,"zuttomo (original song) Enna Alouette × keiki. (ft. Millie Parfait, Reimu Endou & Petra Gurin)",MV,275,2024-07-21T01:00:06Z,Sunday,Summer,162992,12501,340,0.07878300775498184
vTubers,UCR6qhsLpn62WVxCBK1dkLow,648000,ETHYRIA // TRUE.END (original song) Enna Alouette × keiki × Patterns,MV,274,2023-10-15T01:00:09Z,Sunday,Fall,2088083,78918,1397,0.03846350935283703
vTubers,UCR6qhsLpn62WVxCBK1dkLow,648000,Mushroom (original song) Enna Alouette × keiki,MV,354,2023-08-18T04:00:10Z,Friday,Summer,1641857,66784,1791,0.041766731207407225
vTubers,UCR6qhsLpn62WVxCBK1dkLow,648000,神っぽいな (God-ish) ver. Enna Alouette,Cover,204,2023-02-21T02:00:10Z,Tuesday,Winter,7429663,166554,2291,0.022725795234588703
vTubers,UCR6qhsLpn62WVxCBK1dkLow,648000,酔いどれ知らず (Yoidore Shirazu) ver. Enna Alouette,Cover,137,2022-11-27T17:00:11Z,Sunday,Fall,5462013,116892,1346,0.021647330388997608
vTubers,UCR6qhsLpn62WVxCBK1dkLow,648000,DEAR YOU ver. Enna Alouette ft. PrettyPatterns &  赤瀬とまと【#ひぐらし20周年】,Cover,218,2022-11-01T03:00:07Z,Tuesday,Fall,1167693,34336,755,0.030051563210535644
vTubers,UCR6qhsLpn62WVxCBK1dkLow,648000,ETHYRIA (original soundtrack) Enna Alouette × keiki,MV,188,2022-10-10T04:45:11Z,Monday,Fall,2186741,75895,2045,0.03564208106950023
vTubers,UCR6qhsLpn62WVxCBK1dkLow,648000,Ataraxia (PrettyPatterns) ver. Enna Alouette,Cover,145,2022-06-18T20:00:10Z,Saturday,Summer,792380,36268,675,0.04662283247936596
vTubers,UCR6qhsLpn62WVxCBK1dkLow,648000,Birds of Time (original song) Enna Alouette × PrettyPatterns,MV,170,2022-06-07T18:30:12Z,Tuesday,Summer,1970463,82161,2006,0.04271432653137867
vTubers,UCR6qhsLpn62WVxCBK1dkLow,648000,LOVE SPACE (山下 達郎) ver. Enna Alouette | NIJISANJI EN,Cover,268,2022-03-05T17:00:11Z,Saturday,Spring,3340239,81956,1793,0.025072756769800007
vTubers,UCR6qhsLpn62WVxCBK1dkLow,648000,【KING】ver. Enna Alouette,Cover,135,2022-01-16T04:15:08Z,Sunday,Winter,2551862,88153,1649,0.03519077442275483
vTubers,UCR6qhsLpn62WVxCBK1dkLow,648000,Diamond City Lights SPOOK (A CAPELLA) ver. Enna Alouette,Cover,180,2021-11-12T05:30:10Z,Friday,Fall,495179,32330,537,0.06637397789486227
vTubers,UCR6qhsLpn62WVxCBK1dkLow,648000,【ORIGINAL SONG】Wish of this Songbird・鳥の願い【NIJISANJI EN | Enna Alouette】,MV,357,2021-10-24T01:00:10Z,Sunday,Fall,2021955,79099,1419,0.03982185558036653
