style,channelId,channelSubs,title,type,duration_sec,publishedAt,dayOfWeek,season,views,likes,comments,engagment
vTubers,UCu-J8uIXuLZh16gG-cT1naw,484000,サッドガール・セックス (Sad Girl Sex) / Finana Ryugu (Cover),Cover,191,2024-11-01T01:00:06Z,Friday,Fall,163031,10063,189,0.06288374603602996
vTubers,UCu-J8uIXuLZh16gG-cT1naw,484000,サイバーパンクデッドボーイ (CYBERPUNK DEAD BOY) / Finana × Claude × Shu × Meloco × Kotoka (Acapella Cover),Cover,225,2024-07-01T01:05:06Z,Monday,Summer,99854,8374,184,0.08570512948905402
vTubers,UCu-J8uIXuLZh16gG-cT1naw,484000,サイバーパンクデッドボーイ (CYBERPUNK DEAD BOY) / Finana × Claude × Shu × Meloco × Kotoka (Cover),Cover,225,2024-07-01T01:00:07Z,Monday,Summer,2095828,0,1294,0.0006174170781190059
vTubers,UCu-J8uIXuLZh16gG-cT1naw,484000,손을 잡아줘 (Hold my Hand) / Finana Ryugu (Cover),Cover,225,2024-03-26T23:00:07Z,Tuesday,Spring,59682,5247,187,0.09104922757280252
vTubers,UCu-J8uIXuLZh16gG-cT1naw,484000,Moon Halo - LazuLight (Honkai Impact 3rd COVER),Cover,206,2024-03-02T00:00:11Z,Saturday,Spring,575213,0,1541,0.0026790076024011977
vTubers,UCu-J8uIXuLZh16gG-cT1naw,484000,DISTANT - Finana Ryugu × Kyo Kaneko (ACAPELLA COVER),Cover,198,2024-02-11T01:37:11Z,Sunday,Winter,181068,17306,282,0.09713477809441756
vTubers,UCu-J8uIXuLZh16gG-cT1naw,484000,DISTANT - Finana Ryugu × Kyo Kaneko (Original MV),MV,198,2024-02-11T00:00:07Z,Sunday,Winter,4519991,103208,3508,0.023609781523901266
vTubers,UCu-J8uIXuLZh16gG-cT1naw,484000,サンドリヨン (Cendrillon) / Finana Ryugu × Sonny Brisko (ACAPELLA COVER),Cover,278,2024-01-13T00:31:44Z,Saturday,Winter,196275,18772,301,0.09717488218061393
vTubers,UCu-J8uIXuLZh16gG-cT1naw,484000,サンドリヨン (Cendrillon) / Finana Ryugu × Sonny Brisko (COVER),Cover,277,2024-01-12T23:00:06Z,Friday,Winter,2971588,85537,1469,0.029279294437856124
vTubers,UCu-J8uIXuLZh16gG-cT1naw,484000,TSUNAMI - Finana Ryugu (SynthV Cover),Cover,197,2023-09-27T00:00:06Z,Wednesday,Fall,83191,6717,119,0.08217235037443954
vTubers,UCu-J8uIXuLZh16gG-cT1naw,484000,UNSEISO - Finana Ryugu (Original MV),MV,214,2023-09-09T00:00:10Z,Saturday,Fall,496320,28567,673,0.05891360412637008
vTubers,UCu-J8uIXuLZh16gG-cT1naw,484000,忘れじの言の葉 Forgotten Words / Finana Ryugu (Cover),Cover,234,2023-08-01T00:00:09Z,Tuesday,Summer,936042,40282,570,0.043643340790263684
vTubers,UCu-J8uIXuLZh16gG-cT1naw,484000,恋愛裁判 Love Trial / Finana Ryugu ver.,Cover,224,2023-05-20T00:00:07Z,Saturday,Spring,570241,26345,377,0.046860888641819864
vTubers,UCu-J8uIXuLZh16gG-cT1naw,484000,Cyberangel / Finana Ryugu ver.,Cover,183,2023-02-20T02:00:08Z,Monday,Winter,214127,11118,234,0.05301526664082531
vTubers,UCu-J8uIXuLZh16gG-cT1naw,484000,サラマンダー Salamander / DECO*27 (Cover by Finana Ryugu),Cover,158,2022-12-18T03:00:09Z,Sunday,Winter,510142,30768,533,0.061357425971592224
vTubers,UCu-J8uIXuLZh16gG-cT1naw,484000,CH4NGE / Giga (Cover by Finana Ryugu),Cover,135,2022-07-15T23:00:11Z,Friday,Summer,1119476,43693,591,0.03955779311034806
vTubers,UCu-J8uIXuLZh16gG-cT1naw,484000,TSUNAMI - Finana Ryugu (Original MV),MV,197,2022-01-30T00:50:48Z,Sunday,Winter,6317204,135183,2697,0.021826111678521068
