style,channelId,channelSubs,title,type,duration_sec,publishedAt,dayOfWeek,season,views,likes,comments,engagment
vTubers,UCggO2c1unS-oLwTLT0ICywg,355000,私は、私達は - 歌ってみた【虎姫コトカ | にじさんじ EN】,Cover,241,2025-05-28T13:00:06Z,Wednesday,Spring,566375,37895,1505,0.06956521739130435
vTubers,UCggO2c1unS-oLwTLT0ICywg,355000,PAIN IS BEAUTY - 歌ってみた【虎姫コトカ | にじさんじ EN】,Cover,241,2025-05-25T11:00:06Z,Sunday,Spring,263355,16957,479,0.06620721079911146
vTubers,UCggO2c1unS-oLwTLT0ICywg,355000,【1周年記念 】シネマ - 歌ってみた 虎姫コトカ×ヴェール ヴァーミリオン×狂蘭メロコ×ヘックス へイワイヤー×ドッピオ ドロップサイト【にじさんじEN】,Cover,212,2023-12-10T02:00:07Z,Sunday,Winter,1769449,69334,1259,0.03989547028481748
vTubers,UCggO2c1unS-oLwTLT0ICywg,355000,唱 - 歌ってみた【虎姫コトカ | にじさんじ EN】,Cover,199,2023-09-18T11:30:08Z,Monday,Fall,2263883,78403,891,0.03502566166184383
vTubers,UCggO2c1unS-oLwTLT0ICywg,355000,トウキョウ・シャンディ・ランデヴ - 英語で歌ってみた【虎姫コトカ | にじさんじ EN】,Cover,184,2023-08-15T00:00:11Z,Tuesday,Summer,252741,11117,156,0.04460297300398432
vTubers,UCggO2c1unS-oLwTLT0ICywg,355000,デーモンロード - 歌ってみた【虎姫コトカ | にじさんじ EN】,Cover,159,2023-07-15T11:00:08Z,Saturday,Summer,474891,20230,298,0.04322676150948323
vTubers,UCggO2c1unS-oLwTLT0ICywg,355000,とても素敵な六月でした - 英語で歌ってみた【虎姫コトカ | にじさんじ EN】,Cover,285,2023-06-30T12:00:06Z,Friday,Summer,692955,27909,348,0.04077753966707795
vTubers,UCggO2c1unS-oLwTLT0ICywg,355000,アイドル - 歌ってみた【虎姫コトカ | にじさんじ EN】,Cover,213,2023-06-10T03:45:09Z,Saturday,Summer,829318,61683,913,0.07547888747139216
vTubers,UCggO2c1unS-oLwTLT0ICywg,355000,踊 - English Cover【Kotoka Torahime | NIJISANJI EN】,Cover,209,2023-05-07T12:00:08Z,Sunday,Spring,267244,17604,265,0.06686398946281301
vTubers,UCggO2c1unS-oLwTLT0ICywg,355000,HOLD IT DOWN - Kotoka Solo Version【Kotoka Torahime | NIJISANJI EN】,Cover,183,2023-02-11T02:00:06Z,Saturday,Winter,316090,20411,446,0.06598437153975134
vTubers,UCggO2c1unS-oLwTLT0ICywg,355000,G4L - English Cover【Kotoka Torahime | NIJISANJI EN】,Cover,181,2022-12-18T02:00:07Z,Sunday,Winter,1804920,67377,1143,0.03796290140283226
