style,channelId,channelSubs,title,type,duration_sec,publishedAt,dayOfWeek,season,views,likes,comments,engagment
vTubers,UCwaS8_S7kMiKA3izlTWHbQg,453000,【Dance&Singing Cover】Selfish Princess ♡ Wagamama Hime【Maria Marionette｜Nijisanji EN】,Cover,189,2025-07-20T12:00:06Z,Sunday,Summer,21220,3619,83,0.17445805843543827
vTubers,UCwaS8_S7kMiKA3izlTWHbQg,453000,Kira Kira Daydream ♡ Maria Marionette 【OFFICIAL MV】 Original Song,MV,133,2025-05-10T11:30:06Z,Saturday,Spring,31002,4311,170,0.14453906199600025
vTubers,UCwaS8_S7kMiKA3izlTWHbQg,453000,"【Fallin' Light - GFRIEND】Cover by Maria, Seffyna, Sister Claire, Opal, Uki & Tocci ♡NIJISANJI&VR♡",Cover,223,2025-04-27T07:00:06Z,Sunday,Spring,74537,7577,258,0.10511558018165475
vTubers,UCwaS8_S7kMiKA3izlTWHbQg,453000,iDOLL Pride ♡ Maria Marionette 【OFFICIAL MV】 Original Song,MV,218,2025-04-13T07:00:06Z,Sunday,Spring,36343,4545,187,0.13020389070797678
vTubers,UCwaS8_S7kMiKA3izlTWHbQg,453000,"【MAD SiCK SHOW - MAD MEDiCiNE】Cover by Maria, Finana, Kotoka, Meloco & Enna ♡NIJISANJI EＮ♡",Cover,214,2025-02-09T05:00:06Z,Sunday,Winter,68229,6411,158,0.09627870846707412
vTubers,UCwaS8_S7kMiKA3izlTWHbQg,453000,【Dance&Singing Cover】Cute Na Kanojo【Maria Marionette｜Nijisanji EN】,Cover,143,2025-02-02T07:54:54Z,Sunday,Winter,50465,5083,109,0.10288318636678886
vTubers,UCwaS8_S7kMiKA3izlTWHbQg,453000,【Dance&Singing Cover】Honeymoon Un Deux Trois【Maria Marionette｜Nijisanji EN】,Cover,249,2025-01-18T10:55:05Z,Saturday,Winter,74385,7329,92,0.09976473751428379
vTubers,UCwaS8_S7kMiKA3izlTWHbQg,453000,PENDANT OF LIGHT - MARIA MARIONETTE【ORIGINAL SONG】,MV,155,2024-12-21T02:00:07Z,Saturday,Winter,28370,3377,138,0.12389848431441663
vTubers,UCwaS8_S7kMiKA3izlTWHbQg,453000,【Daydream Café 】Cover by Maria Marionette & Sophia Valentine ♡NIJISANJI♡,Cover,227,2024-12-14T06:00:06Z,Saturday,Winter,56084,5088,122,0.0928963697311176
vTubers,UCwaS8_S7kMiKA3izlTWHbQg,453000,【Future Jewel 】Cover by Maria Marionette & Aizono Manami ♡NIJISANJI♡,Cover,279,2024-11-16T09:00:06Z,Saturday,Fall,44854,4912,162,0.11312257546707094
vTubers,UCwaS8_S7kMiKA3izlTWHbQg,453000,【 Pinky! Pinky! 】Cover by Maria Marionette & Finana Ryugu ft Ike Eveland ♡NIJISANJI EＮ♡,Cover,220,2024-11-10T03:00:06Z,Sunday,Fall,154352,14314,323,0.09482870322380015
vTubers,UCwaS8_S7kMiKA3izlTWHbQg,453000,Massara Blue Jeans Singing&Dancing Cover by Maria Marionette♡ NIJISANJI EN ♡,Cover,244,2024-10-22T08:00:06Z,Tuesday,Fall,16376,1740,76,0.11089399120664387
vTubers,UCwaS8_S7kMiKA3izlTWHbQg,453000,"Happy Happy♪ Morning ☆ Cover by Maria Marionette, Meloco Kyoran & Klara♡ NIJISANJI EN ♡",Cover,239,2024-08-31T09:30:07Z,Saturday,Summer,85693,7636,214,0.09160608217707397
vTubers,UCwaS8_S7kMiKA3izlTWHbQg,453000,Hare Hare Yukai【Cover by ILUNA】,Cover,214,2024-07-28T03:00:06Z,Sunday,Summer,162571,15076,400,0.09519533004041311
vTubers,UCwaS8_S7kMiKA3izlTWHbQg,453000,A Doll's Dream ♡ Maria Marionette 【ORIGINAL SONG】,MV,124,2024-07-14T08:00:08Z,Sunday,Summer,26621,3397,172,0.1340670898914391
vTubers,UCwaS8_S7kMiKA3izlTWHbQg,453000,【Moonlight Destiny - りすこ from STAR☆ANIS 】Cover by Maria Marionette & Elira Pendora ♡ NIJISANJI EＮ,Cover,387,2024-04-28T12:00:06Z,Sunday,Spring,103855,7669,254,0.0762890568581195
vTubers,UCwaS8_S7kMiKA3izlTWHbQg,453000,【CHIBI DANCE VIDEO】Puppet Cafe - ぱぺっとかふぇ♡ Maria Marionette オリジナル振付,Dance,231,2024-04-16T04:00:28Z,Tuesday,Spring,16307,2175,82,0.13840681915741707
vTubers,UCwaS8_S7kMiKA3izlTWHbQg,453000,Puppet Cafe ♡ Maria Marionette 【OFFICIAL MV】 Original Song,MV,230,2024-04-07T13:00:07Z,Sunday,Spring,177069,12478,317,0.07225996645375532
vTubers,UCwaS8_S7kMiKA3izlTWHbQg,453000,I Don' t Wanna Get Out of Futon - 布団の中から出たくない ♡ Cover by Maria Marionette,Cover,252,2024-04-01T09:00:08Z,Monday,Spring,48939,6188,232,0.13118371850671243
vTubers,UCwaS8_S7kMiKA3izlTWHbQg,453000,"【Mani / GILTY×GILTY】Cover by Maria, Finana, Kotoka, Meloco & Pomu ♡NIJISANJI EＮ♡",Cover,215,2024-02-18T08:00:10Z,Sunday,Winter,248094,21965,902,0.09217070948914524
vTubers,UCwaS8_S7kMiKA3izlTWHbQg,453000,"【SEVENDAYS LOVE, SEVENDAYS FRIEND】Cover by Maria Marionette & Enna Alouette ♡ NIJISANJI EＮ",Cover,369,2023-12-31T03:00:09Z,Sunday,Winter,167383,11877,327,0.07291063011177958
vTubers,UCwaS8_S7kMiKA3izlTWHbQg,453000,C△NDY Lofi Ver【Maria Marionette | NIJISANJI EN】,Cover,249,2023-12-09T09:00:08Z,Saturday,Winter,45807,2545,112,0.05800423516056498
vTubers,UCwaS8_S7kMiKA3izlTWHbQg,453000,【Secret Sweet Pain - あっとぐみ】Cover by Maria Marionette & Pomu Rainpuff♡ NIJISANJI EN ♡,Cover,277,2023-12-07T10:00:09Z,Thursday,Winter,73615,6892,140,0.09552401005229913
vTubers,UCwaS8_S7kMiKA3izlTWHbQg,453000,【デレステ】Decoboco Speedster♡凸凹スピードスター ♡CHIBI 3D DANCE&SINGING♡ 歌って踊ってみた【Maria Marionette NIJISANJI EN 】,Dance,128,2023-12-05T05:50:09Z,Tuesday,Winter,11966,1345,31,0.11499247868962059
vTubers,UCwaS8_S7kMiKA3izlTWHbQg,453000,【デレステ】Anzu No Uta ♡ CHIBI 3D DANCE&SINGING♡  歌って踊ってみた【Maria Marionette NIJISANJI EN 】,Dance,129,2023-12-04T07:00:11Z,Monday,Winter,12498,1544,30,0.12594015042406784
vTubers,UCwaS8_S7kMiKA3izlTWHbQg,453000,【デレステ】OTAHEN ANTHEM ♡ CHIBI 3D DANCE&SINGING♡  歌って踊ってみた【Maria Marionette NIJISANJI EN 】,Dance,131,2023-12-03T06:00:12Z,Sunday,Winter,13589,1571,40,0.11855176981382
vTubers,UCwaS8_S7kMiKA3izlTWHbQg,453000,【デレステ】Apple Pie Princess ♡ CHIBI 3D DANCE&SINGING♡  歌って踊ってみた【Maria Marionette NIJISANJI EN 】,Dance,127,2023-12-02T04:00:09Z,Saturday,Winter,15661,1902,61,0.12534320924589745
vTubers,UCwaS8_S7kMiKA3izlTWHbQg,453000,【Gothic Cage Vampire ～鳥籠少女～】Cover by Maria Marionette ♡NIJISANJI EN ♡,Cover,264,2023-11-18T08:00:12Z,Saturday,Fall,116134,9524,155,0.08334337919988978
vTubers,UCwaS8_S7kMiKA3izlTWHbQg,453000,【Want You Bad| うぉんちゅーばっど】Cover by Maria Marionette ♡NIJISANJI EN ♡,Cover,153,2023-10-28T10:00:10Z,Saturday,Fall,132324,9182,169,0.07066745261630543
vTubers,UCwaS8_S7kMiKA3izlTWHbQg,453000,【POSITIVE DANCE TIME ・ ポジティブ☆ダンスタイム 】Cover by Maria Marionette & Millie Parfait ♡ NIJISANJI EN ♡,Cover,239,2023-09-23T06:50:12Z,Saturday,Fall,395547,23816,436,0.06131256209755099
vTubers,UCwaS8_S7kMiKA3izlTWHbQg,453000,ETHYRIA Cover ♡ Maria Marionette,Cover,187,2023-08-21T07:00:12Z,Monday,Summer,196449,17234,373,0.08962631522685277
vTubers,UCwaS8_S7kMiKA3izlTWHbQg,453000,Maria Marionette - Marionette's Stage【OFFICIAL MV】Original Song オリジナル曲,MV,188,2023-07-23T08:30:08Z,Sunday,Summer,305467,24558,538,0.08215617398933436
vTubers,UCwaS8_S7kMiKA3izlTWHbQg,453000,【可愛くてごめん | Sorry I'm So Cute!】Cover by Maria Marionette ♡ NIJISANJI EN ♡,Cover,220,2023-05-22T08:00:08Z,Monday,Spring,371820,28891,508,0.07906782851917595
vTubers,UCwaS8_S7kMiKA3izlTWHbQg,453000,【Inkya Impulse | インキャインパルス】Cover by Maria Marionette ft. Ike Eveland♡ NIJISANJI EN ♡,Cover,278,2023-04-01T14:00:08Z,Saturday,Spring,3157012,122551,2957,0.03975531293514247
vTubers,UCwaS8_S7kMiKA3izlTWHbQg,453000,【Identity | アイデンティティ 】 Cover ♡ NIJISANJI EN ♡,Cover,156,2023-01-24T07:50:06Z,Tuesday,Winter,1042466,61936,0,0.05941296886421236
vTubers,UCwaS8_S7kMiKA3izlTWHbQg,453000,【Isabella's Lullaby ACAPPELLA |イザベラの唄 】Full Acappella Cover by Maria Marionette ♡ NIJISANJI EN ♡,Cover,146,2022-12-30T07:50:09Z,Friday,Winter,153582,17118,415,0.11416051360185439
vTubers,UCwaS8_S7kMiKA3izlTWHbQg,453000,C△NDY - Maria Marionette【OFFICIAL MV】Original Song オリジナル曲,MV,249,2022-12-07T07:05:08Z,Wednesday,Winter,425191,33698,638,0.08075429630448434
vTubers,UCwaS8_S7kMiKA3izlTWHbQg,453000,ILUNA - Let's Get It Started 【Maria Marionette Ver.】| NIJISANJI EN,Cover,195,2022-11-30T10:50:10Z,Wednesday,Fall,687887,55392,914,0.08185356025044811
vTubers,UCwaS8_S7kMiKA3izlTWHbQg,453000,【Glass Doll | 硝子ドール 】Aikatsu!  Cover by Maria Marionette ♡ NIJISANJI EN ♡,Cover,386,2022-11-06T05:30:09Z,Sunday,Fall,542803,37214,794,0.07002172058739543
vTubers,UCwaS8_S7kMiKA3izlTWHbQg,453000,【禁じられた遊び | Kinjirareta Asobi】Rozen Maiden OP Cover by Maria Marionette ♡ NIJISANJI EN ♡,Cover,263,2022-09-30T12:55:10Z,Friday,Fall,826376,43697,571,0.05356883549377039
vTubers,UCwaS8_S7kMiKA3izlTWHbQg,453000,【神っぽいな | God-ish】Cover by Maria Marionette ♡ NIJISANJI EN ♡,Cover,207,2022-07-25T04:15:13Z,Monday,Summer,1954138,118081,2489,0.06169983900829931
