style,channelId,channelSubs,title,type,duration_sec,publishedAt,dayOfWeek,season,views,likes,comments,engagment
vTubers,UChKXd7oqD18qiIYBoRIHTlw,602000,ずうっといっしょ！covered by  狂蘭メロコ × フレン・E・ルスタリオ,Cover,183,2025-03-18T11:00:07Z,Tuesday,Spring,2752937,73398,1037,0.02703839572064308
vTubers,UChKXd7oqD18qiIYBoRIHTlw,602000,Bling-Bang-Bang-Born - Meloco Kyoran & Shu Yamino＆Sonny Brisko Cover.,Cover,171,2024-09-07T14:00:07Z,Saturday,Fall,3512047,119271,1179,0.034296238062873304
vTubers,UChKXd7oqD18qiIYBoRIHTlw,602000,[A]ddiction - MelocoKyoran & Enna Alouette Cover.,Cover,197,2024-05-05T14:00:07Z,Sunday,Spring,1306871,41024,362,0.03166800701829025
vTubers,UChKXd7oqD18qiIYBoRIHTlw,602000,Encore - Meloco Kyoran (Original song),MV,211,2023-12-09T15:00:07Z,Saturday,Winter,165684,12640,313,0.07817894304821225
vTubers,UChKXd7oqD18qiIYBoRIHTlw,602000,唱 - Meloco Kyoran Cover.,Cover,192,2023-10-31T14:45:07Z,Tuesday,Fall,1378153,62340,428,0.04554501568403508
vTubers,UChKXd7oqD18qiIYBoRIHTlw,602000,ECHO - Meloco Kyoran & Doppio Dropscythe Cover.,Cover,237,2023-10-28T15:30:10Z,Saturday,Fall,3088612,106821,1388,0.03503483117983094
vTubers,UChKXd7oqD18qiIYBoRIHTlw,602000,アイディスマイル - Meloco Kyoran Cover,Cover,181,2023-08-26T15:00:10Z,Saturday,Summer,342527,20181,225,0.059574865631030545
vTubers,UChKXd7oqD18qiIYBoRIHTlw,602000,シャンティ (SHANTI) - Romeo Kyoran (Meloco Kyoran) Cover,Cover,166,2023-04-01T11:00:09Z,Saturday,Spring,1836262,80510,723,0.044238240512519456
vTubers,UChKXd7oqD18qiIYBoRIHTlw,602000,炎上アリス (ENJO ALICE) - Meloco Kyoran Cover,Cover,155,2023-03-10T13:00:08Z,Friday,Spring,651693,24404,416,0.03808541752021274
vTubers,UChKXd7oqD18qiIYBoRIHTlw,602000,ファントム(Phantom) - Meloco Kyoran Cover,Cover,224,2022-12-30T13:00:09Z,Friday,Winter,929292,47882,746,0.05232800884974798
