style,channelId,channelSubs,title,type,duration_sec,publishedAt,dayOfWeek,season,views,likes,comments,engagment
vTubers,UC47rNmkDcNgbOcM-2BwzJTQ,497000,"Toiki 吐息  -  Millie, Enna, and Elira Original Song",MV,201,2024-12-25T05:00:06Z,Wednesday,Winter,116324,8711,391,0.07824696537258004
vTubers,UC47rNmkDcNgbOcM-2BwzJTQ,497000,Don't Trick Me - Millie Parfait 3rd Original Song,MV,171,2024-10-10T00:00:06Z,Thursday,Fall,89516,7636,416,0.0899503999285044
vTubers,UC47rNmkDcNgbOcM-2BwzJTQ,497000,【 I beg you】Ethyria ver,Cover,269,2024-04-20T02:15:06Z,Saturday,Spring,424643,19206,624,0.046698049891320474
vTubers,UC47rNmkDcNgbOcM-2BwzJTQ,497000,【 Kyoufuu All Back 強風オールバック 】Millie Parfait cover,Cover,274,2023-11-25T15:00:23Z,Saturday,Fall,242766,22962,525,0.0967474852326932
vTubers,UC47rNmkDcNgbOcM-2BwzJTQ,497000,【SHADOW & TRUTH】Millie Parfait and Fulgur Ovid Cover,Cover,254,2023-10-28T13:00:10Z,Saturday,Fall,1574746,52800,1527,0.03449889696497086
vTubers,UC47rNmkDcNgbOcM-2BwzJTQ,497000,【MAGIC IS ALL AROUND】Millie Parfait Original Song,MV,256,2023-10-10T02:00:07Z,Tuesday,Fall,186241,17522,750,0.09810943884536702
vTubers,UC47rNmkDcNgbOcM-2BwzJTQ,497000,【 イイコと妖狐 / The Good Child and the Fox Spirit】Millie Parfait ver.,Cover,235,2023-07-06T01:00:09Z,Thursday,Summer,1453252,57010,882,0.03983617431801229
vTubers,UC47rNmkDcNgbOcM-2BwzJTQ,497000,【輪廻 /Reincarnation】Millie Parfait Original Song,MV,174,2022-11-27T02:35:11Z,Sunday,Fall,863288,44684,1301,0.05326727581062172
vTubers,UC47rNmkDcNgbOcM-2BwzJTQ,497000,【Setsuna Trip / セツナトリップ 】Millie Parfait ver.,Cover,251,2022-10-09T23:55:10Z,Sunday,Fall,303580,20386,621,0.06919757559786548
vTubers,UC47rNmkDcNgbOcM-2BwzJTQ,497000,【カノン / Kanon】Millie Parfait ver,Cover,163,2022-05-25T13:00:11Z,Wednesday,Spring,986681,37178,1355,0.0390531488900668
vTubers,UC47rNmkDcNgbOcM-2BwzJTQ,497000,【Identity/アイデンティティ 】Millie&Enna ver. ✨ ☆⭒NIJISANJI EN ✧,Cover,155,2022-01-31T01:00:11Z,Monday,Winter,6255133,129514,2471,0.021100270769622325
vTubers,UC47rNmkDcNgbOcM-2BwzJTQ,497000,【フォニイ / phony】Millie ver. ✨  ☆⭒NIJISANJI EN ✧ Millie Parfait ☆⭒,Cover,188,2022-01-17T02:00:10Z,Monday,Winter,1391826,56375,1619,0.04166756476743501
vTubers,UC47rNmkDcNgbOcM-2BwzJTQ,497000,【マーシャル・マキシマイザー / Marshall Maximizer】Millie Parfait ver.,Cover,166,2021-12-23T03:00:08Z,Thursday,Winter,2420669,63492,1971,0.027043350412633862
